Health Table 3. Current Health Insurance Status, by Select Characteristics: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 4.;;;;;
Total Population 18 Years and Older;;;;;
Select characteristics;Insured *;Insured *;Insured *;Uninsured;Did not report or don’t know
;Total;Private;Public;;
;;;;;
Total;7,574,555;5,813,096;3,166,189;1,404,712;1,533,038
Age ;;;;;
    18 - 24;483,642;425,199;85,511;322,204;261,363
    25 - 34;1,275,881;1,006,411;428,666;171,409;334,137
    35 - 44;1,510,392;1,216,092;470,923;163,342;314,221
    45 - 64;2,505,868;2,090,162;636,597;456,657;295,722
    65 and over;1,798,773;1,075,232;1,544,492;291,099;327,596
Sex ;;;;;
    Male;3,594,305;2,921,571;1,238,321;751,486;749,011
    Female;3,980,250;2,891,525;1,927,868;653,226;784,027
Hispanic origin and Race ;;;;;
    Hispanic or Latino (may be of any race);2,727,600;2,011,721;1,174,453;1,069,157;572,916
    White alone, not Hispanic;2,634,025;2,049,691;1,027,602;132,753;521,845
    Black alone, not Hispanic;443,859;365,621;228,709;104,822;72,959
    Asian alone, not Hispanic;1,301,175;1,083,195;509,133;68,276;321,685
    Two or more races + Other races, not Hispanic;467,896;302,868;226,292;29,703;43,633
Education ;;;;;
    Less than high school;932,929;600,352;521,648;621,135;382,106
    High school or GED;1,446,357;997,009;819,244;184,567;360,359
    Some college/associate’s degree;2,227,584;1,612,746;925,152;469,435;483,249
    Bachelor’s degree or higher;2,967,685;2,602,990;900,145;129,574;307,324
Marital status ;;;;;
    Married;3,986,835;3,365,546;1,390,226;416,963;624,629
    Widowed;404,440;203,258;352,282;305,944;55,722
    Divorced/separated;903,943;563,873;497,308;58,820;168,213
    Never married;2,272,267;1,674,083;924,503;614,451;640,830
    Did not report;7,070;6,337;1,869;8,534;43,645
Presence of children under 18 years old ;;;;;
    Children in household;2,703,267;2,249,515;930,038;482,376;720,313
    No children;4,871,289;3,563,581;2,236,151;922,336;812,725
Respondent or household member experienced loss of employment income ;;;;;
    Yes;4,366,670;3,351,182;1,830,534;1,309,587;965,188
    No;3,205,166;2,459,194;1,335,654;93,038;542,493
    Did not report;2,720;2,720;-;2,086;25,357
Respondent currently employed ;;;;;
    Yes;3,675,127;3,330,660;959,467;552,609;748,224
    No;3,896,722;2,480,979;2,205,472;852,103;753,870
    Did not report;2,707;1,457;1,250;-;30,944
Household income ;;;;;
    Less than $25,000;885,280;257,907;748,677;739,772;98,125
    $25,000 - $34,999;774,405;421,683;552,201;344,957;-
    $35,000 - $49,999;828,498;615,267;412,635;78,144;58,093
    $50,000 - $74,999;1,055,942;916,635;303,329;104,103;3,905
    $75,000 - $99,999;1,074,825;832,442;490,325;35,812;-
    $100,000 - $149,999;1,218,669;1,080,533;418,622;49,240;2,417
    $150,000 - $199,999;605,183;600,519;99,227;6,688;-
    $200,000 and above;866,033;846,906;79,596;7,456;1,720
    Did not report;265,720;241,203;61,577;38,539;1,368,778
* Totals may not sum to 100% as the question allowed for multiple categories to be marked.;;;;;
