Health Table 3. Current Health Insurance Status, by Select Characteristics: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 5.;;;;;
Total Population 18 Years and Older;;;;;
Select characteristics;Insured *;Insured *;Insured *;Uninsured;Did not report or don’t know
;Total;Private;Public;;
;;;;;
Total;3,007,966;2,290,834;1,459,824;567,350;584,914
Age ;;;;;
    18 - 24;292,952;251,054;89,208;28,805;151,410
    25 - 34;575,190;455,714;186,409;285,252;114,243
    35 - 44;504,546;393,994;170,829;97,003;77,869
    45 - 64;923,212;753,538;363,408;156,290;139,104
    65 and over;712,067;436,533;649,969;-;102,288
Sex ;;;;;
    Male;1,462,869;1,130,127;603,004;321,561;280,452
    Female;1,545,097;1,160,707;856,820;245,789;304,463
Hispanic origin and Race ;;;;;
    Hispanic or Latino (may be of any race);1,465,294;1,112,857;759,050;488,477;312,457
    White alone, not Hispanic;1,028,790;773,574;491,216;46,551;142,562
    Black alone, not Hispanic;244,417;200,623;102,487;15,664;49,733
    Asian alone, not Hispanic;176,337;148,230;58,126;12,512;56,261
    Two or more races + Other races, not Hispanic;93,128;55,550;48,946;4,145;23,901
Education ;;;;;
    Less than high school;557,564;302,800;463,389;119,410;133,379
    High school or GED;872,027;760,822;340,632;249,891;212,195
    Some college/associate’s degree;908,107;635,813;444,166;180,634;168,923
    Bachelor’s degree or higher;670,269;591,398;211,636;17,415;70,419
Marital status ;;;;;
    Married;1,587,859;1,245,460;765,465;209,250;228,849
    Widowed;141,055;70,018;125,818;7,650;21,262
    Divorced/separated;435,247;300,534;249,972;50,777;84,750
    Never married;840,056;672,048;317,592;299,672;239,717
    Did not report;3,749;2,773;976;-;10,336
Presence of children under 18 years old ;;;;;
    Children in household;1,279,035;1,015,102;482,998;291,873;305,852
    No children;1,728,931;1,275,731;976,826;275,477;279,062
Respondent or household member experienced loss of employment income ;;;;;
    Yes;1,658,873;1,279,558;759,119;531,624;351,909
    No;1,348,471;1,010,654;700,083;35,726;223,821
    Did not report;622;622;622;-;9,185
Respondent currently employed ;;;;;
    Yes;1,475,484;1,280,542;430,394;259,343;254,099
    No;1,532,482;1,010,292;1,029,430;308,007;320,555
    Did not report;-;-;-;-;10,260
Household income ;;;;;
    Less than $25,000;504,127;218,895;369,161;231,342;12,426
    $25,000 - $34,999;434,805;260,011;255,641;167,166;8,017
    $35,000 - $49,999;303,483;208,922;224,189;38,043;28,743
    $50,000 - $74,999;495,362;441,054;186,625;66,351;-
    $75,000 - $99,999;463,243;405,589;227,202;31,386;-
    $100,000 - $149,999;332,521;320,612;79,921;18,082;-
    $150,000 - $199,999;242,339;238,976;25,088;5,380;-
    $200,000 and above;100,718;95,726;12,608;3,256;-
    Did not report;131,368;101,049;79,389;6,344;535,728
* Totals may not sum to 100% as the question allowed for multiple categories to be marked.;;;;;
