Health Table 3. Current Health Insurance Status, by Select Characteristics: Seattle-Tacoma-Bellevue, WA Metro Area;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 1.;;;;;
Total Population 18 Years and Older;;;;;
Select characteristics;Insured *;Insured *;Insured *;Uninsured;Did not report or don’t know
;Total;Private;Public;;
;;;;;
Age ;;;;;
    18 - 24;160,162;150,506;9,655;44,345;12,806
    25 - 34;636,394;578,411;119,945;70,063;68,122
    35 - 44;603,525;567,873;110,636;27,113;28,379
    45 - 64;840,389;781,942;144,712;24,687;77,694
    65 and over;544,364;315,325;474,252;6,201;50,911
Sex ;;;;;
    Male;1,454,712;1,289,687;443,128;120,702;115,826
    Female;1,330,123;1,104,371;416,072;51,707;122,085
Hispanic origin and Race ;;;;;
    Hispanic or Latino (may be of any race);261,670;244,498;59,174;30,805;18,299
    White alone, not Hispanic;1,840,116;1,542,162;604,339;69,983;156,413
    Black alone, not Hispanic;111,662;98,628;33,579;997;10,299
    Asian alone, not Hispanic;356,587;329,001;86,079;17,631;34,544
    Two or more races + Other races, not Hispanic;214,800;179,769;76,029;52,992;18,357
Education ;;;;;
    Less than high school;110,371;83,612;62,387;18,895;9,948
    High school or GED;657,395;492,501;296,716;99,664;75,999
    Some college/associate’s degree;874,864;775,811;264,383;26,365;82,898
    Bachelor’s degree or higher;1,142,205;1,042,135;235,714;27,485;69,066
Marital status ;;;;;
    Married;1,602,558;1,400,066;439,036;43,525;110,253
    Widowed;71,719;56,879;48,632;633;1,528
    Divorced/separated;408,816;310,375;214,611;38,802;26,823
    Never married;687,743;613,592;155,214;89,450;88,028
    Did not report;13,999;13,145;1,707;-;11,280
Presence of children under 18 years old ;;;;;
    Children in household;890,232;766,995;216,458;87,431;55,861
    No children;1,894,603;1,627,063;642,742;84,978;182,050
Respondent or household member experienced loss of employment income ;;;;;
    Yes;1,223,540;1,086,000;309,594;140,175;136,648
    No;1,548,425;1,296,042;536,737;32,234;94,457
    Did not report;12,870;12,016;12,870;-;6,806
Respondent currently employed ;;;;;
    Yes;1,627,050;1,557,918;230,561;73,818;130,620
    No;1,157,785;836,140;628,639;98,591;99,880
    Did not report;-;-;-;-;7,411
Household income ;;;;;
    Less than $25,000;209,943;123,686;134,863;31,754;427
    $25,000 - $34,999;171,078;129,246;97,131;16,269;-
    $35,000 - $49,999;246,855;196,028;109,645;70,377;-
    $50,000 - $74,999;505,226;397,855;237,843;27,041;518
    $75,000 - $99,999;341,255;321,140;75,395;7,775;7,933
    $100,000 - $149,999;566,074;504,796;124,264;4,570;854
    $150,000 - $199,999;266,332;260,109;20,783;11,264;-
    $200,000 and above;408,163;400,287;40,781;1,081;-
    Did not report;69,909;60,911;18,495;2,277;228,181
* Totals may not sum to 100% as the question allowed for multiple categories to be marked.;;;;;
