Housing Table 1a. Last Month's Payment Status for Owner-Occupied Housing Units, by Select Characteristics: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 3.;;;;;;;;
Total Population 18 Years and Older in Owner-Occupied Housing Units;;;;;;;;
Select characteristics;Total;Owned free and clear;Last month’s payment status;Last month’s payment status;Last month’s payment status;Last month’s payment status;Renter occupied;Did not respond to tenure
;;;Yes;No;Mortgage payment was deferred;Did not respond;;
;;;;;;;;
Age ;;;;;;;;
    18 - 24;174,638;40,436;129,314;4,888;-;-;512,147;530,388
    25 - 39;1,098,478;287,734;699,494;24,664;76,219;10,367;2,099,151;304,687
    40 - 54;1,347,439;213,447;1,025,955;43,552;64,486;-;1,461,727;305,152
    55 - 64;878,229;269,499;519,546;50,913;20,448;17,823;475,227;164,326
    65 and above;1,216,502;374,826;772,108;62,960;6,609;-;491,135;115,178
Sex ;;;;;;;;
    Male;2,661,503;644,218;1,803,808;65,708;147,770;-;2,468,107;550,251
    Female;2,053,782;541,724;1,342,609;121,269;19,991;28,189;2,571,281;869,479
Hispanic origin and Race ;;;;;;;;
    Hispanic or Latino (may be of any race);1,775,467;355,343;1,292,297;88,948;28,513;10,367;2,415,646;788,102
    White alone, not Hispanic;1,573,135;471,995;961,945;72,681;66,387;126;1,534,817;381,233
    Black alone, not Hispanic;136,386;18,938;92,134;7,617;-;17,696;369,655;55,478
    Asian alone, not Hispanic;994,160;280,114;631,724;11,432;70,889;-;627,576;136,534
    Two or more races + Other races, not Hispanic;236,138;59,551;168,317;6,298;1,972;-;91,694;58,384
Education ;;;;;;;;
    Less than high school;747,258;111,661;586,960;48,638;-;-;1,042,078;255,527
    High school or GED;820,443;194,201;458,729;77,362;79,785;10,367;1,394,497;352,010
    Some college/associate’s degree;1,154,260;427,558;668,465;29,379;11,162;17,696;1,251,373;618,522
    Bachelor’s degree or higher;1,993,325;452,523;1,432,264;31,598;76,814;126;1,351,440;193,671
Marital status ;;;;;;;;
    Married;2,822,463;556,457;2,026,151;154,236;85,619;-;1,561,079;399,034
    Widowed;107,258;61,670;45,195;-;267;126;93,024;7,447
    Divorced/separated;462,763;210,670;177,557;2,596;71,939;-;748,785;168,761
    Never married;1,320,339;355,358;896,838;30,144;9,936;28,063;2,498,178;806,653
    Did not report;2,463;1,787;676;-;-;-;138,321;37,836
Presence of children under 18 years old ;;;;;;;;
    Children in household;1,504,377;318,937;1,020,901;97,681;38,795;28,063;1,890,664;732,371
    No children;3,210,908;867,005;2,125,516;89,295;128,966;126;3,148,724;687,360
Respondent or household member experienced loss of employment income ;;;;;;;;
    Yes;2,755,424;521,868;1,867,729;182,196;165,935;17,696;3,282,919;822,247
    No;1,958,836;663,048;1,278,689;4,780;1,826;10,493;1,755,736;560,455
    Did not report;1,025;1,025;-;-;-;-;733;37,028
Respondent currently employed ;;;;;;;;
    Yes;2,392,268;573,254;1,692,559;36,982;61,409;28,063;2,367,110;655,409
    No;2,323,018;612,688;1,453,858;149,994;106,352;126;2,672,220;694,207
    Did not report;-;-;-;-;-;-;57;70,115
Household income ;;;;;;;;
    Less than $25,000;296,294;178,810;94,542;5,075;171;17,696;1,154,277;200
    $25,000 - $34,999;409,185;157,356;163,096;22,867;65,866;-;1,232,720;-
    $35,000 - $49,999;374,951;144,308;211,370;17,079;2,194;-;435,928;19,470
    $50,000 - $74,999;466,027;62,188;324,651;51,387;27,801;-;720,092;133
    $75,000 - $99,999;1,061,016;252,977;782,797;24,309;934;-;529,355;133
    $100,000 - $149,999;668,589;154,693;438,309;61,134;14,452;-;479,656;-
    $150,000 - $199,999;388,743;87,742;293,345;3,759;3,897;-;180,887;-
    $200,000 and above;803,000;103,747;645,569;1,367;52,319;-;151,483;-
    Did not report;247,480;44,121;192,739;-;126;10,493;154,990;1,399,794
