Housing Table 1a. Last Month's Payment Status for Owner-Occupied Housing Units, by Select Characteristics: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 3.;;;;;;;;
Total Population 18 Years and Older in Owner-Occupied Housing Units;;;;;;;;
Select characteristics;Total;Owned free and clear;Last month’s payment status;Last month’s payment status;Last month’s payment status;Last month’s payment status;Renter occupied;Did not respond to tenure
;;;Yes;No;Mortgage payment was deferred;Did not respond;;
;;;;;;;;
Age ;;;;;;;;
    18 - 24;187,727;40,179;45,280;-;102,268;-;188,975;114,269
    25 - 39;417,787;58,005;343,429;14,012;2,341;-;459,927;137,556
    40 - 54;559,695;126,323;360,536;43,443;29,393;-;299,187;130,081
    55 - 64;616,469;251,880;352,671;10,084;1,834;-;255,382;55,845
    65 and above;432,345;179,089;238,963;12,916;1,376;-;218,142;39,303
Sex ;;;;;;;;
    Male;1,146,812;331,462;738,002;50,024;27,325;-;697,637;282,778
    Female;1,067,210;324,014;602,878;30,431;109,887;-;723,977;194,277
Hispanic origin and Race ;;;;;;;;
    Hispanic or Latino (may be of any race);974,892;160,558;678,025;30,342;105,968;-;704,804;293,403
    White alone, not Hispanic;869,701;372,538;445,995;24,433;26,735;-;406,084;81,782
    Black alone, not Hispanic;180,199;87,885;89,400;615;2,299;-;203,732;38,342
    Asian alone, not Hispanic;124,113;34,494;84,144;3,604;1,871;-;52,838;47,880
    Two or more races + Other races, not Hispanic;65,117;-;43,317;21,462;339;-;54,156;15,646
Education ;;;;;;;;
    Less than high school;294,951;76,654;181,253;37,044;-;-;277,437;153,709
    High school or GED;682,595;245,562;316,602;16,396;104,035;-;424,420;106,834
    Some college/associate’s degree;677,744;179,219;466,098;12,057;20,371;-;514,138;179,271
    Bachelor’s degree or higher;558,733;154,041;376,927;14,959;12,806;-;205,618;37,240
Marital status ;;;;;;;;
    Married;1,386,715;391,308;821,633;43,035;130,739;-;450,625;233,620
    Widowed;166,644;123,540;24,275;18,829;-;-;117,934;6,681
    Divorced/separated;287,083;31,859;247,525;4,326;3,374;-;292,725;63,419
    Never married;367,522;102,910;247,248;14,265;3,099;-;552,117;165,232
    Did not report;6,058;5,858;200;-;-;-;8,212;8,102
Presence of children under 18 years old ;;;;;;;;
    Children in household;946,920;194,215;673,243;58,015;21,446;-;768,928;288,455
    No children;1,267,103;461,260;667,638;22,440;115,766;-;652,686;188,599
Respondent or household member experienced loss of employment income ;;;;;;;;
    Yes;1,208,932;324,127;687,633;60,918;136,254;-;975,144;302,497
    No;1,005,091;331,348;653,247;19,537;958;-;440,835;169,008
    Did not report;-;-;-;-;-;-;5,635;5,550
Respondent currently employed ;;;;;;;;
    Yes;1,120,471;272,937;688,859;43,836;114,839;-;659,308;241,157
    No;1,093,551;382,538;652,021;36,620;22,373;-;756,671;229,455
    Did not report;-;-;-;-;-;-;5,635;6,443
Household income ;;;;;;;;
    Less than $25,000;236,131;52,524;56,224;23,295;104,088;-;324,929;-
    $25,000 - $34,999;231,378;103,339;110,606;16,396;1,037;-;203,050;-
    $35,000 - $49,999;300,431;120,065;167,084;11,374;1,908;-;223,058;-
    $50,000 - $74,999;364,214;87,231;269,791;5,755;1,437;-;279,566;1,730
    $75,000 - $99,999;363,139;122,917;228,432;10,921;868;-;241,902;-
    $100,000 - $149,999;376,598;47,066;297,185;9,198;23,150;-;69,755;-
    $150,000 - $199,999;211,612;88,226;115,998;3,403;3,985;-;21,292;-
    $200,000 and above;87,218;23,582;63,029;-;606;-;19,167;452
    Did not report;43,302;10,526;32,531;113;132;-;38,893;474,872
