Housing Table 1a. Last Month's Payment Status for Owner-Occupied Housing Units, by Select Characteristics: San Francisco-Oakland-Berkeley, CA Metro Area;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 4.;;;;;;;
Total Population 18 Years and Older in Owner-Occupied Housing Units;;;;;;;
Select characteristics;Total;Owned free and clear;Last month’s payment status;Last month’s payment status;Last month’s payment status;Last month’s payment status;Did not report to tenure
;;;Yes;No;Mortgage payment was deferred;Did not report;
;;;;;;;
Total;1,814,902;677,624;1,062,484;48,724;19,722;6,348;572,372
Age ;;;;;;;
    18 - 24;201,121;141,107;46,459;7,664;-;5,891;70,255
    25 - 39;319,248;22,910;281,191;14,148;999;-;149,733
    40 - 54;465,427;184,460;250,942;20,059;9,628;338;96,778
    55 - 64;356,790;129,326;220,370;2,423;4,671;-;99,173
    65 and above;472,315;199,822;263,522;4,430;4,423;119;156,432
Sex ;;;;;;;
    Male;1,013,802;474,477;517,010;15,467;6,849;-;295,134
    Female;801,100;203,147;545,474;33,257;12,873;6,348;277,238
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);156,592;43,623;94,156;14,106;4,707;-;135,489
    White alone, not Hispanic;765,133;249,183;491,376;18,016;6,101;457;178,854
    Black alone, not Hispanic;68,644;12,566;55,579;-;499;-;64,918
    Asian alone, not Hispanic;679,502;274,234;381,579;12,808;4,990;5,891;121,498
    Two or more races + Other races, not Hispanic;145,031;98,019;39,794;3,793;3,425;-;71,613
Education ;;;;;;;
    Less than high school;4,839;2,301;2,537;-;-;-;119,735
    High school or GED;419,873;232,804;155,133;31,935;-;-;157,847
    Some college/associate’s degree;401,442;148,832;224,929;13,059;8,392;6,229;164,562
    Bachelor’s degree or higher;988,749;293,686;679,884;3,729;11,330;119;130,228
Marital status ;;;;;;;
    Married;1,324,180;550,169;739,466;24,035;10,510;-;268,424
    Widowed;40,274;19,683;17,149;472;2,852;119;19,220
    Divorced/separated;158,915;29,900;124,514;387;4,113;-;74,077
    Never married;287,626;77,384;177,936;23,830;2,247;6,229;179,952
    Did not report;3,906;487;3,419;-;-;-;30,700
Presence of children under 18 years old ;;;;;;;
    Children in household;707,518;287,810;361,807;43,060;8,950;5,891;246,244
    No children;1,107,384;389,814;700,677;5,664;10,772;457;326,127
Respondent or household member experienced loss of employment income ;;;;;;;
    Yes;554,435;92,849;390,659;46,923;17,774;6,229;313,630
    No;1,259,156;584,775;670,514;1,800;1,948;119;232,571
    Did not report;1,311;-;1,311;-;-;-;26,171
Respondent currently employed ;;;;;;;
    Yes;1,044,905;348,067;683,176;5,769;7,554;338;205,372
    No;769,997;329,557;379,308;42,955;12,168;6,009;328,631
    Did not report;-;-;-;-;-;-;38,368
Household income ;;;;;;;
    Less than $25,000;44,838;6,335;28,470;9,682;352;-;-
    $25,000 - $34,999;90,223;40,913;36,581;12,373;237;119;-
    $35,000 - $49,999;106,624;14,649;87,044;907;4,025;-;5,727
    $50,000 - $74,999;212,276;138,052;70,707;1,347;2,170;-;3,259
    $75,000 - $99,999;130,688;53,366;71,126;2,836;3,361;-;443
    $100,000 - $149,999;286,805;126,116;136,631;19,463;4,594;-;-
    $150,000 - $199,999;166,490;43,843;121,257;-;1,390;-;-
    $200,000 and above;732,486;238,080;488,697;2,116;3,593;-;397
    Did not report;44,472;16,272;21,972;-;-;6,229;562,546
