Housing Table 1b. Last Month's Payment Status for Renter-Occupied Housing Units, by Select Characteristics: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 3.;;;;;;;;
Total Population 18 Years and Older in Renter-Occupied Housing Units;;;;;;;;
Select characteristics;Total;Occupied without rent;Last month’s payment status;Last month’s payment status;Last month’s payment status;Last month’s payment status;Owner occupied;Did not respond to tenure
;;;Yes;No;Rent was deferred;Did not respond;;
;;;;;;;;
Age ;;;;;;;;
    18 - 24;512,147;997;466,953;38,919;5,279;-;174,638;530,388
    25 - 39;2,099,151;1,925;1,337,497;744,865;10,124;4,741;1,098,478;304,687
    40 - 54;1,461,727;47,508;1,085,096;170,628;158,495;-;1,347,439;305,152
    55 - 64;475,227;716;463,994;6,165;4,292;60;878,229;164,326
    65 and above;491,135;42,318;428,903;19,572;-;342;1,216,502;115,178
Sex ;;;;;;;;
    Male;2,468,107;13,496;1,671,495;666,880;114,833;1,401;2,661,503;550,251
    Female;2,571,281;79,968;2,110,949;313,268;63,356;3,741;2,053,782;869,479
Hispanic origin and Race ;;;;;;;;
    Hispanic or Latino (may be of any race);2,415,646;23,816;1,668,360;602,129;119,941;1,401;1,775,467;788,102
    White alone, not Hispanic;1,534,817;29,940;1,335,777;153,368;11,990;3,741;1,573,135;381,233
    Black alone, not Hispanic;369,655;1,518;189,022;164,478;14,637;-;136,386;55,478
    Asian alone, not Hispanic;627,576;37,060;526,762;32,133;31,622;-;994,160;136,534
    Two or more races + Other races, not Hispanic;91,694;1,131;62,523;28,040;-;-;236,138;58,384
Education ;;;;;;;;
    Less than high school;1,042,078;45,377;872,549;112,028;12,124;-;747,258;255,527
    High school or GED;1,394,497;37,385;697,846;542,057;113,870;3,339;820,443;352,010
    Some college/associate’s degree;1,251,373;3,343;911,664;290,244;45,780;342;1,154,260;618,522
    Bachelor’s degree or higher;1,351,440;7,359;1,300,385;35,820;6,416;1,461;1,993,325;193,671
Marital status ;;;;;;;;
    Married;1,561,079;8,441;1,343,603;151,848;52,446;4,741;2,822,463;399,034
    Widowed;93,024;-;62,501;21,498;9,025;-;107,258;7,447
    Divorced/separated;748,785;67,925;515,515;158,841;6,163;342;462,763;168,761
    Never married;2,498,178;17,099;1,734,096;636,368;110,556;60;1,320,339;806,653
    Did not report;138,321;-;126,729;11,593;-;-;2,463;37,836
Presence of children under 18 years old ;;;;;;;;
    Children in household;1,890,664;18,698;1,473,747;334,270;59,149;4,801;1,504,377;732,371
    No children;3,148,724;74,766;2,308,697;645,878;119,041;342;3,210,908;687,360
Respondent or household member experienced loss of employment income ;;;;;;;;
    Yes;3,282,919;12,604;2,187,493;930,576;150,845;1,401;2,755,424;822,247
    No;1,755,736;80,860;1,594,950;48,899;27,345;3,681;1,958,836;560,455
    Did not report;733;-;-;673;-;60;1,025;37,028
Respondent currently employed ;;;;;;;;
    Yes;2,367,110;12,230;1,936,648;395,350;18,142;4,741;2,392,268;655,409
    No;2,672,220;81,234;1,845,738;584,798;160,047;402;2,323,018;694,207
    Did not report;57;-;57;-;-;-;-;70,115
Household income ;;;;;;;;
    Less than $25,000;1,154,277;35,428;921,451;186,818;10,580;-;296,294;200
    $25,000 - $34,999;1,232,720;4,435;684,453;445,964;97,869;-;409,185;-
    $35,000 - $49,999;435,928;38,227;366,208;28,113;3,379;-;374,951;19,470
    $50,000 - $74,999;720,092;348;650,407;42,445;26,892;-;466,027;133
    $75,000 - $99,999;529,355;288;353,433;171,718;3,574;342;1,061,016;133
    $100,000 - $149,999;479,656;1,227;434,569;11,262;32,599;-;668,589;-
    $150,000 - $199,999;180,887;1,106;173,146;1,528;1,767;3,339;388,743;-
    $200,000 and above;151,483;12,404;104,499;34,169;410;-;803,000;-
    Did not report;154,990;-;94,278;58,131;1,120;1,461;247,480;1,399,794
