Housing Table 1b. Last Month's Payment Status for Renter-Occupied Housing Units, by Select Characteristics: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 5.;;;;;;;
Total Population 18 Years and Older in Renter-Occupied Housing Units;;;;;;;
Select characteristics;Total;Occupied without rent;Last month’s payment status;Last month’s payment status;Last month’s payment status;Last month’s payment status;Did not report to tenure
;;;Yes;No;Rent was deferred;Did not report;
;;;;;;;
Total;4,839,822;235,661;3,816,905;555,188;49,254;182,815;1,886,532
Age ;;;;;;;
    18 - 24;549,952;-;444,693;86,462;18,796;-;592,624
    25 - 39;1,808,511;14,392;1,466,857;291,201;17,803;18,258;403,886
    40 - 54;1,316,186;120,473;1,092,889;97,768;5,056;-;276,788
    55 - 64;516,382;3,786;439,876;65,788;6,931;-;286,109
    65 and above;648,791;97,009;372,589;13,968;667;164,558;327,125
Sex ;;;;;;;
    Male;2,436,813;136,378;1,843,405;426,780;13,382;16,868;1,119,798
    Female;2,403,009;99,282;1,973,500;128,407;35,872;165,948;766,734
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);2,211,625;133,034;1,596,768;455,630;9,326;16,868;816,852
    White alone, not Hispanic;1,441,567;57,986;1,325,010;52,570;4,612;1,390;473,994
    Black alone, not Hispanic;312,626;16,469;264,708;7,810;23,639;-;84,287
    Asian alone, not Hispanic;673,304;17,789;454,681;26,277;9,999;164,558;371,852
    Two or more races + Other races, not Hispanic;200,700;10,383;175,738;12,901;1,678;-;139,547
Education ;;;;;;;
    Less than high school;1,261,559;84,807;799,903;212,291;-;164,558;340,357
    High school or GED;803,532;73,384;554,630;158,650;-;16,868;659,320
    Some college/associate’s degree;1,384,933;44,136;1,186,872;112,741;41,184;-;615,056
    Bachelor’s degree or higher;1,389,798;33,334;1,275,499;71,506;8,070;1,390;271,799
Marital status ;;;;;;;
    Married;1,659,919;80,362;1,427,020;147,102;5,435;-;669,435
    Widowed;158,942;11,915;143,850;3,178;-;-;65,266
    Divorced/separated;837,268;82,852;623,083;108,957;5,508;16,868;244,592
    Never married;2,174,686;60,532;1,615,884;295,951;36,372;165,948;877,407
    Did not report;9,007;-;7,068;-;1,939;-;29,833
Presence of children under 18 years old ;;;;;;;
    Children in household;1,937,142;43,077;1,382,408;302,765;27,465;181,425;847,337
    No children;2,902,680;192,583;2,434,497;252,423;21,788;1,390;1,039,196
Respondent or household member experienced loss of employment income ;;;;;;;
    Yes;2,830,398;183,031;2,175,733;417,070;37,696;16,868;1,004,053
    No;2,008,750;52,630;1,640,497;138,118;11,558;165,948;863,062
    Did not report;674;-;674;-;-;-;19,417
Respondent currently employed ;;;;;;;
    Yes;2,284,657;51,267;2,087,646;115,075;12,411;18,258;720,154
    No;2,555,165;184,393;1,729,259;440,113;36,842;164,558;1,144,947
    Did not report;-;-;-;-;-;-;21,432
Household income ;;;;;;;
    Less than $25,000;997,802;84,164;770,533;104,428;21,810;16,868;1,348
    $25,000 - $34,999;819,585;41,262;530,047;237,285;10,991;-;-
    $35,000 - $49,999;542,733;77,575;388,078;71,797;5,284;-;-
    $50,000 - $74,999;862,826;3,593;758,928;93,126;7,178;-;39,113
    $75,000 - $99,999;553,060;25,198;494,685;29,664;3,513;-;2,587
    $100,000 - $149,999;336,559;924;328,004;7,631;-;-;-
    $150,000 - $199,999;148,853;1,738;138,950;7,688;478;-;-
    $200,000 and above;297,761;1,207;294,975;1,579;-;-;-
    Did not report;280,643;-;112,704;1,991;-;165,948;1,843,485
