Housing Table 1b. Last Month's Payment Status for Renter-Occupied Housing Units, by Select Characteristics: Oregon;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 3.;;;;;;;;
Total Population 18 Years and Older in Renter-Occupied Housing Units;;;;;;;;
Select characteristics;Total;Occupied without rent;Last month’s payment status;Last month’s payment status;Last month’s payment status;Last month’s payment status;Owner occupied;Did not respond to tenure
;;;Yes;No;Rent was deferred;Did not respond;;
;;;;;;;;
Age ;;;;;;;;
    18 - 24;42,225;756;32,748;4,691;4,030;-;93,079;45,853
    25 - 39;530,287;13,136;430,609;72,798;6,702;7,041;409,474;104,072
    40 - 54;234,229;6,959;208,770;9,213;4,059;5,228;471,266;59,711
    55 - 64;48,209;5,005;39,831;2,025;1,349;-;468,431;20,680
    65 and above;139,807;12,608;125,189;1,286;612;112;594,138;41,266
Sex ;;;;;;;;
    Male;385,636;22,418;322,853;33,358;4,949;2,059;1,100,020;128,490
    Female;609,121;16,046;514,294;56,654;11,803;10,323;936,368;143,092
Hispanic origin and Race ;;;;;;;;
    Hispanic or Latino (may be of any race);160,384;5,336;122,734;18,909;3,220;10,185;170,536;48,001
    White alone, not Hispanic;698,628;31,398;591,039;65,153;8,841;2,196;1,681,038;183,893
    Black alone, not Hispanic;42,132;-;38,830;3,302;-;-;7,254;4,096
    Asian alone, not Hispanic;36,868;857;36,010;-;-;-;64,143;6,503
    Two or more races + Other races, not Hispanic;56,746;874;48,533;2,648;4,691;-;113,416;29,089
Education ;;;;;;;;
    Less than high school;122,308;15,752;92,228;3,137;1,006;10,185;158,904;42,721
    High school or GED;309,533;2,544;270,861;27,688;6,491;1,949;370,044;85,910
    Some college/associate’s degree;349,249;15,264;286,650;41,879;5,234;222;724,313;94,694
    Bachelor’s degree or higher;213,667;4,904;187,408;17,308;4,021;25;783,126;48,257
Marital status ;;;;;;;;
    Married;343,927;8,767;302,968;20,801;6,298;5,093;1,289,681;106,478
    Widowed;26,938;7,727;18,956;144;-;112;50,068;4,859
    Divorced/separated;188,294;10,555;167,530;4,092;889;5,228;323,911;28,294
    Never married;435,445;11,416;347,622;64,893;9,565;1,949;358,784;125,880
    Did not report;154;-;72;82;-;-;13,944;6,070
Presence of children under 18 years old ;;;;;;;;
    Children in household;459,271;11,780;384,646;49,164;3,361;10,321;645,117;76,507
    No children;535,486;26,685;452,501;40,848;13,391;2,061;1,391,270;195,075
Respondent or household member experienced loss of employment income ;;;;;;;;
    Yes;640,472;29,775;504,849;77,888;15,825;12,134;991,940;107,195
    No;354,286;8,690;332,298;12,124;927;247;1,041,892;159,867
    Did not report;-;-;-;-;-;-;2,555;4,520
Respondent currently employed ;;;;;;;;
    Yes;471,962;11,968;413,132;29,378;7,164;10,321;1,027,704;157,408
    No;522,796;26,497;424,015;60,634;9,589;2,061;1,006,144;109,654
    Did not report;-;-;-;-;-;-;2,539;4,520
Household income ;;;;;;;;
    Less than $25,000;318,284;17,769;245,456;49,258;5,775;25;108,267;766
    $25,000 - $34,999;163,788;9,466;131,718;19,160;3,443;-;128,355;-
    $35,000 - $49,999;155,935;2,864;142,001;4,832;1,146;5,093;251,480;233
    $50,000 - $74,999;140,512;3,790;121,904;9,015;5,803;-;369,626;268
    $75,000 - $99,999;104,585;3,864;99,492;1,120;-;110;395,407;144
    $100,000 - $149,999;59,965;89;52,994;6,295;586;-;444,632;398
    $150,000 - $199,999;26,660;622;26,038;-;-;-;126,187;-
    $200,000 and above;12,563;-;12,563;-;-;-;142,225;41
    Did not report;12,465;-;4,981;330;-;7,153;70,208;269,733
