Standard Error Housing Table 1b. Last Month's Payment Status for Renter-Occupied Housing Units, by Select Characteristics: Oregon;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 6.;;;;;;;
Total Population 18 Years and Older in Renter-Occupied Housing Units;;;;;;;
Select characteristics;Total;Occupied without rent;Last month’s payment status;Last month’s payment status;Last month’s payment status;Last month’s payment status;Did not report to tenure
;;;Yes;No;Rent was deferred;Did not report;
;;;;;;;
Total;67,440;21,917;71,788;18,161;5,314;6,635;32,872
Age ;;;;;;;
    18 - 24;28,004;18,697;23,350;4,071;4,709;-;15,283
    25 - 39;40,321;10,787;40,650;15,109;-;1,127;20,946
    40 - 54;31,407;2,488;30,119;9,379;2,505;6,646;12,726
    55 - 64;22,267;3,489;23,025;3,131;320;530;9,913
    65 and above;34,020;9,278;33,155;-;-;-;13,685
Sex ;;;;;;;
    Male;45,764;22,761;45,025;12,038;5,285;6,646;25,568
    Female;53,183;7,156;58,639;15,777;531;1,247;18,846
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);20,609;19,710;25,789;6,962;-;530;14,815
    White alone, not Hispanic;52,774;12,293;56,213;15,011;5,314;-;27,095
    Black alone, not Hispanic;24,062;-;23,984;2,343;-;-;585
    Asian alone, not Hispanic;18,160;3,139;16,921;-;-;1,127;3,551
    Two or more races + Other races, not Hispanic;18,030;1,228;16,850;5,032;-;6,646;11,007
Education ;;;;;;;
    Less than high school;26,905;-;25,850;6,508;-;-;10,999
    High school or GED;64,639;22,623;61,136;13,967;4,709;6,646;20,552
    Some college/associate’s degree;33,583;4,235;33,053;5,939;2,441;1,247;20,789
    Bachelor’s degree or higher;16,989;5,009;18,768;9,264;574;-;11,894
Marital status ;;;;;;;
    Married;39,370;8,835;35,928;12,326;-;6,646;18,911
    Widowed;42,853;543;42,500;4,671;-;-;5,031
    Divorced/separated;29,356;9,766;25,880;10,227;2,447;530;13,924
    Never married;53,876;19,620;49,958;9,767;4,725;1,127;23,128
    Did not report;9,102;-;9,102;-;-;-;4,147
Presence of children under 18 years old ;;;;;;;
    Children in household;38,371;19,668;33,913;16,395;4,709;530;26,782
    No children;57,216;10,868;59,417;7,419;2,514;6,604;21,948
Respondent or household member experienced loss of employment income ;;;;;;;
    Yes;53,768;11,743;47,990;18,488;2,514;6,604;24,583
    No;70,095;20,039;65,090;3,499;4,709;530;22,040
    Did not report;-;-;-;-;-;-;3,776
Respondent currently employed ;;;;;;;
    Yes;54,280;7,855;56,329;10,968;-;6,635;22,023
    No;54,351;21,728;54,343;15,016;5,314;-;25,150
    Did not report;-;-;-;-;-;-;3,783
Household income ;;;;;;;
    Less than $25,000;59,299;20,426;60,832;10,951;5,310;-;-
    $25,000 - $34,999;31,783;6,489;28,349;11,929;258;-;-
    $35,000 - $49,999;33,922;4,181;31,120;11,179;-;530;-
    $50,000 - $74,999;33,189;2,175;31,501;3,307;-;6,646;349
    $75,000 - $99,999;34,303;670;34,264;312;-;-;665
    $100,000 - $149,999;16,254;-;16,254;-;-;-;93
    $150,000 - $199,999;11,416;-;11,416;-;-;-;-
    $200,000 and above;5,557;3,806;5,986;-;-;-;-
    Did not report;10,731;6,893;7,224;2,337;-;1,127;32,855
