Housing Table 1b. Last Month's Payment Status for Renter-Occupied Housing Units, by Select Characteristics: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 4.;;;;;;;
Total Population 18 Years and Older in Renter-Occupied Housing Units;;;;;;;
Select characteristics;Total;Occupied without rent;Last month’s payment status;Last month’s payment status;Last month’s payment status;Last month’s payment status;Did not report to tenure
;;;Yes;No;Rent was deferred;Did not report;
;;;;;;;
Total;1,197,883;53,236;875,387;217,740;36,778;14,742;1,058,505
Age ;;;;;;;
    18 - 24;96,857;4,639;81,314;4,513;-;6,390;153,119
    25 - 39;454,990;17,813;313,464;114,440;922;8,352;206,043
    40 - 54;316,471;11,330;210,889;59,975;34,277;-;159,500
    55 - 64;202,195;12,735;149,866;38,015;1,579;-;130,296
    65 and above;127,369;6,719;119,854;797;-;-;409,547
Sex ;;;;;;;
    Male;643,049;15,124;485,080;105,217;23,037;14,591;693,585
    Female;554,833;38,112;390,306;112,523;13,741;151;364,920
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);559,420;32,671;406,888;100,534;11,127;8,201;633,243
    White alone, not Hispanic;339,658;12,634;246,052;50,557;23,873;6,542;196,994
    Black alone, not Hispanic;85,488;6,020;51,447;28,021;-;-;79,497
    Asian alone, not Hispanic;59,200;1,764;42,220;13,438;1,778;-;127,663
    Two or more races + Other races, not Hispanic;154,117;148;128,780;25,190;-;-;21,108
Education ;;;;;;;
    Less than high school;358,848;28,212;256,217;63,291;11,127;-;469,739
    High school or GED;282,287;7,827;190,994;75,265;-;8,201;189,395
    Some college/associate’s degree;423,259;12,440;316,359;73,671;14,398;6,390;212,095
    Bachelor’s degree or higher;133,489;4,756;111,816;5,512;11,253;151;187,275
Marital status ;;;;;;;
    Married;364,790;11,813;292,946;47,125;12,905;-;620,421
    Widowed;44,122;-;43,742;-;380;-;34,663
    Divorced/separated;343,135;16,760;193,790;108,940;23,493;151;83,833
    Never married;445,835;24,662;344,908;61,674;-;14,591;313,034
    Did not report;-;-;-;-;-;-;6,555
Presence of children under 18 years old ;;;;;;;
    Children in household;632,892;33,757;403,028;159,626;21,738;14,742;311,838
    No children;564,990;19,479;472,358;58,113;15,040;-;746,667
Respondent or household member experienced loss of employment income ;;;;;;;
    Yes;772,791;30,209;489,115;208,487;36,778;8,201;791,878
    No;425,092;23,027;386,271;9,252;-;6,542;260,785
    Did not report;-;-;-;-;-;-;5,842
Respondent currently employed ;;;;;;;
    Yes;564,994;16,644;470,594;61,713;1,302;14,742;595,026
    No;632,888;36,592;404,793;156,027;35,476;-;448,585
    Did not report;-;-;-;-;-;-;14,895
Household income ;;;;;;;
    Less than $25,000;381,227;23,588;323,104;33,679;855;-;-
    $25,000 - $34,999;260,800;8,380;135,739;92,734;23,947;-;-
    $35,000 - $49,999;97,673;700;69,953;25,822;1,199;-;-
    $50,000 - $74,999;196,487;3,643;141,188;51,656;-;-;-
    $75,000 - $99,999;174,268;5,650;164,162;3,154;1,302;-;-
    $100,000 - $149,999;39,293;1,324;20,805;7,689;9,475;-;213
    $150,000 - $199,999;10,683;-;10,683;-;-;-;-
    $200,000 and above;2,097;701;1,396;-;-;-;-
    Did not report;35,356;9,250;8,357;3,006;-;14,742;1,058,291
