Standard Error Housing Table 1b. Last Month's Payment Status for Renter-Occupied Housing Units, by Select Characteristics: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 6.;;;;;;;
Total Population 18 Years and Older in Renter-Occupied Housing Units;;;;;;;
Select characteristics;Total;Occupied without rent;Last month’s payment status;Last month’s payment status;Last month’s payment status;Last month’s payment status;Did not report to tenure
;;;Yes;No;Rent was deferred;Did not report;
;;;;;;;
Total;216,782;37,402;174,474;104,381;4,930;63,888;119,476
Age ;;;;;;;
    18 - 24;125,311;-;124,711;1,644;-;4,263;69,204
    25 - 39;109,181;6,481;54,823;102,648;4,413;1,760;48,089
    40 - 54;81,434;14,816;80,301;15,105;1,905;-;47,479
    55 - 64;54,353;25,503;51,904;10,511;170;-;15,835
    65 and above;65,902;20,635;17,515;348;-;63,359;53,109
Sex ;;;;;;;
    Male;178,048;22,425;148,679;93,839;4,252;4,263;96,697
    Female;120,026;28,380;90,431;37,306;2,180;63,334;59,976
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);128,357;12,552;103,319;93,441;4,413;-;96,239
    White alone, not Hispanic;146,692;31,974;124,618;15,403;920;63,916;41,364
    Black alone, not Hispanic;38,224;-;37,245;25,627;-;1,760;16,264
    Asian alone, not Hispanic;18,578;13,555;10,416;-;1,637;-;40,174
    Two or more races + Other races, not Hispanic;40,758;-;40,575;3,039;-;-;23,266
Education ;;;;;;;
    Less than high school;104,117;25,526;89,374;45,653;-;-;64,239
    High school or GED;171,327;23,184;129,773;83,609;-;63,359;73,957
    Some college/associate’s degree;51,009;11,573;44,185;25,698;4,525;4,263;41,393
    Bachelor’s degree or higher;21,349;7,189;19,400;1,926;1,637;1,760;9,918
Marital status ;;;;;;;
    Married;112,130;16,926;74,185;93,267;170;-;46,186
    Widowed;74,966;1,514;31,409;2,160;-;63,359;1,967
    Divorced/separated;64,328;18,829;56,495;26,572;902;-;15,828
    Never married;145,925;26,825;138,438;25,673;4,413;4,560;110,127
    Did not report;1,935;-;1,058;-;1,637;-;9,114
Presence of children under 18 years old ;;;;;;;
    Children in household;133,305;12,422;102,231;101,341;1,637;4,560;87,542
    No children;168,888;35,408;147,855;17,202;4,525;63,359;77,572
Respondent or household member experienced loss of employment income ;;;;;;;
    Yes;200,942;14,833;162,634;93,856;4,814;63,888;98,419
    No;85,398;32,837;77,196;41,958;902;-;55,600
    Did not report;1,058;-;1,058;-;-;-;7,580
Respondent currently employed ;;;;;;;
    Yes;162,682;10,363;129,287;84,795;170;4,263;51,781
    No;129,118;35,091;108,172;53,641;4,927;63,334;105,542
    Did not report;1,058;-;1,058;-;-;-;8,454
Household income ;;;;;;;
    Less than $25,000;91,428;29,653;89,601;6,326;4,523;-;-
    $25,000 - $34,999;91,402;12,397;86,977;39,818;1,651;-;-
    $35,000 - $49,999;107,734;1,148;106,967;9,794;-;-;-
    $50,000 - $74,999;40,204;18,924;33,979;26,389;-;-;-
    $75,000 - $99,999;46,781;-;23,014;40,752;-;-;-
    $100,000 - $149,999;21,293;-;21,293;-;-;-;806
    $150,000 - $199,999;3,713;-;3,713;-;-;-;-
    $200,000 and above;13,253;-;13,253;-;-;-;-
    Did not report;106,125;-;17,681;76,443;-;63,888;119,553
