Housing Table 1b. Last Month's Payment Status for Renter-Occupied Housing Units, by Select Characteristics: San Francisco-Oakland-Berkeley, CA Metro Area;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 1.;;;;;;;;
Total Population 18 Years and Older in Renter-Occupied Housing Units;;;;;;;;
Select characteristics;Total;Occupied without rent;Last month’s payment status;Last month’s payment status;Last month’s payment status;Last month’s payment status;Owner occupied;Did not respond to tenure
;;;Yes;No;Rent was deferred;Did not respond;;
;;;;;;;;
Age ;;;;;;;;
    18 - 24;84,540;-;61,564;22,977;-;-;60,686;75,656
    25 - 39;779,212;7,020;692,014;66,738;10,023;3,417;347,957;81,048
    40 - 54;262,903;13,867;225,017;22,259;-;1,760;456,383;71,591
    55 - 64;161,593;8,929;123,530;26,471;2,663;-;409,633;65,697
    65 and above;77,423;3,812;71,128;2,483;-;-;465,643;31,095
Sex ;;;;;;;;
    Male;642,484;8,355;511,713;115,884;6,532;-;970,753;165,614
    Female;723,187;25,273;661,539;25,044;6,154;5,176;769,550;159,472
Hispanic origin and Race ;;;;;;;;
    Hispanic or Latino (may be of any race);230,439;11,018;205,839;7,603;2,562;3,417;236,678;88,582
    White alone, not Hispanic;662,480;14,113;601,837;38,238;6,532;1,760;819,707;88,532
    Black alone, not Hispanic;163,993;3,920;119,428;40,645;-;-;33,926;27,731
    Asian alone, not Hispanic;192,913;3,767;147,496;38,058;3,591;-;554,348;62,083
    Two or more races + Other races, not Hispanic;115,846;810;98,652;16,383;-;-;95,644;58,158
Education ;;;;;;;;
    Less than high school;61,242;4,806;29,965;26,471;-;-;23,411;41,474
    High school or GED;232,542;3,550;163,601;65,392;-;-;172,824;67,822
    Some college/associate’s degree;408,883;18,067;348,725;27,820;9,095;5,176;483,189;94,809
    Bachelor’s degree or higher;663,003;7,204;630,962;21,245;3,591;-;1,060,878;120,981
Marital status ;;;;;;;;
    Married;485,733;11,596;444,214;26,432;3,491;-;1,171,025;132,734
    Widowed;24,979;-;24,979;-;-;-;84,311;8,631
    Divorced/separated;144,484;12,601;120,619;5,183;2,663;3,417;124,496;30,725
    Never married;708,448;9,431;581,413;109,313;6,532;1,760;334,442;133,621
    Did not report;2,027;-;2,027;-;-;-;26,029;19,375
Presence of children under 18 years old ;;;;;;;;
    Children in household;430,053;13,391;334,148;75,607;3,491;3,417;616,492;105,435
    No children;935,617;20,237;839,104;65,321;9,195;1,760;1,123,811;219,651
Respondent or household member experienced loss of employment income ;;;;;;;;
    Yes;686,945;28,557;506,131;140,928;6,154;5,176;770,950;122,906
    No;678,725;5,071;667,122;-;6,532;-;966,926;187,719
    Did not report;-;-;-;-;-;-;2,427;14,461
Respondent currently employed ;;;;;;;;
    Yes;886,475;11,176;788,888;79,503;3,491;3,417;1,043,397;149,203
    No;478,090;22,452;383,259;61,425;9,195;1,760;696,906;161,422
    Did not report;1,106;-;1,106;-;-;-;-;14,461
Household income ;;;;;;;;
    Less than $25,000;116,622;13,328;69,499;33,796;-;-;94,250;2,532
    $25,000 - $34,999;124,594;5,435;111,826;7,333;-;-;49,899;-
    $35,000 - $49,999;144,765;3,508;108,006;30,588;2,663;-;82,088;-
    $50,000 - $74,999;143,657;-;104,048;33,078;6,532;-;211,895;-
    $75,000 - $99,999;168,738;2,126;158,236;7,447;928;-;143,611;8,116
    $100,000 - $149,999;288,991;5,681;251,179;27,809;2,562;1,760;331,752;-
    $150,000 - $199,999;99,435;-;98,558;878;-;-;233,956;885
    $200,000 and above;255,269;-;255,269;-;-;-;535,054;-
    Did not report;23,599;3,550;16,633;-;-;3,417;57,796;313,553
