Standard Error Housing Table 1b. Last Month's Payment Status for Renter-Occupied Housing Units, by Select Characteristics: San Francisco-Oakland-Berkeley, CA Metro Area;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 6.;;;;;;;
Total Population 18 Years and Older in Renter-Occupied Housing Units;;;;;;;
Select characteristics;Total;Occupied without rent;Last month’s payment status;Last month’s payment status;Last month’s payment status;Last month’s payment status;Did not report to tenure
;;;Yes;No;Rent was deferred;Did not report;
;;;;;;;
Total;134,481;4,164;130,410;15,546;25,238;308;71,362
Age ;;;;;;;
    18 - 24;40,495;-;31,559;-;22,064;-;43,415
    25 - 39;95,260;3,262;94,186;13,746;10,666;269;35,571
    40 - 54;36,552;2,002;34,665;7,949;3,676;154;36,054
    55 - 64;47,064;1,935;45,491;395;3,756;-;9,629
    65 and above;71,911;3,254;72,138;687;-;-;10,211
Sex ;;;;;;;
    Male;74,634;2,160;71,857;9,645;11,861;-;56,623
    Female;128,003;3,683;124,059;10,572;22,020;308;48,084
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);86,600;2,717;86,904;7,121;11,484;-;39,846
    White alone, not Hispanic;46,493;3,383;46,231;2,538;675;308;18,452
    Black alone, not Hispanic;43,097;-;33,831;14,785;22,665;-;33,331
    Asian alone, not Hispanic;29,093;729;28,948;1,329;2,098;-;31,899
    Two or more races + Other races, not Hispanic;96,917;3,262;96,887;5,459;-;-;33,951
Education ;;;;;;;
    Less than high school;72,743;-;72,743;-;-;-;45,536
    High school or GED;47,981;1,637;48,004;-;-;-;53,683
    Some college/associate’s degree;100,987;3,262;96,843;11,850;24,924;-;19,384
    Bachelor’s degree or higher;39,348;3,683;38,841;6,528;4,052;308;20,418
Marital status ;;;;;;;
    Married;45,439;3,556;44,715;4,391;3,794;-;16,805
    Widowed;2,029;-;2,029;-;-;-;4,108
    Divorced/separated;79,390;3,015;80,513;4,254;10,652;154;13,003
    Never married;105,043;2,286;100,349;13,948;22,649;269;67,158
    Did not report;-;-;-;-;-;-;13,236
Presence of children under 18 years old ;;;;;;;
    Children in household;63,999;-;57,251;5,089;24,178;154;65,251
    No children;131,557;4,164;130,303;14,694;5,546;269;30,809
Respondent or household member experienced loss of employment income ;;;;;;;
    Yes;132,882;2,593;127,016;15,063;25,238;269;64,364
    No;61,410;3,524;59,935;8,048;-;154;26,691
    Did not report;-;-;-;-;-;-;16,554
Respondent currently employed ;;;;;;;
    Yes;104,485;1,668;103,377;9,364;25,440;154;63,613
    No;92,282;4,100;91,467;10,333;1,532;269;35,128
    Did not report;2,487;-;2,487;-;-;-;13,378
Household income ;;;;;;;
    Less than $25,000;82,933;4,049;83,030;6,503;3,756;-;-
    $25,000 - $34,999;22,046;240;21,774;3,106;3,305;-;-
    $35,000 - $49,999;24,236;1,551;24,198;395;1,482;-;-
    $50,000 - $74,999;38,092;1,285;34,912;9,905;10,662;-;-
    $75,000 - $99,999;96,488;998;96,261;2,759;562;154;-
    $100,000 - $149,999;36,828;1,282;36,337;5,565;-;-;-
    $150,000 - $199,999;32,063;2,517;31,818;-;1,409;269;-
    $200,000 and above;27,113;-;26,674;4,159;-;-;-
    Did not report;24,082;-;8,146;-;22,040;-;71,362
