Housing Table 2a. Confidence in Ability to Make Next Month's Payment for Owner-Occupied Housing Units, by Select Characteristics: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 3.;;;;;;;;;;
Total Population 18 Years and Older in Owner-Occupied Housing Units;;;;;;;;;;
Select characteristics;Total;Owned free and clear;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Renter occupied;Did not respond to tenure
;;;No confidence;Slight confidence;Moderate confidence;High confidence;Payment is/will be deferred;Did not respond;;
;;;;;;;;;;
Age ;;;;;;;;;;
    18 - 24;174,638;40,436;4,888;1,470;79,424;48,421;-;-;512,147;530,388
    25 - 39;1,098,478;287,734;36,784;62,918;255,540;377,244;67,892;10,367;2,099,151;304,687
    40 - 54;1,347,439;213,447;48,888;190,500;254,345;617,298;22,961;-;1,461,727;305,152
    55 - 64;878,229;269,499;29,691;71,931;137,206;363,872;5,904;126;475,227;164,326
    65 and above;1,216,502;374,826;26,972;12,215;433,035;356,347;10,719;2,388;491,135;115,178
Sex ;;;;;;;;;;
    Male;2,661,503;644,218;24,810;275,331;767,676;857,450;92,018;-;2,468,107;550,251
    Female;2,053,782;541,724;122,412;63,702;391,874;905,732;15,458;12,881;2,571,281;869,479
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);1,775,467;355,343;64,355;277,295;648,146;407,459;12,503;10,367;2,415,646;788,102
    White alone, not Hispanic;1,573,135;471,995;29,709;29,921;315,836;703,313;22,234;126;1,534,817;381,233
    Black alone, not Hispanic;136,386;18,938;18,215;5,402;26,339;65,673;1,818;-;369,655;55,478
    Asian alone, not Hispanic;994,160;280,114;28,644;21,813;145,343;446,908;68,949;2,388;627,576;136,534
    Two or more races + Other races, not Hispanic;236,138;59,551;6,298;4,602;23,886;139,829;1,972;-;91,694;58,384
Education ;;;;;;;;;;
    Less than high school;747,258;111,661;-;212,157;405,672;17,768;-;-;1,042,078;255,527
    High school or GED;820,443;194,201;48,892;27,733;332,136;133,716;73,398;10,367;1,394,497;352,010
    Some college/associate’s degree;1,154,260;427,558;49,411;57,369;149,950;464,681;5,291;-;1,251,373;618,522
    Bachelor’s degree or higher;1,993,325;452,523;48,919;41,774;271,791;1,147,017;28,787;2,514;1,351,440;193,671
Marital status ;;;;;;;;;;
    Married;2,822,463;556,457;50,878;269,491;765,581;1,142,617;35,051;2,388;1,561,079;399,034
    Widowed;107,258;61,670;757;3,195;3,454;37,789;267;126;93,024;7,447
    Divorced/separated;462,763;210,670;19,643;8,804;40,292;113,049;70,305;-;748,785;168,761
    Never married;1,320,339;355,358;75,944;57,543;349,939;469,334;1,854;10,367;2,498,178;806,653
    Did not report;2,463;1,787;-;-;283;393;-;-;138,321;37,836
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;1,504,377;318,937;71,434;275,468;218,089;584,545;25,538;10,367;1,890,664;732,371
    No children;3,210,908;867,005;75,788;63,565;941,461;1,178,637;81,938;2,514;3,148,724;687,360
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;2,755,424;521,868;125,508;320,020;932,378;746,716;106,546;2,388;3,282,919;822,247
    No;1,958,836;663,048;21,714;19,014;227,171;1,016,466;930;10,493;1,755,736;560,455
    Did not report;1,025;1,025;-;-;-;-;-;-;733;37,028
Respondent currently employed ;;;;;;;;;;
    Yes;2,392,268;573,254;44,808;86,179;480,360;1,173,921;23,379;10,367;2,367,110;655,409
    No;2,323,018;612,688;102,414;252,855;679,190;589,261;84,097;2,514;2,672,220;694,207
    Did not report;-;-;-;-;-;-;-;-;57;70,115
Household income ;;;;;;;;;;
    Less than $25,000;296,294;178,810;44,433;15,741;43,708;13,432;171;-;1,154,277;200
    $25,000 - $34,999;409,185;157,356;28,651;6,723;115,331;33,440;67,684;-;1,232,720;-
    $35,000 - $49,999;374,951;144,308;33,933;26,255;82,636;86,628;1,190;-;435,928;19,470
    $50,000 - $74,999;466,027;62,188;14,317;61,406;145,846;176,236;6,035;-;720,092;133
    $75,000 - $99,999;1,061,016;252,977;22,304;195,162;390,139;195,041;5,392;-;529,355;133
    $100,000 - $149,999;668,589;154,693;1,357;17,220;103,771;385,024;6,524;-;479,656;-
    $150,000 - $199,999;388,743;87,742;829;8,844;9,548;278,441;3,338;-;180,887;-
    $200,000 and above;803,000;103,747;1,271;2,291;104,830;573,721;17,141;-;151,483;-
    Did not report;247,480;44,121;126;5,392;163,740;21,219;-;12,881;154,990;1,399,794
