Housing Table 2a. Confidence in Ability to Make Next Month's Payment for Owner-Occupied Housing Units, by Select Characteristics: Oregon;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 4.;;;;;;;;;
Total Population 18 Years and Older in Owner-Occupied Housing Units;;;;;;;;;
Select characteristics;Total;Owned free and clear;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Did not report to tenure
;;;No confidence;Slight confidence;Moderate confidence;High confidence;Payment is/will be deferred;Did not report;
;;;;;;;;;
Total;1,810,832;570,177;12,197;85,315;261,592;844,933;19,121;17,497;414,052
Age ;;;;;;;;;
    18 - 24;53,164;17,751;-;3,683;6,742;11,605;-;13,383;55,000
    25 - 39;349,546;44,276;3,418;31,999;82,337;179,288;5,223;3,005;141,348
    40 - 54;449,202;60,521;4,534;31,767;93,627;255,823;2,633;297;92,754
    55 - 64;361,465;85,239;4,051;8,370;53,433;207,232;2,329;812;49,969
    65 and above;597,455;362,390;194;9,495;25,455;190,985;8,936;-;74,982
Sex ;;;;;;;;;
    Male;853,164;277,272;4,959;42,329;124,796;387,384;3,041;13,383;247,343
    Female;957,668;292,905;7,238;42,986;136,796;457,549;16,079;4,114;166,710
Hispanic origin and Race ;;;;;;;;;
    Hispanic or Latino (may be of any race);148,219;21,337;-;20,836;53,914;47,798;4,333;-;25,213
    White alone, not Hispanic;1,521,708;501,078;12,003;51,619;185,960;754,751;12,185;4,114;308,525
    Black alone, not Hispanic;6,738;-;-;1,786;3,306;911;734;-;16,043
    Asian alone, not Hispanic;81,476;27,113;-;9,190;14,427;15,907;1,455;13,383;34,196
    Two or more races + Other races, not Hispanic;52,691;20,649;194;1,884;3,985;25,566;413;-;30,076
Education ;;;;;;;;;
    Less than high school;107,373;14,853;-;2,926;75,712;11,794;-;2,089;8,346
    High school or GED;406,344;166,022;2,459;28,691;62,466;129,665;3,657;13,383;162,445
    Some college/associate’s degree;625,215;195,471;4,288;40,234;91,399;282,270;11,256;297;142,885
    Bachelor’s degree or higher;671,899;193,831;5,451;13,464;32,015;421,204;4,207;1,728;100,377
Marital status ;;;;;;;;;
    Married;1,194,750;390,989;5,958;42,865;138,091;595,469;17,265;4,114;195,400
    Widowed;78,478;42,518;385;-;15,999;19,512;64;-;2,759
    Divorced/separated;245,055;60,169;526;15,163;34,901;132,834;1,462;-;63,075
    Never married;285,181;71,860;5,328;26,925;71,259;96,095;330;13,383;143,128
    Did not report;7,367;4,640;-;362;1,343;1,023;-;-;9,691
Presence of children under 18 years old ;;;;;;;;;
    Children in household;606,545;75,733;1,075;36,138;152,105;332,373;7,907;1,214;165,639
    No children;1,204,287;494,444;11,122;49,176;109,487;512,560;11,214;16,283;248,414
Respondent or household member experienced loss of employment income ;;;;;;;;;
    Yes;763,464;158,920;10,958;62,734;211,205;297,648;6,591;15,408;158,505
    No;1,047,368;411,257;1,239;22,581;50,387;547,284;12,530;2,089;247,798
    Did not report;-;-;-;-;-;-;-;-;7,749
Respondent currently employed ;;;;;;;;;
    Yes;924,849;162,998;5,293;41,273;149,435;541,091;8,178;16,580;240,962
    No;883,412;405,951;6,904;44,042;110,815;303,842;10,943;916;166,719
    Did not report;2,571;1,228;-;-;1,343;-;-;-;6,372
Household income ;;;;;;;;;
    Less than $25,000;150,857;69,906;1,599;20,504;49,010;8,855;983;-;-
    $25,000 - $34,999;146,855;73,278;2,459;9,424;11,854;49,700;140;-;-
    $35,000 - $49,999;179,738;71,472;5,870;14,377;38,304;49,039;676;-;-
    $50,000 - $74,999;292,483;100,274;1,239;3,613;49,000;124,677;-;13,680;-
    $75,000 - $99,999;325,420;64,964;194;10,142;83,788;160,828;5,504;-;-
    $100,000 - $149,999;339,946;81,040;514;24,055;18,522;211,312;4,504;-;-
    $150,000 - $199,999;189,306;67,728;322;2,581;4,870;108,262;5,544;-;350
    $200,000 and above;123,282;33,308;-;618;4,055;84,084;1,217;-;-
    Did not report;62,943;8,208;-;-;2,189;48,176;553;3,817;413,702
