Standard Error Housing Table 2a. Confidence in Ability to Make Next Month's Payment for Owner-Occupied Housing Units, by Select Characteristics: Oregon;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 6.;;;;;;;;;
Total Population 18 Years and Older in Owner-Occupied Housing Units;;;;;;;;;
Select characteristics;Total;Owned free and clear;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Did not report to tenure
;;;No confidence;Slight confidence;Moderate confidence;High confidence;Payment is/will be deferred;Did not report;
;;;;;;;;;
Total;69,497;46,846;5,328;11,274;24,635;57,763;7,613;26,884;32,872
Age ;;;;;;;;;
    18 - 24;36,156;13,229;-;-;7,147;29,864;-;26,689;15,283
    25 - 39;34,680;10,363;3,942;7,516;14,445;25,392;1,959;483;20,946
    40 - 54;24,927;27,657;1,216;7,744;17,283;18,724;1,117;2,442;12,726
    55 - 64;19,148;18,362;282;4,299;9,997;19,849;4,177;-;9,913
    65 and above;38,081;32,237;2,981;4,322;15,451;37,666;5,921;-;13,685
Sex ;;;;;;;;;
    Male;43,447;38,119;3,160;7,234;20,530;46,158;6,797;26,834;25,568
    Female;52,728;29,396;4,066;10,425;16,451;39,693;3,367;483;18,846
Hispanic origin and Race ;;;;;;;;;
    Hispanic or Latino (may be of any race);18,045;17,961;3,110;2,828;9,896;14,887;-;483;14,815
    White alone, not Hispanic;58,406;43,602;3,619;8,760;24,035;50,821;6,608;26,834;27,095
    Black alone, not Hispanic;3,801;356;-;1,351;2,593;2,751;-;-;585
    Asian alone, not Hispanic;15,600;8,979;2,817;6,007;2,233;5,939;3,364;-;3,551
    Two or more races + Other races, not Hispanic;24,799;11,161;-;3,784;4,969;22,983;1,275;-;11,007
Education ;;;;;;;;;
    Less than high school;34,667;17,279;2,892;2,664;10,498;23,887;-;26,682;10,999
    High school or GED;46,396;28,774;-;7,327;11,339;39,387;3,856;2,442;20,552
    Some college/associate’s degree;33,220;29,353;4,733;7,343;17,668;37,750;5,956;3,121;20,789
    Bachelor’s degree or higher;17,064;21,840;520;5,899;14,523;25,121;2,512;-;11,894
Marital status ;;;;;;;;;
    Married;57,076;41,514;2,962;8,559;22,374;47,705;7,238;3,983;18,911
    Widowed;13,657;8,528;-;-;2,376;10,317;-;-;5,031
    Divorced/separated;29,133;16,899;3,787;7,750;8,527;12,144;1,622;-;13,924
    Never married;46,215;20,942;2,892;4,831;16,109;35,798;1,858;26,682;23,128
    Did not report;442;-;-;-;-;442;-;-;4,147
Presence of children under 18 years old ;;;;;;;;;
    Children in household;46,251;28,024;3,124;8,514;13,464;35,216;6,828;26,734;26,782
    No children;55,010;38,995;4,204;8,286;25,659;50,233;3,356;3,968;21,948
Respondent or household member experienced loss of employment income ;;;;;;;;;
    Yes;56,808;32,729;5,328;10,961;24,719;40,467;7,624;26,834;24,583
    No;61,618;38,959;-;1,955;13,688;54,093;347;483;22,040
    Did not report;528;-;-;-;-;528;-;-;3,776
Respondent currently employed ;;;;;;;;;
    Yes;57,899;33,260;2,981;6,209;14,120;46,308;1,637;26,737;22,023
    No;51,527;35,799;4,121;9,617;24,505;35,609;7,374;2,442;25,150
    Did not report;6,848;6,536;-;2,664;-;704;-;-;3,783
Household income ;;;;;;;;;
    Less than $25,000;23,451;11,138;2,818;2,115;5,424;23,089;3,944;-;-
    $25,000 - $34,999;34,890;15,408;1,309;3,610;18,950;20,528;347;-;-
    $35,000 - $49,999;33,063;25,209;3,988;2,051;12,636;30,620;1,325;-;-
    $50,000 - $74,999;32,875;16,109;998;7,162;14,672;24,401;1,959;-;349
    $75,000 - $99,999;40,898;25,865;833;5,425;7,454;29,115;5,957;-;665
    $100,000 - $149,999;34,503;16,984;-;5,594;10,302;29,559;799;-;93
    $150,000 - $199,999;30,758;18,997;-;958;2,625;20,752;1,017;-;-
    $200,000 and above;24,230;15,657;-;-;2,014;15,633;419;-;-
    Did not report;30,518;9,226;-;636;1,851;3,152;-;26,884;32,855
