Housing Table 2a. Confidence in Ability to Make Next Month's Payment for Owner-Occupied Housing Units, by Select Characteristics: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 3.;;;;;;;;;;
Total Population 18 Years and Older in Owner-Occupied Housing Units;;;;;;;;;;
Select characteristics;Total;Owned free and clear;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Renter occupied;Did not respond to tenure
;;;No confidence;Slight confidence;Moderate confidence;High confidence;Payment is/will be deferred;Did not respond;;
;;;;;;;;;;
Age ;;;;;;;;;;
    18 - 24;187,727;40,179;102,268;10,872;6,225;28,183;-;-;188,975;114,269
    25 - 39;417,787;58,005;6,199;144,148;32,737;169,456;7,242;-;459,927;137,556
    40 - 54;559,695;126,323;38,429;63,796;93,347;236,817;983;-;299,187;130,081
    55 - 64;616,469;251,880;11,638;66,469;88,084;197,386;1,014;-;255,382;55,845
    65 and above;432,345;179,089;3,296;15,103;16,297;215,131;3,429;-;218,142;39,303
Sex ;;;;;;;;;;
    Male;1,146,812;331,462;37,070;178,128;113,785;481,584;4,784;-;697,637;282,778
    Female;1,067,210;324,014;124,761;122,261;122,903;365,388;7,883;-;723,977;194,277
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);974,892;160,558;116,699;237,603;127,260;326,609;6,163;-;704,804;293,403
    White alone, not Hispanic;869,701;372,538;21,535;33,019;85,815;351,076;5,718;-;406,084;81,782
    Black alone, not Hispanic;180,199;87,885;205;639;7,556;83,914;-;-;203,732;38,342
    Asian alone, not Hispanic;124,113;34,494;1,930;25,886;13,583;47,773;448;-;52,838;47,880
    Two or more races + Other races, not Hispanic;65,117;-;21,462;3,242;2,475;37,600;339;-;54,156;15,646
Education ;;;;;;;;;;
    Less than high school;294,951;76,654;31,059;118,869;43,238;25,130;-;-;277,437;153,709
    High school or GED;682,595;245,562;113,044;77,300;61,782;180,773;4,134;-;424,420;106,834
    Some college/associate’s degree;677,744;179,219;3,577;54,718;74,004;360,566;5,661;-;514,138;179,271
    Bachelor’s degree or higher;558,733;154,041;14,150;49,503;57,663;280,503;2,873;-;205,618;37,240
Marital status ;;;;;;;;;;
    Married;1,386,715;391,308;135,427;172,056;137,510;547,868;2,545;-;450,625;233,620
    Widowed;166,644;123,540;18,964;377;7,699;16,065;-;-;117,934;6,681
    Divorced/separated;287,083;31,859;373;40,887;62,833;147,171;3,960;-;292,725;63,419
    Never married;367,522;102,910;7,066;86,968;28,646;135,769;6,163;-;552,117;165,232
    Did not report;6,058;5,858;-;101;-;99;-;-;8,212;8,102
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;946,920;194,215;37,891;223,169;104,709;380,224;6,712;-;768,928;288,455
    No children;1,267,103;461,260;123,940;77,220;131,980;466,748;5,956;-;652,686;188,599
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;1,208,932;324,127;158,490;260,090;154,133;305,358;6,734;-;975,144;302,497
    No;1,005,091;331,348;3,340;40,299;82,555;541,614;5,934;-;440,835;169,008
    Did not report;-;-;-;-;-;-;-;-;5,635;5,550
Respondent currently employed ;;;;;;;;;;
    Yes;1,120,471;272,937;147,505;48,472;136,496;509,132;5,928;-;659,308;241,157
    No;1,093,551;382,538;14,325;251,917;100,192;337,840;6,739;-;756,671;229,455
    Did not report;-;-;-;-;-;-;-;-;5,635;6,443
Household income ;;;;;;;;;;
    Less than $25,000;236,131;52,524;120,944;6,352;14,614;41,336;362;-;324,929;-
    $25,000 - $34,999;231,378;103,339;10,286;43,038;49,689;18,011;7,014;-;203,050;-
    $35,000 - $49,999;300,431;120,065;6,409;68,421;30,334;73,173;2,029;-;223,058;-
    $50,000 - $74,999;364,214;87,231;1,144;75,314;54,958;145,272;295;-;279,566;1,730
    $75,000 - $99,999;363,139;122,917;9,301;11,506;32,980;186,434;-;-;241,902;-
    $100,000 - $149,999;376,598;47,066;10,881;75,338;25,032;216,729;1,552;-;69,755;-
    $150,000 - $199,999;211,612;88,226;2,685;293;28,113;91,904;391;-;21,292;-
    $200,000 and above;87,218;23,582;92;132;-;62,518;893;-;19,167;452
    Did not report;43,302;10,526;87;19,993;969;11,595;132;-;38,893;474,872
