Housing Table 2a. Confidence in Ability to Make Next Month's Payment for Owner-Occupied Housing Units, by Select Characteristics: San Francisco-Oakland-Berkeley, CA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 3.;;;;;;;;;;
Total Population 18 Years and Older in Owner-Occupied Housing Units;;;;;;;;;;
Select characteristics;Total;Owned free and clear;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Renter occupied;Did not respond to tenure
;;;No confidence;Slight confidence;Moderate confidence;High confidence;Payment is/will be deferred;Did not respond;;
;;;;;;;;;;
Age ;;;;;;;;;;
    18 - 24;101,716;72,872;-;4,443;12,750;11,651;-;-;95,093;114,565
    25 - 39;309,958;48,783;210;4,281;60,319;190,621;3,086;2,658;776,191;257,679
    40 - 54;481,064;132,057;1,856;13,386;69,308;257,443;6,925;89;406,236;180,971
    55 - 64;300,047;93,574;2,010;10,555;42,886;132,188;18,833;-;147,387;37,323
    65 and above;880,824;557,197;2,322;24,153;41,473;227,042;27,569;1,067;131,796;53,755
Sex ;;;;;;;;;;
    Male;1,051,545;390,068;1,122;12,464;92,494;529,402;25,707;288;604,624;282,499
    Female;1,022,064;514,416;5,276;44,354;134,242;289,544;30,706;3,527;952,078;361,794
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);190,908;87,235;740;7,923;63,963;28,235;1,828;985;616,616;202,425
    White alone, not Hispanic;970,551;405,955;1,503;9,979;57,952;442,962;49,370;2,830;575,731;83,635
    Black alone, not Hispanic;72,950;10,126;71;9,868;3,831;48,311;743;-;74,361;143,694
    Asian alone, not Hispanic;762,686;372,152;3,715;18,894;84,800;278,653;4,472;-;245,690;127,724
    Two or more races + Other races, not Hispanic;76,513;29,015;370;10,153;16,191;20,784;-;-;44,305;86,817
Education ;;;;;;;;;;
    Less than high school;19,837;1,208;-;7,987;8,494;-;-;2,148;238,638;273,739
    High school or GED;410,813;233,818;813;8,506;70,688;70,757;26,230;-;333,828;123,818
    Some college/associate’s degree;529,052;297,392;4,179;15,814;73,658;133,042;3,692;1,273;387,147;107,196
    Bachelor’s degree or higher;1,113,908;372,065;1,406;24,510;73,896;615,146;26,491;393;597,089;139,540
Marital status ;;;;;;;;;;
    Married;1,404,768;568,187;4,652;28,714;124,308;650,493;27,821;593;497,532;173,934
    Widowed;106,673;65,752;187;78;26,265;14,390;-;-;14,976;11,175
    Divorced/separated;260,686;139,318;970;13,061;26,340;54,586;25,336;1,074;256,188;127,978
    Never married;298,369;130,617;588;14,492;49,823;97,444;3,256;2,148;787,541;321,217
    Did not report;3,115;610;-;472;-;2,033;-;-;465;9,988
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;648,639;229,608;2,486;21,869;63,375;282,059;46,494;2,747;489,022;317,981
    No children;1,424,971;674,876;3,912;34,948;163,361;536,887;9,919;1,067;1,067,680;326,313
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;582,583;153,699;6,044;42,258;148,696;201,249;30,348;288;1,030,052;327,024
    No;1,490,641;750,400;355;14,559;78,040;617,696;26,065;3,527;526,650;301,677
    Did not report;385;385;-;-;-;-;-;-;-;15,592
Respondent currently employed ;;;;;;;;;;
    Yes;921,917;208,883;2,834;35,083;109,475;537,977;24,919;2,747;696,377;292,973
    No;1,151,423;695,390;3,564;21,735;117,262;280,910;31,494;1,067;858,306;335,230
    Did not report;269;211;-;-;-;58;-;-;2,019;16,091
Household income ;;;;;;;;;;
    Less than $25,000;192,912;131,428;1,509;8,824;21,444;4,980;24,726;-;236,585;1,634
    $25,000 - $34,999;59,262;22,095;-;2,203;30,271;4,693;-;-;236,016;-
    $35,000 - $49,999;137,221;92,465;370;5,039;29,660;9,589;99;-;204,167;-
    $50,000 - $74,999;322,801;227,944;1,786;15,174;16,240;61,213;444;-;113,048;296
    $75,000 - $99,999;214,265;56,109;317;4,466;41,545;111,257;571;-;127,147;-
    $100,000 - $149,999;363,426;163,915;506;7,735;63,800;126,937;533;-;277,709;260
    $150,000 - $199,999;153,398;33,102;1,909;6,407;10,146;98,815;3,018;-;115,751;560
    $200,000 and above;581,336;165,488;-;1,938;10,133;376,754;27,022;-;231,190;-
    Did not report;48,988;11,938;-;5,031;3,497;24,708;-;3,815;15,089;641,543
