Standard Error Housing Table 2a. Confidence in Ability to Make Next Month's Payment for Owner-Occupied Housing Units, by Select Characteristics: San Francisco-Oakland-Berkeley, CA Metro Area;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 6.;;;;;;;;;
Total Population 18 Years and Older in Owner-Occupied Housing Units;;;;;;;;;
Select characteristics;Total;Owned free and clear;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Did not report to tenure
;;;No confidence;Slight confidence;Moderate confidence;High confidence;Payment is/will be deferred;Did not report;
;;;;;;;;;
Total;137,250;76,870;37,595;24,874;38,219;82,997;14,750;5,475;71,362
Age ;;;;;;;;;
    18 - 24;46,355;24,655;-;-;35,509;21,204;-;-;43,415
    25 - 39;75,090;24,439;6,217;22,547;13,366;67,027;-;4,094;35,571
    40 - 54;43,366;14,414;5,634;9,268;15,484;31,104;3,150;3,363;36,054
    55 - 64;59,300;45,293;36,461;3,535;13,066;20,180;1,714;1,063;9,629
    65 and above;61,780;44,432;3,823;2,537;6,746;29,688;14,344;-;10,211
Sex ;;;;;;;;;
    Male;105,857;55,499;36,200;23,109;36,041;69,954;14,462;-;56,623
    Female;79,104;56,854;10,454;7,331;17,163;35,370;2,751;5,475;48,084
Hispanic origin and Race ;;;;;;;;;
    Hispanic or Latino (may be of any race);92,044;36,082;10,582;22,144;10,588;70,420;-;1,063;39,846
    White alone, not Hispanic;60,976;48,188;6,529;3,334;12,973;36,291;2,699;-;18,452
    Black alone, not Hispanic;12,213;4,224;3,213;8,250;727;5,893;-;-;33,331
    Asian alone, not Hispanic;60,375;25,277;35,474;5,689;36,915;24,340;14,690;5,349;31,899
    Two or more races + Other races, not Hispanic;39,628;35,374;-;-;5,019;16,337;-;-;33,951
Education ;;;;;;;;;
    Less than high school;54,529;40,451;36,552;3,087;9,991;-;-;-;45,536
    High school or GED;48,499;39,447;-;8,250;10,580;22,257;-;-;53,683
    Some college/associate’s degree;60,154;30,724;5,195;22,510;34,940;32,465;14,690;3,363;19,384
    Bachelor’s degree or higher;76,903;31,989;8,185;4,368;16,036;76,737;2,699;4,195;20,418
Marital status ;;;;;;;;;
    Married;76,508;47,939;35,529;8,061;20,728;43,534;14,744;3,363;16,805
    Widowed;6,635;4,625;-;-;-;4,149;-;-;4,108
    Divorced/separated;47,972;40,470;12,816;567;3,943;15,196;393;1,063;13,003
    Never married;98,031;43,377;214;23,082;35,418;70,399;-;4,094;67,158
    Did not report;2,461;376;-;-;-;2,431;-;-;13,236
Presence of children under 18 years old ;;;;;;;;;
    Children in household;45,342;27,326;6,989;6,104;13,514;33,983;938;1,063;65,251
    No children;116,763;65,063;37,117;23,558;35,694;77,580;14,709;5,349;30,809
Respondent or household member experienced loss of employment income ;;;;;;;;;
    Yes;116,777;53,719;37,010;24,692;37,928;72,170;14,776;4,094;64,364
    No;70,267;51,156;6,202;1,394;9,667;39,740;2,723;3,601;26,691
    Did not report;-;-;-;-;-;-;-;-;16,554
Respondent currently employed ;;;;;;;;;
    Yes;106,172;59,897;36,501;4,159;36,979;74,654;2,723;5,475;63,613
    No;77,314;51,177;10,013;24,455;17,927;34,406;14,776;-;35,128
    Did not report;2,411;2,411;-;-;-;-;-;-;13,378
Household income ;;;;;;;;;
    Less than $25,000;27,924;9,853;6,210;21,842;3,395;9,110;-;-;-
    $25,000 - $34,999;15,786;5,620;11,248;3,087;6,229;2,461;-;-;-
    $35,000 - $49,999;28,068;22,598;3,376;1,621;5,448;2,896;14,433;-;-
    $50,000 - $74,999;33,902;22,302;-;3,439;13,581;14,321;1,256;-;-
    $75,000 - $99,999;43,379;22,734;-;10,187;34,229;17,882;-;-;-
    $100,000 - $149,999;61,360;45,392;35,474;484;7,548;24,551;3,177;-;-
    $150,000 - $199,999;72,915;28,382;-;1,168;7,169;64,738;-;-;-
    $200,000 and above;39,942;22,640;-;-;13,231;33,525;1,759;-;-
    Did not report;19,873;17,320;-;-;5,268;6,432;-;5,475;71,362
