Housing Table 2a. Confidence in Ability to Make Next Month's Payment for Owner-Occupied Housing Units, by Select Characteristics: Seattle-Tacoma-Bellevue, WA Metro Area;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 5.;;;;;;;;;
Total Population 18 Years and Older in Owner-Occupied Housing Units;;;;;;;;;
Select characteristics;Total;Owned free and clear;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Did not report to tenure
;;;No confidence;Slight confidence;Moderate confidence;High confidence;Payment is/will be deferred;Did not report;
;;;;;;;;;
Total;1,876,369;426,291;25,675;101,952;215,529;1,048,022;57,258;1,641;325,569
Age ;;;;;;;;;
    18 - 24;67,582;20,257;-;-;14,017;31,667;-;1,641;99,443
    25 - 39;471,013;38,854;10,950;58,914;45,339;287,870;29,087;-;72,772
    40 - 54;583,810;65,144;12,943;22,068;114,410;348,395;20,850;-;54,858
    55 - 64;358,798;103,715;1,783;17,235;33,135;199,711;3,219;-;53,576
    65 and above;395,165;198,320;-;3,734;8,629;180,379;4,102;-;44,920
Sex ;;;;;;;;;
    Male;919,068;220,549;19,778;74,208;74,448;523,345;6,739;-;174,862
    Female;957,301;205,742;5,897;27,744;141,081;524,677;50,520;1,641;150,707
Hispanic origin and Race ;;;;;;;;;
    Hispanic or Latino (may be of any race);189,384;60,224;5,565;259;29,891;82,078;11,367;-;61,483
    White alone, not Hispanic;1,265,680;291,076;18,307;78,821;105,057;753,490;18,930;-;158,520
    Black alone, not Hispanic;75,968;6,435;734;5,481;17,898;45,419;-;-;37,906
    Asian alone, not Hispanic;220,853;62,179;1,069;12,822;27,534;88,648;26,961;1,641;25,877
    Two or more races + Other races, not Hispanic;124,484;6,378;-;4,569;35,150;78,387;-;-;41,782
Education ;;;;;;;;;
    Less than high school;31,580;-;-;-;-;31,580;-;-;32,462
    High school or GED;510,443;115,766;9,052;53,871;84,121;207,103;40,531;-;137,259
    Some college/associate’s degree;560,308;110,439;13,028;34,039;84,513;304,555;12,093;1,641;80,538
    Bachelor’s degree or higher;774,038;200,087;3,595;14,041;46,896;504,784;4,634;-;75,311
Marital status ;;;;;;;;;
    Married;1,158,707;271,818;14,015;54,162;124,571;679,772;14,370;-;97,258
    Widowed;68,960;45,494;-;251;3,175;19,598;442;-;14,993
    Divorced/separated;258,941;41,599;3,955;15,522;35,154;149,937;12,774;-;43,270
    Never married;387,655;65,275;7,705;32,017;52,630;198,714;29,673;1,641;151,842
    Did not report;2,105;2,105;-;-;-;-;-;-;18,207
Presence of children under 18 years old ;;;;;;;;;
    Children in household;657,693;87,724;11,000;46,248;77,625;424,923;8,533;1,641;132,336
    No children;1,218,676;338,567;14,675;55,704;137,905;623,099;48,725;-;193,233
Respondent or household member experienced loss of employment income ;;;;;;;;;
    Yes;817,672;123,468;24,038;69,165;153,532;391,383;54,445;1,641;125,012
    No;1,056,019;300,684;1,637;32,786;61,997;656,102;2,813;-;183,320
    Did not report;2,677;2,140;-;-;-;538;-;-;17,238
Respondent currently employed ;;;;;;;;;
    Yes;1,112,504;155,206;12,403;47,044;159,031;728,337;10,482;-;159,975
    No;753,835;261,742;13,272;54,907;56,498;318,999;46,776;1,641;148,357
    Did not report;10,030;9,344;-;-;-;686;-;-;17,238
Household income ;;;;;;;;;
    Less than $25,000;86,287;31,122;174;16,995;18,983;19,013;-;-;-
    $25,000 - $34,999;108,290;15,664;7,923;2,425;18,531;59,310;4,438;-;-
    $35,000 - $49,999;136,619;67,463;6,659;9,283;19,399;33,815;-;-;-
    $50,000 - $74,999;285,107;77,525;3,807;22,138;75,776;92,184;13,677;-;230
    $75,000 - $99,999;235,006;61,656;4,911;20,202;19,796;123,313;5,129;-;2,813
    $100,000 - $149,999;436,524;59,395;-;15,575;34,892;295,885;30,777;-;-
    $150,000 - $199,999;243,039;48,768;-;12,644;20,873;159,715;1,039;-;-
    $200,000 and above;290,904;46,880;1,203;2,689;2,616;236,064;1,452;-;-
    Did not report;54,592;17,818;999;-;4,664;28,723;747;1,641;322,526
