Housing Table 2b. Confidence in Ability to Make Next Month's Payment for Renter-Occupied Housing Units, by Select Characteristics: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 3.;;;;;;;;;;
Total Population 18 Years and Older in Renter-Occupied Housing Units;;;;;;;;;;
Select characteristics;Total;Occupied without rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Owner occupied;Did not respond to tenure
;;;No confidence;Slight confidence;Moderate confidence;High confidence;Payment is/will be deferred;Did not respond;;
;;;;;;;;;;
Age ;;;;;;;;;;
    18 - 24;188,975;-;31,334;14,269;119,716;17,364;-;6,292;187,727;114,269
    25 - 39;459,927;4,459;74,459;106,554;111,902;153,062;9,049;441;417,787;137,556
    40 - 54;299,187;6,375;33,145;94,780;62,431;97,451;5,006;-;559,695;130,081
    55 - 64;255,382;74,460;36,295;8,947;27,999;107,681;-;-;616,469;55,845
    65 and above;218,142;13,404;667;684;127,602;75,786;-;-;432,345;39,303
Sex ;;;;;;;;;;
    Male;697,637;80,692;34,489;67,582;259,135;249,445;-;6,292;1,146,812;282,778
    Female;723,977;18,005;141,410;157,652;190,515;201,899;14,054;441;1,067,210;194,277
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);704,804;7,709;85,257;161,984;305,161;128,911;9,049;6,734;974,892;293,403
    White alone, not Hispanic;406,084;12,699;49,051;35,512;92,692;212,133;3,995;-;869,701;81,782
    Black alone, not Hispanic;203,732;77,163;20,008;10,899;28,314;66,338;1,010;-;180,199;38,342
    Asian alone, not Hispanic;52,838;1,126;13,816;10,979;12,340;14,577;-;-;124,113;47,880
    Two or more races + Other races, not Hispanic;54,156;-;7,768;5,861;11,142;29,385;-;-;65,117;15,646
Education ;;;;;;;;;;
    Less than high school;277,437;-;20,800;20,912;127,735;101,698;-;6,292;294,951;153,709
    High school or GED;424,420;79,769;15,494;100,996;161,497;66,663;-;-;682,595;106,834
    Some college/associate’s degree;514,138;11,720;126,889;93,851;122,447;146,187;13,044;-;677,744;179,271
    Bachelor’s degree or higher;205,618;7,208;12,716;9,475;37,971;136,796;1,010;441;558,733;37,240
Marital status ;;;;;;;;;;
    Married;450,625;2,725;84,615;85,751;90,534;185,990;1,010;-;1,386,715;233,620
    Widowed;117,934;6,463;3,569;5,007;86,889;16,007;-;-;166,644;6,681
    Divorced/separated;292,725;82,554;20,369;38,065;65,078;73,174;13,044;441;287,083;63,419
    Never married;552,117;6,955;64,769;90,778;207,149;176,173;-;6,292;367,522;165,232
    Did not report;8,212;-;2,577;5,635;-;-;-;-;6,058;8,102
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;768,928;77,070;79,267;197,306;232,246;167,698;9,049;6,292;946,920;288,455
    No children;652,686;21,628;96,632;27,929;217,403;283,646;5,006;441;1,267,103;188,599
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;975,144;75,173;158,192;199,266;305,495;217,240;13,044;6,734;1,208,932;302,497
    No;440,835;23,524;17,708;20,334;144,155;234,105;1,010;-;1,005,091;169,008
    Did not report;5,635;-;-;5,635;-;-;-;-;-;5,550
Respondent currently employed ;;;;;;;;;;
    Yes;659,308;13,240;40,143;141,326;110,449;337,798;10,059;6,292;1,120,471;241,157
    No;756,671;85,457;135,756;78,274;339,201;113,546;3,995;441;1,093,551;229,455
    Did not report;5,635;-;-;5,635;-;-;-;-;-;6,443
Household income ;;;;;;;;;;
    Less than $25,000;324,929;86,381;68,371;68,246;67,976;33,955;-;-;236,131;-
    $25,000 - $34,999;203,050;2,180;42,507;70,670;33,892;49,806;3,995;-;231,378;-
    $35,000 - $49,999;223,058;3,413;7,566;31,081;102,952;68,998;9,049;-;300,431;-
    $50,000 - $74,999;279,566;5,509;27,161;45,149;63,220;138,527;-;-;364,214;1,730
    $75,000 - $99,999;241,902;811;9,185;2,500;135,755;93,652;-;-;363,139;-
    $100,000 - $149,999;69,755;-;-;1,667;30,366;36,712;1,010;-;376,598;-
    $150,000 - $199,999;21,292;-;4,659;1,521;1,412;13,699;-;-;211,612;-
    $200,000 and above;19,167;-;15,681;-;-;3,486;-;-;87,218;452
    Did not report;38,893;405;768;4,401;14,077;12,509;-;6,734;43,302;474,872
