CSAFP	GEOID	NAME	CBSA_TYPE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                             
220	10300	Adrian, MI Micro Area	2	1941504139	30519590	749.619	11.784	41.896022	-84.074356                                                                                                               
184	10420	Akron, OH Metro Area	1	2331489226	62145698	900.193	23.995	41.146639	-81.35011                                                                                                                 
440	10540	Albany-Lebanon, OR Metro Area	1	5923936549	50054677	2287.245	19.326	44.488898	-122.537208                                                                                                     
104	10580	Albany-Schenectady-Troy, NY Metro Area	1	7282218203	172501908	2811.68	66.603	42.78792	-73.942348                                                                                              
172	10620	Albemarle, NC Micro Area	2	1023390690	25222524	395.133	9.738	35.310449	-80.254374                                                                                                             
106	10740	Albuquerque, NM Metro Area	1	24043702359	31778159	9283.326	12.27	35.123496	-106.458392                                                                                                        
388	10760	Alexander City, AL Micro Area	2	3541633666	168793394	1367.432	65.171	32.900486	-86.002932                                                                                                     
204	10860	Alice, TX Micro Area	2	6885863898	14217789	2658.647	5.49	27.697743	-98.390881                                                                                                                 
394	10940	Alma, MI Micro Area	2	1472098934	8369164	568.381	3.231	43.292326	-84.60469                                                                                                                    
107	11020	Altoona, PA Metro Area	1	1361819111	3281615	525.801	1.267	40.498654	-78.309597                                                                                                                
108	11100	Amarillo, TX Metro Area	1	13338931286	86991891	5150.19	33.588	35.247897	-101.908638                                                                                                           
218	11180	Ames, IA Metro Area	1	2963210240	8222405	1144.102	3.175	42.036128	-93.698008                                                                                                                  
104	11220	Amsterdam, NY Micro Area	2	1044066970	18599188	403.117	7.181	42.900891	-74.435357                                                                                                             
258	11420	Angola, IN Micro Area	2	799729298	35454787	308.777	13.689	41.643467	-85.002405                                                                                                                
220	11460	Ann Arbor, MI Metro Area	1	1828437283	42625748	705.964	16.458	42.252217	-83.843423                                                                                                            
118	11540	Appleton, WI Metro Area	1	2475664691	222287459	955.86	85.826	44.290603	-88.372326                                                                                                             
412	11580	Arcadia, FL Micro Area	2	1649027549	6243548	636.693	2.411	27.190581	-81.806253                                                                                                                
490	11640	Arecibo, PR Metro Area	1	613186613	231848339	236.753	89.517	18.439224	-66.759981                                                                                                              
120	11700	Asheville, NC Metro Area	1	5264448603	21769667	2032.615	8.405	35.595669	-82.681615                                                                                                            
360	11740	Ashland, OH Micro Area	2	1095464861	9966295	422.961	3.848	40.843273	-82.270127                                                                                                                
184	11780	Ashtabula, OH Micro Area	2	1818360017	1724498211	702.073	665.833	41.906637	-80.745592                                                                                                         
312	11860	Atchison, KS Micro Area	2	1116736558	6851102	431.174	2.645	39.532544	-95.313397                                                                                                               
174	11940	Athens, TN Micro Area	2	1113997270	5340568	430.117	2.062	35.424472	-84.619949                                                                                                                 
206	11980	Athens, TX Micro Area	2	2263013491	193259090	873.754	74.618	32.211633	-95.853418                                                                                                              
122	12020	Athens-Clarke County, GA Metro Area	1	2654601832	26140309	1024.948	10.093	33.943984	-83.213897                                                                                                
122	12060	Atlanta-Sandy Springs-Alpharetta, GA Metro Area	1	22494938651	387716575	8685.345	149.698	33.693728	-84.399911                                                                                 
428	12100	Atlantic City-Hammonton, NJ Metro Area	1	1438776649	301268696	555.515	116.32	39.469355	-74.633759                                                                                             
426	12120	Atmore, AL Micro Area	2	2448115116	20504948	945.223	7.917	31.122287	-87.16841                                                                                                                 
258	12140	Auburn, IN Micro Area	2	939731962	2657419	362.833	1.026	41.401189	-85.000185                                                                                                                  
532	12180	Auburn, NY Micro Area	2	1791190510	445708165	691.583	172.089	43.008546	-76.574587                                                                                                             
194	12220	Auburn-Opelika, AL Metro Area	1	1573514768	21526461	607.537	8.311	32.604064	-85.353048                                                                                                        
462	12380	Austin, MN Micro Area	2	1842332264	617235	711.328	0.238	43.666249	-92.759514                                                                                                                  
548	12580	Baltimore-Columbia-Towson, MD Metro Area	1	6737876069	1304109791	2601.509	503.52	39.304361	-76.549501                                                                                         
357	12660	Baraboo, WI Micro Area	2	2153685971	45692999	831.543	17.642	43.428001	-89.943318                                                                                                              
350	12680	Bardstown, KY Micro Area	2	1081366442	16985926	417.518	6.558	37.80312	-85.465931                                                                                                              
148	12700	Barnstable Town, MA Metro Area	1	1021019039	2360316945	394.218	911.324	41.799014	-70.21188                                                                                                    
162	12740	Barre, VT Micro Area	2	1779432159	21173948	687.043	8.175	44.274988	-72.609514                                                                                                                 
538	12780	Bartlesville, OK Micro Area	2	1076201559	22871164	415.524	8.831	36.70438	-95.906155                                                                                                           
464	12860	Batavia, NY Micro Area	2	1276705469	6137411	492.939	2.37	43.00091	-78.192778                                                                                                                  
310	12980	Battle Creek, MI Metro Area	1	1829206358	31260656	706.261	12.07	42.24299	-85.012385                                                                                                           
474	13020	Bay City, MI Metro Area	1	1145399057	488149217	442.241	188.475	43.699711	-83.978701                                                                                                           
288	13060	Bay City, TX Micro Area	2	2830603629	1345784373	1092.902	519.61	28.77476	-96.001532                                                                                                           
