USPS	GEOID	ANSICODE	NAME	LSAD	FUNCSTAT	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                 
CA	0600135	02582926	Acalanes Ridge CDP	57	S	1193072	0	0.461	0.	37.904722	-122.078574                                                                                                                    
CA	0600156	02629758	Acampo CDP	57	S	2428474	0	0.938	0.	38.173529	-121.279892                                                                                                                            
CA	0600212	02407697	Acton CDP	57	S	101679344	60418	39.259	0.023	34.49607	-118.183897                                                                                                                    
CA	0600296	02409663	Adelanto city	25	A	137024204	34740	52.905	0.013	34.580902	-117.439458                                                                                                               
CA	0600310	02582927	Adin CDP	57	S	8901691	15858	3.437	0.006	41.199312	-120.956779                                                                                                                       
CA	0600394	02409666	Agoura Hills city	25	A	20203991	55687	7.801	0.022	34.148942	-118.76393                                                                                                              
CA	0600450	02582928	Agua Dulce CDP	57	S	59181142	14646	22.85	0.006	34.501678	-118.32068                                                                                                                 
CA	0600464	02582929	Aguanga CDP	57	S	35222110	0	13.599	0.	33.452246	-116.85547                                                                                                                          
CA	0600478	02628702	Ahwahnee CDP	57	S	25961479	0	10.024	0.	37.365224	-119.7193                                                                                                                          
CA	0600535	02583084	Airport CDP	57	S	1487227	54226	0.574	0.021	37.631584	-120.977328                                                                                                                    
CA	0600562	02409669	Alameda city	25	A	27062002	32761823	10.449	12.649	37.741911	-122.259914                                                                                                             
CA	0600618	02407707	Alamo CDP	57	S	25053990	0	9.673	0.	37.854601	-122.012985                                                                                                                            
CA	0600674	02409674	Albany city	25	A	4633477	9521771	1.789	3.676	37.89065	-122.318116                                                                                                                   
CA	0600716	02628703	Albion CDP	57	S	4701873	96897	1.815	0.037	39.225327	-123.757586                                                                                                                     
CA	0600786	02611374	Alderpoint CDP	57	S	6288254	0	2.428	0.	40.161347	-123.615729                                                                                                                        
CA	0600884	02409681	Alhambra city	25	A	19764227	1730	7.631	0.001	34.083571	-118.136444                                                                                                                  
CA	0600898	02582930	Alhambra Valley CDP	57	S	3465844	0	1.338	0.	37.96654	-122.131847                                                                                                                    
CA	0600947	02409683	Aliso Viejo city	25	A	17921220	0	6.919	0.	33.579219	-117.728915                                                                                                                     
CA	0600982	02582931	Alleghany CDP	57	S	904298	0	0.349	0.	39.46666	-120.841126                                                                                                                           
CA	0600996	02582932	Allendale CDP	57	S	15892906	164542	6.136	0.064	38.442986	-121.98333                                                                                                                 
CA	0601010	02585402	Allensworth CDP	57	S	8035084	0	3.102	0.	35.849878	-119.389209                                                                                                                       
CA	0601094	02407722	Almanor CDP	57	S	2287751	0	0.883	0.	40.214494	-121.17622                                                                                                                            
CA	0601150	02407724	Alondra Park CDP	57	S	2866016	93818	1.107	0.036	33.890155	-118.335678                                                                                                               
CA	0601164	02407725	Alpaugh CDP	57	S	2603083	0	1.005	0.	35.88765	-119.487321                                                                                                                            
CA	0601192	02407726	Alpine CDP	57	S	69374324	1475	26.786	0.001	32.842487	-116.755911                                                                                                                    
CA	0601228	02407729	Alpine Village CDP	57	S	7262262	0	2.804	0.	38.785529	-119.80089                                                                                                                     
CA	0601276	02628704	Alta CDP	57	S	6173301	17423	2.384	0.007	39.215685	-120.798509                                                                                                                       
CA	0601290	02407732	Altadena CDP	57	S	21926773	40734	8.466	0.016	34.192212	-118.135589                                                                                                                  
CA	0601360	02407731	Alta Sierra CDP	57	S	21551269	53117	8.321	0.021	39.126174	-121.049085                                                                                                               
CA	0601416	02582933	Alto CDP	57	S	325685	0	0.126	0.	37.905581	-122.518718                                                                                                                               
CA	0601444	02409688	Alturas city	25	A	7314016	73903	2.824	0.029	41.489136	-120.551286                                                                                                                   
CA	0601458	02407736	Alum Rock CDP	57	S	2181369	0	0.842	0.	37.369436	-121.823958                                                                                                                         
CA	0601514	02409693	Amador City city	25	A	802580	0	0.31	0.	38.418989	-120.823248                                                                                                                        
CA	0601640	02409695	American Canyon city	25	A	15763117	102525	6.086	0.04	38.179033	-122.259602                                                                                                          
CA	0601651	02407740	Amesti CDP	57	S	7617623	166234	2.941	0.064	36.959483	-121.781739                                                                                                                    
CA	0602000	02409704	Anaheim city	25	A	130328901	1567025	50.32	0.605	33.823599	-118.016329                                                                                                               
CA	0602028	02628706	Anchor Bay CDP	57	S	9097805	0	3.513	0.	38.812653	-123.570267                                                                                                                        
CA	0602042	02409706	Anderson city	25	A	18210797	466513	7.031	0.18	40.449755	-122.29507                                                                                                                  
CA	0602112	02409709	Angels city	25	A	9407810	12740	3.632	0.005	38.071037	-120.551729                                                                                                                    
CA	0602168	02407744	Angwin CDP	57	S	12507052	108688	4.829	0.042	38.577875	-122.451224                                                                                                                   
CA	0602210	02582934	Antelope CDP	57	S	17705728	0	6.836	0.	38.71533	-121.360962                                                                                                                          
CA	0602252	02409715	Antioch city	25	A	76015830	2009359	29.35	0.776	37.979075	-121.796195                                                                                                                
CA	0602294	02582935	Anza CDP	57	S	71470882	212166	27.595	0.082	33.56159	-116.696066                                                                                                                     
CA	0602364	02412372	Apple Valley town	43	A	194057273	176776	74.926	0.068	34.533376	-117.210358                                                                                                          
CA	0602378	02407750	Aptos CDP	57	S	17036259	0	6.578	0.	36.99115	-121.893455                                                                                                                             
CA	0602382	02407751	Aptos Hills-Larkin Valley CDP	57	S	23984334	85462	9.26	0.033	36.963492	-121.835214                                                                                                  
CA	0602420	02407755	Arbuckle CDP	57	S	4556328	0	1.759	0.	39.014195	-122.06105                                                                                                                           
CA	0602462	02409722	Arcadia city	25	A	28294900	540015	10.925	0.209	34.132689	-118.036347                                                                                                                
CA	0602476	02409723	Arcata city	25	A	24261922	5367427	9.368	2.072	40.862291	-124.074967                                                                                                                 
CA	0602553	02407756	Arden-Arcade CDP	57	S	46020094	592132	17.768	0.229	38.603364	-121.380052                                                                                                            
CA	0602700	02407762	Armona CDP	57	S	4923148	0	1.901	0.	36.317844	-119.705411                                                                                                                            
CA	0602770	02407763	Arnold CDP	57	S	38292903	168744	14.785	0.065	38.242316	-120.353806                                                                                                                  
CA	0602812	02407764	Aromas CDP	57	S	12263941	27254	4.735	0.011	36.874755	-121.630732                                                                                                                    
CA	0602868	02409734	Arroyo Grande city	25	A	15377397	0	5.937	0.	35.124153	-120.584528                                                                                                                   
CA	0602896	02409735	Artesia city	25	A	4197593	0	1.621	0.	33.867593	-118.080635                                                                                                                          
CA	0602910	02628707	Artois CDP	57	S	7458262	0	2.88	0.	39.633179	-122.189758                                                                                                                             
CA	0602924	02409738	Arvin city	25	A	12482062	0	4.819	0.	35.194361	-118.830569                                                                                                                           
CA	0602980	02407773	Ashland CDP	57	S	4759454	0	1.838	0.	37.694169	-122.115899                                                                                                                           
CA	0603026	02582936	Aspen Springs CDP	57	S	9242504	1964	3.569	0.001	37.548791	-118.699663                                                                                                               
CA	0603064	02409745	Atascadero city	25	A	67506132	161112	26.064	0.062	35.485718	-120.687942                                                                                                             
CA	0603092	02411651	Atherton town	43	A	13028900	82320	5.03	0.032	37.457072	-122.201058                                                                                                                  
CA	0603162	02409752	Atwater city	25	A	15778883	11735	6.092	0.005	37.35408	-120.599041                                                                                                                   
CA	0603190	02407779	Auberry CDP	57	S	49587111	144285	19.146	0.056	37.080811	-119.496554                                                                                                                 
CA	0603204	02409754	Auburn city	25	A	18588548	71271	7.177	0.028	38.895075	-121.076739                                                                                                                   
CA	0603205	02582982	Auburn Lake Trails CDP	57	S	32963739	56719	12.727	0.022	38.886238	-120.979699                                                                                                       
CA	0603209	02407781	August CDP	57	S	3252575	0	1.256	0.	37.979644	-121.26251                                                                                                                             
CA	0603274	02409763	Avalon city	25	A	7468050	12352939	2.883	4.769	33.343335	-118.317615                                                                                                                 
CA	0603302	02409764	Avenal city	25	A	50469317	0	19.486	0.	36.031096	-120.116173                                                                                                                         
CA	0603316	02407784	Avery CDP	57	S	11656949	0	4.501	0.	38.19386	-120.379071                                                                                                                             
CA	0603330	02582937	Avila Beach CDP	57	S	15766061	575455	6.087	0.222	35.199355	-120.720757                                                                                                              
CA	0603344	02407785	Avocado Heights CDP	57	S	7007487	351230	2.706	0.136	34.036769	-118.001783                                                                                                           
CA	0603386	02409768	Azusa city	25	A	25037029	32168	9.667	0.012	34.138524	-117.912253                                                                                                                    
CA	0603512	02628708	Baker CDP	57	S	6961528	0	2.688	0.	35.276918	-116.071735                                                                                                                             
CA	0603526	02409774	Bakersfield city	25	A	387871106	3792005	149.758	1.464	35.353593	-119.036921                                                                                                         
CA	0603666	02409777	Baldwin Park city	25	A	17174856	399807	6.631	0.154	34.082824	-117.971286                                                                                                            
CA	0603694	02582938	Ballard CDP	57	S	3056035	569	1.18	0.	34.630473	-120.111782                                                                                                                          
CA	0603708	02582939	Ballico CDP	57	S	7828206	0	3.022	0.	37.451917	-120.703707                                                                                                                           
CA	0603792	02612459	Bangor CDP	57	S	34765044	0	13.423	0.	39.376087	-121.411654                                                                                                                          
CA	0603820	02409785	Banning city	25	A	60266170	0	23.269	0.	33.94603	-116.899187                                                                                                                         
CA	0604030	02409790	Barstow city	25	A	106902302	135415	41.275	0.052	34.866987	-117.043035                                                                                                               
CA	0604198	02628709	Bass Lake CDP	57	S	4874800	1717688	1.882	0.663	37.327282	-119.565326                                                                                                                
CA	0604415	02407808	Bay Point CDP	57	S	16707475	2637541	6.451	1.018	38.032254	-121.962236                                                                                                               
CA	0604470	02582940	Bayview CDP	57	S	789227	209670	0.305	0.081	38.006234	-122.320165                                                                                                                    
CA	0604478	02407810	Bayview CDP	57	S	1895391	0	0.732	0.	40.765335	-124.178605                                                                                                                           
CA	0604576	02407813	Beale AFB CDP	57	S	26153588	25614	10.098	0.01	39.108061	-121.351215                                                                                                                 
CA	0604632	02629759	Bear Creek CDP	57	S	148411	0	0.057	0.	37.296601	-120.417676                                                                                                                         
CA	0604716	02407814	Bear Valley CDP	57	S	13352822	56384	5.156	0.022	38.472321	-120.051847                                                                                                               
CA	0604730	02582941	Bear Valley CDP	57	S	18742832	19446	7.237	0.008	37.564883	-120.131226                                                                                                               
CA	0604734	02407815	Bear Valley Springs CDP	57	S	107445360	169947	41.485	0.066	35.1794	-118.625971                                                                                                      
CA	0604758	02409805	Beaumont city	25	A	78521737	35531	30.317	0.014	33.876722	-116.953009                                                                                                                
