Employment Table 1. Experienced and Expected Loss of Employment Income, by Select Characteristics: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 1.;;;;;;;
Total Population 18 Years and Older;;;;;;;
Select characteristics;Total;Experienced loss of employment income since March 13, 2020 (for self or household member);Experienced loss of employment income since March 13, 2020 (for self or household member);Experienced loss of employment income since March 13, 2020 (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member)
;;Yes;No;Did not respond;Yes;No;Did not respond
;;;;;;;
Age ;;;;;;;
    18 - 24;1,029,156;687,280;341,876;-;388,638;640,519;-
    25 - 39;3,954,314;2,423,941;1,497,818;32,555;2,179,241;1,742,519;32,555
    40 - 54;2,779,769;1,731,209;1,024,093;24,468;1,368,732;1,375,849;35,189
    55 - 64;1,419,674;897,055;514,868;7,751;775,190;640,543;3,940
    65 and above;1,882,262;689,259;1,191,702;1,300;586,376;1,294,586;1,300
Sex ;;;;;;;
    Male;5,398,279;3,095,899;2,272,942;29,438;2,497,944;2,870,843;29,493
    Female;5,666,896;3,332,846;2,297,415;36,635;2,800,233;2,823,173;43,491
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);4,613,885;2,910,706;1,679,585;23,595;2,572,863;2,014,457;26,565
    White alone, not Hispanic;3,167,384;1,575,607;1,590,477;1,300;1,313,909;1,848,235;5,240
    Black alone, not Hispanic;726,822;465,249;261,572;-;358,675;368,147;-
    Asian alone, not Hispanic;2,169,546;1,195,600;932,767;41,179;876,023;1,252,344;41,179
    Two or more races + Other races, not Hispanic;387,538;281,582;105,957;-;176,706;210,832;-
Education ;;;;;;;
    Less than high school;1,737,083;1,038,689;698,394;-;885,611;851,473;-
    High school or GED;2,546,780;1,553,016;993,764;-;1,323,666;1,223,114;-
    Some college/associate’s degree;3,258,468;2,015,501;1,184,017;58,950;1,740,577;1,454,617;63,273
    Bachelor’s degree or higher;3,522,844;1,821,538;1,694,182;7,124;1,348,323;2,164,811;9,710
Marital status ;;;;;;;
    Married;5,397,694;2,925,677;2,442,578;29,438;2,549,870;2,819,739;28,085
    Widowed;241,479;151,423;90,056;-;153,986;87,493;-
    Divorced/separated;1,562,231;983,808;578,423;-;736,420;812,328;13,483
    Never married;3,726,145;2,307,679;1,409,414;9,052;1,797,745;1,924,568;3,832
    Did not report;137,626;60,156;49,886;27,584;60,156;49,886;27,584
Presence of children under 18 years old ;;;;;;;
    Children in household;4,860,133;2,949,298;1,910,836;-;2,597,282;2,250,776;12,075
    No children;6,205,042;3,479,447;2,659,522;66,074;2,700,895;3,443,239;60,909
Health status ;;;;;;;
    Excellent;2,085,348;1,001,885;1,083,463;-;735,005;1,350,343;-
    Very good;3,195,877;1,921,424;1,264,048;10,405;1,504,147;1,690,430;1,300
    Good;3,339,654;2,091,856;1,247,798;-;1,921,913;1,416,333;1,408
    Fair;1,298,563;799,691;498,872;-;692,611;605,951;-
    Poor;263,041;84,817;178,224;-;93,042;167,468;2,532
    Did not report;882,692;529,071;297,953;55,668;351,459;463,490;67,743
Household income ;;;;;;;
    Less than $25,000;1,686,160;802,362;883,798;-;712,510;973,650;-
    $25,000 - $34,999;1,132,012;824,510;307,502;-;755,163;374,317;2,532
    $35,000 - $49,999;1,145,986;715,895;430,091;-;652,644;493,343;-
    $50,000 - $74,999;1,745,387;1,217,612;527,775;-;1,060,409;684,977;-
    $75,000 - $99,999;1,216,401;748,945;458,350;9,105;568,261;648,140;-
    $100,000 - $149,999;1,209,891;562,196;646,394;1,300;409,737;797,445;2,708
    $150,000 - $199,999;797,591;442,346;355,245;-;377,966;419,624;-
    $200,000 and above;873,691;306,465;567,227;-;265,816;607,876;-
    Did not report;1,258,057;808,413;393,975;55,668;495,671;694,643;67,743
