Employment Table 1. Experienced and Expected Loss of Employment Income, by Select Characteristics: Oregon;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 4.;;;;;;;
Total Population 18 Years and Older;;;;;;;
Select characteristics;Total;Experienced loss of employment income since March 13, 2020 (for self or household member);Experienced loss of employment income since March 13, 2020 (for self or household member);Experienced loss of employment income since March 13, 2020 (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member)
;;Yes;No;Did not report;Yes;No;Did not report
;;;;;;;
Total;3,302,727;1,562,737;1,732,241;7,749;1,138,185;2,157,512;7,031
Age ;;;;;;;
    18 - 24;181,188;112,485;68,703;-;39,347;141,841;-
    25 - 39;1,065,771;608,024;456,958;788;499,575;566,196;-
    40 - 54;762,841;425,186;334,023;3,632;260,676;498,322;3,843
    55 - 64;530,681;242,536;285,279;2,865;213,705;314,426;2,550
    65 and above;762,247;174,506;587,279;463;124,882;636,727;638
Sex ;;;;;;;
    Male;1,614,146;736,657;873,961;3,528;477,415;1,133,991;2,740
    Female;1,688,581;826,080;858,280;4,221;660,769;1,023,520;4,291
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);378,921;271,839;107,082;-;174,428;204,493;-
    White alone, not Hispanic;2,563,559;1,062,849;1,495,641;5,069;791,761;1,767,447;4,351
    Black alone, not Hispanic;51,930;34,744;14,506;2,680;31,783;17,467;2,680
    Asian alone, not Hispanic;153,354;107,809;45,545;-;68,343;85,011;-
    Two or more races + Other races, not Hispanic;154,963;85,496;69,467;-;71,870;83,093;-
Education ;;;;;;;
    Less than high school;178,090;107,731;69,770;589;46,605;131,484;-
    High school or GED;912,386;443,501;466,205;2,680;286,959;622,748;2,680
    Some college/associate’s degree;1,167,721;603,688;561,215;2,818;492,925;671,706;3,091
    Bachelor’s degree or higher;1,044,530;407,817;635,051;1,663;311,696;731,574;1,260
Marital status ;;;;;;;
    Married;1,784,606;781,084;1,002,933;589;499,248;1,285,358;-
    Widowed;104,457;25,992;78,465;-;28,654;75,803;-
    Divorced/separated;495,357;222,183;273,175;-;191,659;303,040;659
    Never married;900,562;527,311;373,251;-;410,646;489,916;-
    Did not report;17,744;6,167;4,417;7,160;7,978;3,395;6,372
Presence of children under 18 years old ;;;;;;;
    Children in household;1,161,488;668,910;488,522;4,057;452,377;706,220;2,891
    No children;2,141,239;893,827;1,243,720;3,692;685,807;1,451,291;4,140
Health status ;;;;;;;
    Excellent;521,461;217,817;303,644;-;163,071;358,179;211
    Very good;1,108,773;561,577;547,196;-;405,848;702,750;175
    Good;863,053;441,617;421,436;-;304,970;558,083;-
    Fair;302,904;138,645;164,260;-;113,993;188,912;-
    Poor;118,477;48,546;69,931;-;44,528;73,676;273
    Did not report;388,058;154,536;225,774;7,749;105,774;275,912;6,372
Household income ;;;;;;;
    Less than $25,000;432,920;240,315;192,605;-;213,553;219,367;-
    $25,000 - $34,999;386,690;222,893;163,797;-;126,987;259,430;273
    $35,000 - $49,999;320,247;185,299;134,949;-;150,779;169,468;-
    $50,000 - $74,999;466,389;227,215;239,174;-;161,030;305,184;175
    $75,000 - $99,999;442,707;212,576;230,131;-;141,812;300,684;211
    $100,000 - $149,999;407,003;194,751;212,252;-;153,237;253,766;-
    $150,000 - $199,999;202,183;52,836;149,348;-;28,688;173,495;-
    $200,000 and above;143,064;51,158;91,906;-;36,603;106,461;-
    Did not report;501,524;175,694;318,081;7,749;125,494;369,658;6,372
