Employment Table 1. Experienced and Expected Loss of Employment Income, by Select Characteristics: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 3.;;;;;;;
Total Population 18 Years and Older;;;;;;;
Select characteristics;Total;Experienced loss of employment income since March 13, 2020 (for self or household member);Experienced loss of employment income since March 13, 2020 (for self or household member);Experienced loss of employment income since March 13, 2020 (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member)
;;Yes;No;Did not respond;Yes;No;Did not respond
;;;;;;;
Age ;;;;;;;
    18 - 24;490,971;383,664;107,307;-;353,579;137,392;-
    25 - 39;1,015,269;776,756;231,738;6,775;493,529;514,965;6,775
    40 - 54;988,963;590,172;395,558;3,232;466,054;512,288;10,621
    55 - 64;927,697;485,039;442,521;137;356,359;571,202;137
    65 and above;689,790;250,942;437,809;1,040;222,103;466,610;1,078
Sex ;;;;;;;
    Male;2,127,227;1,286,065;833,087;8,075;977,453;1,141,661;8,113
    Female;1,985,464;1,200,508;781,847;3,109;914,171;1,060,794;10,498
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);1,973,099;1,351,917;613,780;7,401;1,080,033;878,275;14,790
    White alone, not Hispanic;1,357,567;635,627;720,838;1,103;405,284;951,142;1,141
    Black alone, not Hispanic;422,273;259,352;161,781;1,141;192,967;228,165;1,141
    Asian alone, not Hispanic;224,832;151,475;72,482;876;133,000;90,956;876
    Two or more races + Other races, not Hispanic;134,919;88,202;46,053;664;80,339;53,916;664
Education ;;;;;;;
    Less than high school;726,097;439,523;280,939;5,635;338,093;374,980;13,024
    High school or GED;1,213,849;755,445;456,637;1,766;654,808;557,275;1,766
    Some college/associate’s degree;1,371,153;825,612;544,298;1,243;572,225;797,684;1,243
    Bachelor’s degree or higher;801,591;465,992;333,060;2,540;326,498;472,516;2,577
Marital status ;;;;;;;
    Married;2,070,960;1,239,222;831,739;-;912,688;1,150,884;7,389
    Widowed;291,260;64,160;227,099;-;60,707;230,553;-
    Divorced/separated;643,227;384,770;258,457;-;330,969;312,220;38
    Never married;1,084,871;793,432;291,439;-;582,172;502,698;-
    Did not report;22,373;4,989;6,199;11,184;5,088;6,100;11,184
Presence of children under 18 years old ;;;;;;;
    Children in household;2,004,303;1,256,885;747,417;-;933,503;1,063,410;7,389
    No children;2,108,388;1,229,687;867,516;11,184;958,121;1,139,045;11,222
Health status ;;;;;;;
    Excellent;547,750;316,051;231,700;-;194,065;346,258;7,427
    Very good;1,129,036;705,112;418,289;5,635;552,490;570,911;5,635
    Good;1,288,221;828,179;460,042;-;652,166;636,055;-
    Fair;553,226;268,626;284,600;-;192,163;361,064;-
    Poor;177,059;112,849;64,209;-;97,144;79,915;-
    Did not report;417,399;255,756;156,093;5,550;203,596;208,253;5,550
Household income ;;;;;;;
    Less than $25,000;561,061;402,771;152,655;5,635;366,429;188,959;5,673
    $25,000 - $34,999;434,428;336,772;97,656;-;292,735;141,693;-
    $35,000 - $49,999;523,489;209,373;314,116;-;127,464;388,636;7,389
    $50,000 - $74,999;645,510;412,485;233,025;-;282,376;363,134;-
    $75,000 - $99,999;605,041;386,550;218,491;-;239,815;365,226;-
    $100,000 - $149,999;446,353;255,967;190,386;-;210,680;235,674;-
    $150,000 - $199,999;232,904;101,698;131,206;-;80,558;152,346;-
    $200,000 and above;106,836;43,778;63,058;-;31,807;75,029;-
    Did not report;557,068;337,179;214,340;5,550;259,760;291,758;5,550
