Employment Table 2. Employment Status and Sector of Employment, by Select Characteristics: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 5.;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;
Select characteristics;Total;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days
;;Yes;Yes;Yes;Yes;Yes;Yes;No;Did not report
;;Government;Private company;Nonprofit organization;Self-employed;Family business;Did not report;;
;;;;;;;;;
Total;11,017,907;993,072;2,745,237;481,520;593,332;221,526;36,498;5,925,290;21,432
Age ;;;;;;;;;
    18 - 24;1,465,782;134,614;224,576;64,478;34,530;46,661;-;960,921;-
    25 - 39;3,016,390;267,026;1,045,670;199,662;166,231;54,763;22,489;1,253,557;6,993
    40 - 54;2,751,640;377,595;870,979;117,318;125,673;25,241;890;1,222,428;11,515
    55 - 64;1,666,766;161,528;393,985;78,144;191,663;76,151;8,359;754,630;2,306
    65 and above;2,117,329;52,309;210,027;21,918;75,235;18,709;4,759;1,733,754;618
Sex ;;;;;;;;;
    Male;5,795,837;576,921;1,609,721;159,930;367,194;161,480;5,427;2,904,427;10,736
    Female;5,222,070;416,151;1,135,516;321,590;226,138;60,045;31,071;3,020,863;10,695
Hispanic origin and Race ;;;;;;;;;
    Hispanic or Latino (may be of any race);4,347,578;383,106;922,942;180,858;219,241;148,387;22,186;2,463,864;6,993
    White alone, not Hispanic;3,648,054;226,624;1,064,985;152,608;231,870;34,495;6,052;1,919,349;12,072
    Black alone, not Hispanic;582,755;82,312;138,856;47,962;30,061;-;1,346;281,310;908
    Asian alone, not Hispanic;1,936,751;275,949;514,801;77,001;76,462;38,644;6,914;945,522;1,458
    Two or more races + Other races, not Hispanic;502,769;25,081;103,654;23,091;35,698;-;-;315,245;-
Education ;;;;;;;;;
    Less than high school;1,992,073;20,726;266,692;-;107,038;66,840;-;1,530,776;-
    High school or GED;2,020,951;246,814;308,415;84,962;49,594;42,672;12,147;1,269,355;6,993
    Some college/associate’s degree;3,430,494;275,213;895,220;81,332;185,721;86,366;13,216;1,885,353;8,073
    Bachelor’s degree or higher;3,574,389;450,318;1,274,910;315,226;250,979;25,649;11,135;1,239,806;6,366
Marital status ;;;;;;;;;
    Married;5,023,503;581,374;1,449,544;258,934;354,739;74,044;28,600;2,274,870;1,397
    Widowed;392,255;8,711;46,916;24,821;21,027;-;-;290,780;-
    Divorced/separated;1,421,980;100,372;277,317;36,158;74,550;67,045;-;865,920;618
    Never married;4,141,328;302,615;970,382;161,607;143,016;75,488;7,898;2,480,323;-
    Did not report;38,840;-;1,077;-;-;4,949;-;13,397;19,417
Presence of children under 18 years old ;;;;;;;;;
    Children in household;4,223,515;370,423;977,202;210,199;283,564;65,553;25,379;2,290,285;908
    No children;6,794,392;622,649;1,768,034;271,322;309,768;155,973;11,119;3,635,005;20,523
Health status ;;;;;;;;;
    Excellent;1,995,340;228,765;604,526;196,736;142,749;7,208;17,059;798,296;-
    Very good;3,454,491;460,502;831,414;151,048;249,728;57,173;8,534;1,696,091;-
    Good;2,685,132;116,022;758,254;86,325;103,249;28,047;1,351;1,591,884;-
    Fair;1,027,896;70,430;297,898;23,538;26,853;716;1,223;607,237;-
    Poor;253,158;5,141;26,421;4,705;2,695;-;-;214,196;-
    Did not report;1,601,891;112,213;226,724;19,168;68,057;128,382;8,331;1,017,585;21,432
Household income ;;;;;;;;;
    Less than $25,000;1,243,545;19,390;136,236;40,827;55,513;-;-;991,579;-
    $25,000 - $34,999;1,001,177;42,182;227,940;22,368;86,465;16,242;12,147;593,833;-
    $35,000 - $49,999;937,502;125,765;200,332;8,445;48,755;32,445;5,690;516,070;-
    $50,000 - $74,999;1,379,272;53,334;485,677;43,750;64,832;-;4,581;727,099;-
    $75,000 - $99,999;1,335,223;142,439;336,181;47,029;70,294;4,904;1,953;732,424;-
    $100,000 - $149,999;1,212,224;119,363;344,006;78,959;87,858;6,252;716;575,070;-
    $150,000 - $199,999;655,631;92,110;326,539;44,828;25,979;8,999;636;156,540;-
    $200,000 and above;909,703;156,881;333,000;123,962;63,217;7,917;2,445;222,282;-
    Did not report;2,343,630;241,609;355,325;71,353;90,420;144,767;8,331;1,410,393;21,432
