Employment Table 2. Employment Status and Sector of Employment, by Select Characteristics: Oregon;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 3.;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;
Select characteristics;Total;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days
;;Yes;Yes;Yes;Yes;Yes;Yes;No;Did not respond
;;Government;Private company;Nonprofit organization;Self-employed;Family business;Did not respond;;
;;;;;;;;;
Age ;;;;;;;;;
    18 - 24;181,156;2,659;35,225;2,609;2,430;4,736;-;133,497;-
    25 - 39;1,043,833;113,977;444,404;75,448;41,429;5,358;8,370;352,934;1,911
    40 - 54;765,206;42,848;284,333;39,229;53,351;11,523;14,786;316,968;2,169
    55 - 64;537,320;52,176;138,814;100,937;44,686;758;3,093;196,458;398
    65 and above;775,211;3,228;64,844;8,984;55,459;1,380;-;638,737;2,580
Sex ;;;;;;;;;
    Male;1,614,146;111,715;554,605;131,214;116,109;17,553;4,390;675,324;3,236
    Female;1,688,581;103,173;413,015;95,993;81,246;6,203;21,859;963,270;3,822
Hispanic origin and Race ;;;;;;;;;
    Hispanic or Latino (may be of any race);378,921;4,709;163,287;22,872;35,122;483;16,374;133,857;2,218
    White alone, not Hispanic;2,563,559;179,397;674,515;187,773;156,455;21,080;7,189;1,332,466;4,685
    Black alone, not Hispanic;53,482;1,102;22,443;2,216;1,683;-;-;26,038;-
    Asian alone, not Hispanic;107,514;10,655;43,129;9,328;3,149;-;107;40,991;156
    Two or more races + Other races, not Hispanic;199,250;19,025;64,247;5,019;945;2,192;2,579;105,243;-
Education ;;;;;;;;;
    Less than high school;323,934;-;81,526;5,795;15,409;2,076;7,672;211,457;-
    High school or GED;765,486;17,680;208,838;51,961;27,002;2,024;16,262;438,143;3,576
    Some college/associate’s degree;1,168,256;62,824;328,672;94,986;46,237;8,587;1,771;624,074;1,105
    Bachelor’s degree or higher;1,045,050;134,384;348,584;74,465;108,706;11,069;544;364,921;2,377
Marital status ;;;;;;;;;
    Married;1,740,086;109,339;527,728;128,838;121,200;13,131;7,751;830,380;1,719
    Widowed;81,866;344;10,181;6,581;1,496;112;215;62,937;-
    Divorced/separated;540,499;46,001;117,421;51,859;56,583;1,354;3,960;263,321;-
    Never married;920,109;59,204;308,746;37,423;18,004;9,158;14,322;473,251;-
    Did not report;20,167;-;3,543;2,507;72;-;-;8,706;5,339
Presence of children under 18 years old ;;;;;;;;;
    Children in household;1,180,896;88,033;388,444;78,625;64,788;18,182;21,478;520,984;361
    No children;2,121,831;126,855;579,175;148,582;132,567;5,574;4,771;1,117,610;6,698
Health status ;;;;;;;;;
    Excellent;694,904;62,840;198,384;60,399;37,948;8,078;8,014;319,241;-
    Very good;1,099,312;85,566;348,880;110,337;84,247;5,946;172;463,075;1,088
    Good;880,162;44,241;281,138;31,967;36,726;2,019;8,218;475,760;93
    Fair;292,674;15,940;37,266;12,179;16,708;1,546;3,591;204,087;1,357
    Poor;82,246;-;5,002;-;65;-;-;77,179;-
    Did not report;253,429;6,300;96,949;12,325;21,659;6,167;6,255;99,253;4,520
Household income ;;;;;;;;;
    Less than $25,000;427,317;2,682;83,372;4,290;10,779;612;3,855;321,727;-
    $25,000 - $34,999;292,143;14,037;93,329;19,169;26,148;2,263;7,808;129,390;-
    $35,000 - $49,999;407,649;36,193;68,378;24,231;30,752;546;5,805;241,743;-
    $50,000 - $74,999;510,407;30,041;124,226;36,336;23,416;1,161;565;294,661;-
    $75,000 - $99,999;500,136;75,048;179,478;33,696;26,685;1,296;455;182,027;1,450
    $100,000 - $149,999;504,995;31,276;178,627;52,425;24,224;11,250;1,431;205,762;-
    $150,000 - $199,999;152,847;15,269;40,761;35,141;8,511;-;75;53,091;-
    $200,000 and above;154,829;1,973;83,730;8,939;14,720;461;-;45,005;-
    Did not report;352,406;8,368;115,720;12,981;32,119;6,167;6,255;165,187;5,608
