Standard Error Employment Table 2. Employment Status and Sector of Employment, by Select Characteristics: Oregon;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 6.;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;
Select characteristics;Total;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days
;;Yes;Yes;Yes;Yes;Yes;Yes;No;Did not report
;;Government;Private company;Nonprofit organization;Self-employed;Family business;Did not report;;
;;;;;;;;;
Total;-;34,531;58,434;25,894;34,716;14,531;10,962;56,329;7,669
Age ;;;;;;;;;
    18 - 24;37,237;15,108;29,824;4,777;5,233;2,560;-;27,001;-
    25 - 39;37,959;15,643;40,975;16,200;11,935;4,008;10,018;42,850;1,574
    40 - 54;28,343;18,251;28,049;13,544;14,580;13,278;6,018;34,756;4,085
    55 - 64;16,301;11,031;23,661;5,789;20,955;538;906;20,906;1,066
    65 and above;17,157;4,612;22,737;8,878;9,454;589;2,035;26,632;6,555
Sex ;;;;;;;;;
    Male;-;20,328;49,433;17,889;17,088;13,388;6,917;44,568;-
    Female;-;27,772;36,015;21,246;24,249;5,287;8,551;45,566;7,669
Hispanic origin and Race ;;;;;;;;;
    Hispanic or Latino (may be of any race);-;7,629;25,599;6,578;8,639;12,878;10,466;23,279;4,330
    White alone, not Hispanic;-;31,913;46,704;23,865;24,836;5,771;3,976;48,142;6,645
    Black alone, not Hispanic;24,146;1,861;21,459;718;139;-;-;13,029;-
    Asian alone, not Hispanic;22,802;11,370;11,756;2,829;4,507;3,989;-;9,811;1,327
    Two or more races + Other races, not Hispanic;27,492;6,031;25,067;3,113;15,981;-;-;16,335;-
Education ;;;;;;;;;
    Less than high school;49,343;4,671;34,082;-;5,730;12,923;4,661;25,860;3,822
    High school or GED;49,405;9,641;48,733;5,071;22,599;2,628;8,180;47,918;6,536
    Some college/associate’s degree;388;20,806;27,846;14,184;13,677;6,249;2,748;30,299;1,809
    Bachelor’s degree or higher;611;21,726;22,919;15,886;14,389;1,637;6,707;25,131;1,574
Marital status ;;;;;;;;;
    Married;59,902;23,708;46,627;18,604;23,201;13,329;9,713;45,311;6,848
    Widowed;36,587;4,614;6,978;3,383;14,460;-;2,035;33,949;335
    Divorced/separated;37,355;4,874;17,675;8,132;11,248;4,007;4,645;31,011;-
    Never married;43,841;19,244;50,119;13,698;7,323;3,014;2,698;42,919;-
    Did not report;12,605;-;1,645;-;-;-;-;9,102;3,776
Presence of children under 18 years old ;;;;;;;;;
    Children in household;52,189;18,620;49,008;17,630;27,320;14,612;10,784;44,968;2,664
    No children;52,189;23,634;48,019;19,224;17,699;1,964;2,950;51,857;7,369
Health status ;;;;;;;;;
    Excellent;46,016;19,017;30,131;8,903;12,605;2,814;1,705;26,205;-
    Very good;60,368;15,649;40,447;10,252;14,033;5,458;6,340;41,851;704
    Good;59,858;16,245;54,005;12,929;12,756;12,596;8,382;47,936;6,536
    Fair;46,822;5,371;16,935;9,784;17,462;4,430;216;35,716;2,664
    Poor;19,366;1,584;1,815;-;417;-;-;19,074;-
    Did not report;33,954;2,351;15,744;10,549;9,586;1,059;4,896;25,660;3,783
Household income ;;;;;;;;;
    Less than $25,000;62,119;4,125;31,297;6,072;9,136;-;4,384;58,389;-
    $25,000 - $34,999;42,028;8,421;17,020;6,255;10,314;2,713;1,753;35,625;2,664
    $35,000 - $49,999;50,481;5,004;35,477;4,207;7,853;12,510;-;34,059;-
    $50,000 - $74,999;38,722;15,926;21,249;12,093;16,085;3,182;886;23,676;-
    $75,000 - $99,999;50,259;10,025;33,021;8,732;11,775;2,632;2,104;39,160;704
    $100,000 - $149,999;35,050;15,554;18,344;11,693;3,962;1,231;5,895;26,091;-
    $150,000 - $199,999;31,767;13,792;20,811;6,242;5,556;770;1,705;13,459;-
    $200,000 and above;25,588;5,182;14,418;1,644;6,942;4,140;-;16,297;-
    Did not report;42,725;2,861;29,403;10,561;10,329;3,025;8,487;24,758;7,381
