Employment Table 2. Employment Status and Sector of Employment, by Select Characteristics: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 2.;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;
Select characteristics;Total;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days
;;Yes;Yes;Yes;Yes;Yes;Yes;No;Did not report
;;Government;Private company;Nonprofit organization;Self-employed;Family business;Did not report;;
;;;;;;;;;
Total;4,423,647;195,461;1,357,932;134,398;204,878;7,436;73,192;2,447,608;2,741
Age ;;;;;;;;;
    18 - 24;172,756;2,425;58,552;11,969;-;-;-;99,811;-
    25 - 39;1,517,032;70,421;597,775;60,591;12,162;6,115;-;769,968;-
    40 - 54;1,468,392;59,626;409,794;39,824;148,661;1,321;73,192;735,634;340
    55 - 64;713,733;59,208;239,816;19,290;21,202;-;-;373,570;647
    65 and above;551,733;3,781;51,996;2,724;22,853;-;-;468,625;1,754
Sex ;;;;;;;;;
    Male;2,434,944;97,357;831,089;36,930;75,604;-;73,192;1,318,677;2,094
    Female;1,988,703;98,104;526,843;97,468;129,274;7,436;-;1,128,931;647
Hispanic origin and Race ;;;;;;;;;
    Hispanic or Latino (may be of any race);2,041,852;36,298;762,229;65,324;34,700;1,321;71,144;1,070,836;-
    White alone, not Hispanic;1,640,218;80,435;414,319;62,147;96,784;6,115;-;979,771;647
    Black alone, not Hispanic;405,316;55,654;67,268;5,902;58,048;-;-;218,444;-
    Asian alone, not Hispanic;185,391;2,961;75,867;1,024;-;-;-;105,538;-
    Two or more races + Other races, not Hispanic;150,870;20,113;38,249;-;15,346;-;2,048;73,019;2,094
Education ;;;;;;;;;
    Less than high school;507,680;-;82,814;-;58,048;-;-;366,817;-
    High school or GED;1,703,996;36,970;553,757;30,283;63,739;1,321;71,144;946,782;-
    Some college/associate’s degree;1,456,198;37,392;515,527;40,385;37,306;-;-;824,601;987
    Bachelor’s degree or higher;755,774;121,099;205,834;63,731;45,785;6,115;2,048;309,407;1,754
Marital status ;;;;;;;;;
    Married;2,315,316;101,184;1,004,568;89,797;64,169;6,115;2,048;1,047,434;-
    Widowed;194,900;1,509;16,016;13,832;7,558;-;-;155,985;-
    Divorced/separated;654,508;60,741;92,850;17,830;52,128;1,321;71,144;358,494;-
    Never married;1,148,713;32,026;244,498;12,940;81,023;-;-;778,226;-
    Did not report;110,210;-;-;-;-;-;-;107,469;2,741
Presence of children under 18 years old ;;;;;;;;;
    Children in household;2,452,514;103,738;798,570;70,722;76,605;7,436;73,192;1,322,250;-
    No children;1,971,133;91,723;559,363;63,676;128,273;-;-;1,125,358;2,741
Health status ;;;;;;;;;
    Excellent;520,551;17,561;138,397;21,721;16,200;1,321;2,048;323,303;-
    Very good;1,049,648;69,257;285,342;64,729;76,973;6,115;-;547,231;-
    Good;1,271,327;66,667;528,378;35,527;33,144;-;-;607,611;-
    Fair;618,472;6,790;126,161;9,697;76,750;-;71,144;327,930;-
    Poor;495,307;-;71,114;-;-;-;-;424,193;-
    Did not report;468,343;35,187;208,540;2,724;1,812;-;-;217,339;2,741
Household income ;;;;;;;;;
    Less than $25,000;669,598;7,696;78,788;16,818;39,725;-;-;526,570;-
    $25,000 - $34,999;496,722;1,499;123,190;1,421;5,943;-;-;364,669;-
    $35,000 - $49,999;546,420;36,476;182,855;5,835;60,674;1,321;-;259,259;-
    $50,000 - $74,999;760,510;27,342;239,885;26,215;58,991;-;-;408,077;-
    $75,000 - $99,999;602,848;29,417;204,947;58,688;4,271;-;71,144;234,381;-
    $100,000 - $149,999;445,573;37,769;125,785;19,276;4,966;-;2,048;255,728;-
    $150,000 - $199,999;148,943;18,253;84,295;725;12,523;-;-;33,147;-
    $200,000 and above;71,648;1,822;35,830;2,696;6,721;-;-;24,578;-
    Did not report;681,385;35,187;282,358;2,724;11,063;6,115;-;341,197;2,741
