Employment Table 2. Employment Status and Sector of Employment, by Select Characteristics: Seattle-Tacoma-Bellevue, WA Metro Area;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 1.;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;
Select characteristics;Total;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days
;;Yes;Yes;Yes;Yes;Yes;Yes;No;Did not respond
;;Government;Private company;Nonprofit organization;Self-employed;Family business;Did not respond;;
;;;;;;;;;
Age ;;;;;;;;;
    18 - 24;217,312;-;83,298;-;14,258;4,012;20,527;95,218;-
    25 - 39;1,142,779;112,417;531,632;77,521;56,379;8,728;1,039;354,139;924
    40 - 54;748,442;77,396;325,242;43,011;55,993;9,823;6,991;229,381;604
    55 - 64;485,146;44,746;186,977;25,905;37,479;7,646;5,835;172,407;4,151
    65 and above;601,476;29,720;32,545;9,169;22,346;854;-;505,110;1,732
Sex ;;;;;;;;;
    Male;1,691,241;108,200;761,722;48,206;70,196;17,375;2,378;680,757;2,406
    Female;1,503,914;156,080;397,972;107,400;116,258;13,688;32,014;675,499;5,005
Hispanic origin and Race ;;;;;;;;;
    Hispanic or Latino (may be of any race);310,774;53,897;108,113;10,513;19,865;-;142;116,939;1,305
    White alone, not Hispanic;2,066,512;136,767;733,318;101,049;125,344;23,796;31,102;912,367;2,770
    Black alone, not Hispanic;122,958;27,853;33,165;9,099;2,033;7,267;-;43,541;-
    Asian alone, not Hispanic;408,763;24,661;165,341;23,180;26,414;-;2,764;163,068;3,336
    Two or more races + Other races, not Hispanic;286,148;21,101;119,757;11,765;12,799;-;385;120,341;-
Education ;;;;;;;;;
    Less than high school;139,213;3,420;38,107;-;-;-;-;97,686;-
    High school or GED;833,058;47,834;283,829;17,389;38,001;-;6,584;439,422;-
    Some college/associate’s degree;984,127;85,736;295,083;30,916;72,722;7,865;22,683;467,747;1,375
    Bachelor’s degree or higher;1,238,757;127,290;542,675;107,302;75,731;23,198;5,125;351,400;6,036
Marital status ;;;;;;;;;
    Married;1,756,336;160,658;619,372;103,856;111,276;27,051;7,727;726,396;-
    Widowed;73,879;4,132;19,447;-;2,214;-;-;48,087;-
    Divorced/separated;474,441;29,370;120,796;19,995;21,762;-;3,367;279,150;-
    Never married;865,220;63,206;399,966;31,004;49,832;4,012;23,298;293,297;604
    Did not report;25,279;6,914;112;751;1,370;-;-;9,326;6,806
Presence of children under 18 years old ;;;;;;;;;
    Children in household;1,033,524;109,060;417,412;56,075;65,382;17,822;3,628;364,145;-
    No children;2,161,632;155,220;742,282;99,531;121,072;13,241;30,765;992,111;7,411
Health status ;;;;;;;;;
    Excellent;772,593;62,719;357,771;48,205;52,830;6,221;3,037;241,810;-
    Very good;1,137,240;111,879;419,691;46,166;76,654;17,021;23,200;442,630;-
    Good;818,613;65,145;261,979;50,936;22,847;729;7,004;409,973;-
    Fair;203,980;10,957;27,385;1,960;11,252;-;-;152,427;-
    Poor;53,549;-;22,277;1,378;4,582;-;-;25,311;-
    Did not report;209,180;13,580;70,591;6,961;18,288;7,092;1,152;84,105;7,411
Household income ;;;;;;;;;
    Less than $25,000;242,124;13,085;28,724;4,575;29,545;-;-;166,195;-
    $25,000 - $34,999;187,347;9,648;52,981;2,002;9,013;-;1,610;112,092;-
    $35,000 - $49,999;317,232;36,797;95,521;15,247;4,903;854;2,730;161,181;-
    $50,000 - $74,999;532,785;49,403;170,056;23,497;21,283;4,012;1,502;263,031;-
    $75,000 - $99,999;356,963;39,302;125,914;33,326;15,439;-;527;142,454;-
    $100,000 - $149,999;571,498;54,173;233,209;22,395;35,207;13,899;23,635;188,980;-
    $150,000 - $199,999;277,596;10,541;153,580;22,613;19,977;-;992;69,893;-
    $200,000 and above;409,244;26,425;217,443;19,544;31,704;3,997;-;110,131;-
    Did not report;300,367;24,906;82,265;12,407;19,383;8,301;3,396;142,299;7,411
