Employment Table 3. Educational Attainment for Adults Not Working at Time of Survey, by Main Reason for Not Working and Paycheck Status While Not Working: Oregon;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 1.;;;;;;;;
Total Population 18 Years and Older Not Working at Time of Survey;;;;;;;;
Select characteristics;Total;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey
;;Less than high school;Some high school;High school or equivalent;Some college, but degree not received or is in progress;Associate’s degree;Bachelor’s degree;Graduate degree
;;;;;;;;
Reason for not working ;;;;;;;;
    I did not want to be employed at this time;61,692;2,653;-;26,331;13,984;6,139;4,134;8,451
    I did not work because I am/was sick with coronavirus symptoms;6,132;-;3,088;2,482;562;-;-;-
    I did not work because I am/was caring for someone with coronavirus symptoms;-;-;-;-;-;-;-;-
    I did not work because I am/was caring for children not in school or daycare;65,665;-;-;15,337;28,787;11,976;8,382;1,183
    I did not work because I am/was caring for an elderly person;32,066;-;-;-;14,708;14,990;2,368;-
    I am/was sick (not coronavirus related) or disabled;70,661;-;10,021;31,148;21,153;4,943;3,397;-
    I am retired;614,457;5,599;14,989;191,659;150,187;59,241;121,522;71,261
    I did not have work due to coronavirus pandemic related reduction in business (including furlough);159,149;1,075;3,092;27,201;47,979;23,462;42,646;13,693
    I am/was laid off due to coronavirus pandemic;165,829;-;1,544;105,220;17,154;23,356;14,440;4,116
    My employment closed temporarily due to the coronavirus pandemic;155,100;-;6,313;39,575;49,692;17,860;25,389;16,270
    My employment went out of business due to the coronavirus pandemic;32,107;2,482;-;10,582;7,267;2,249;8,382;1,145
    Other reason;172,583;7,319;3,977;41,012;43,404;22,071;41,099;13,700
    Did not report reason;-;-;-;-;-;-;-;-
Receiving pay during time not working ;;;;;;;;
    Yes, I used paid leave;27,136;-;-;5,575;7,441;2,249;9,972;1,899
    Yes, I received full pay but do not have to take leave;42,772;-;-;14,293;16,922;1,212;3,470;6,875
    Yes, I received partial pay;35,306;-;-;22,027;6,608;1,141;4,861;669
    No, I received no pay;1,332,540;15,395;39,291;419,320;337,649;172,916;238,320;109,649
    Did not report;97,687;3,732;3,732;29,333;26,256;8,769;15,135;10,728
