Employment Table 3. Educational Attainment for Adults Not Working at Time of Survey, by Main Reason for Not Working and Paycheck Status While Not Working: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 2.;;;;;;;;
Total Population 18 Years and Older Not Working at Time of Survey;;;;;;;;
Select characteristics;Total;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey
;;Less than high school;Some high school;High school or equivalent;Some college, but degree not received or is in progress;Associate’s degree;Bachelor’s degree;Graduate degree
;;;;;;;;
Total;2,447,608;126,484;240,333;946,782;666,501;158,100;164,380;145,027
Reason for not working ;;;;;;;;
    I did not want to be employed at this time;211,401;-;-;95,272;85,419;25,465;5,244;-
    I did not work because I am/was sick with coronavirus symptoms;37,440;-;-;37,440;-;-;-;-
    I did not work because I am/was caring for someone with coronavirus symptoms;521;-;-;-;521;-;-;-
    I did not work because I am/was caring for children not in school or daycare;200,244;-;35,923;31,373;77,817;50,682;1,806;2,643
    I did not work because I am/was caring for an elderly person;14,524;-;-;-;5,473;8,441;-;610
    I am/was sick (not coronavirus related) or disabled;58,817;-;-;12,646;23,883;7,463;14,094;731
    I am retired;510,209;102,714;16,271;109,033;137,817;16,802;20,993;106,579
    I did not have work due to coronavirus pandemic related reduction in business (including furlough);195,745;-;-;56,200;81,721;6,181;36,481;15,161
    I am/was laid off due to coronavirus pandemic;235,571;-;21,438;114,595;62,760;24,368;10,773;1,638
    My employment closed temporarily due to the coronavirus pandemic;458,421;-;73,024;202,082;96,788;6,311;64,793;15,423
    My employment went out of business due to the coronavirus pandemic;18,078;-;-;-;4,445;5,620;5,771;2,242
    Other reason;506,637;23,770;93,678;288,141;89,857;6,766;4,425;-
    Did not report reason;-;-;-;-;-;-;-;-
Receiving pay during time not working ;;;;;;;;
    Yes, I used paid leave;209,594;-;-;198,356;9,748;-;871;619
    Yes, I received full pay but do not have to take leave;39,211;-;-;-;22,000;2,962;4,373;9,876
    Yes, I received partial pay;103,664;-;-;47,599;17,047;35,719;3,001;299
    No, I received no pay;1,962,110;31,711;228,912;687,878;607,419;117,050;156,136;133,004
    Did not report;133,029;94,774;11,422;12,949;10,287;2,369;-;1,229
