Standard Error Employment Table 3. Educational Attainment for Adults Not Working at Time of Survey, by Main Reason for Not Working and Paycheck Status While Not Working: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 6.;;;;;;;;
Total Population 18 Years and Older Not Working at Time of Survey;;;;;;;;
Select characteristics;Total;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey
;;Less than high school;Some high school;High school or equivalent;Some college, but degree not received or is in progress;Associate’s degree;Bachelor’s degree;Graduate degree
;;;;;;;;
Total;197,186;58,367;110,199;139,719;45,984;44,541;26,359;15,218
Reason for not working ;;;;;;;;
    I did not want to be employed at this time;27,876;-;-;27,170;4,441;6,961;1,058;228
    I was sick with coronavirus symptoms;22,681;-;20,433;9,204;-;-;1,471;178
    I was caring for someone with coronavirus symptoms;4,437;-;-;4,437;-;-;-;-
    I was caring for children not in school or daycare;33,295;-;26,051;9,631;19,065;2,591;4,655;2,348
    I was caring for an elderly person;10,061;-;8,325;-;3,727;3,891;2,198;-
    I was concerned about getting or spreading the coronavirus;46,109;-;33,434;14,673;14,019;19,539;4,437;336
    I was sick (not coronavirus related) or disabled;65,998;-;49,207;44,807;13,502;7,021;10,518;3,201
    I am retired;117,672;-;12,005;105,770;18,243;18,251;15,608;11,048
    My employer experienced a reduction in business (including furlough) due to coronavirus pandemic;26,730;-;-;21,702;9,565;3,686;5,170;3,471
    I was laid off due to coronavirus pandemic;97,956;-;44,830;84,855;15,587;27,325;11,219;2,015
    My employer closed temporarily due to the coronavirus pandemic;50,807;13,498;35,474;16,333;12,958;14,681;7,821;4,411
    My employer went out of business due to the coronavirus pandemic;34,183;28,822;-;14,796;13,454;-;745;366
    Other reason;62,792;36,988;38,783;22,316;28,541;7,522;8,136;8,266
    Did not report reason;53,267;15,755;10,962;51,413;-;1,526;1,525;755
Receiving pay during time not working ;;;;;;;;
    Yes, I used paid leave;58,619;-;-;58,266;6,982;1,007;-;-
    Yes, I received full pay but do not have to take leave;13,567;-;-;6,585;6,201;1,356;7,761;6,219
    Yes, I received partial pay;61,821;-;49,207;31,041;11,437;20,250;4,790;4,432
    No, I received no pay;157,498;55,881;78,985;103,548;43,084;37,641;24,623;12,782
    Did not report;92,835;15,755;40,354;80,218;7,224;7,017;7,112;4,428
