Employment Table 3. Educational Attainment for Adults Not Working at Time of Survey, by Main Reason for Not Working and Paycheck Status While Not Working: Seattle-Tacoma-Bellevue, WA Metro Area;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 2.;;;;;;;;
Total Population 18 Years and Older Not Working at Time of Survey;;;;;;;;
Select characteristics;Total;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey
;;Less than high school;Some high school;High school or equivalent;Some college, but degree not received or is in progress;Associate’s degree;Bachelor’s degree;Graduate degree
;;;;;;;;
Total;1,260,982;-;125,989;331,172;334,211;85,598;246,050;137,963
Reason for not working ;;;;;;;;
    I did not want to be employed at this time;33,624;-;-;4,062;11,027;1,263;13,343;3,930
    I did not work because I am/was sick with coronavirus symptoms;27,547;-;24,684;-;-;-;2,863;-
    I did not work because I am/was caring for someone with coronavirus symptoms;-;-;-;-;-;-;-;-
    I did not work because I am/was caring for children not in school or daycare;79,665;-;20,695;18,066;20,698;7,450;9,716;3,040
    I did not work because I am/was caring for an elderly person;49,901;-;30,559;9,168;7,980;-;-;2,194
    I am/was sick (not coronavirus related) or disabled;37,120;-;-;19,919;12,135;-;4,106;959
    I am retired;363,624;-;3,950;77,445;106,638;45,323;65,226;65,042
    I did not have work due to coronavirus pandemic related reduction in business (including furlough);157,927;-;-;-;77,034;10,618;48,564;21,711
    I am/was laid off due to coronavirus pandemic;93,499;-;18,845;11,906;30,958;-;30,188;1,601
    My employment closed temporarily due to the coronavirus pandemic;206,502;-;14,160;93,212;41,259;20,944;32,120;4,808
    My employment went out of business due to the coronavirus pandemic;9,594;-;-;-;-;-;5,436;4,158
    Other reason;201,980;-;13,097;97,394;26,481;-;34,488;30,520
    Did not report reason;-;-;-;-;-;-;-;-
Receiving pay during time not working ;;;;;;;;
    Yes, I used paid leave;56,490;-;30,559;18,175;-;1,467;2,533;3,756
    Yes, I received full pay but do not have to take leave;52,644;-;-;25,781;21,567;-;5,296;-
    Yes, I received partial pay;28,159;-;-;5,842;8,887;2,673;6,724;4,033
    No, I received no pay;1,065,829;-;95,430;251,481;289,840;78,196;228,887;121,995
    Did not report;57,860;-;-;29,893;13,917;3,261;2,610;8,180
