Standard Error Health Table 1. COVID-19 Pandemic Related Problems with Access to Medical Care, in Last 4 weeks, by Select Characteristics: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 6.;;;;;;
Total Population 18 Years and Older;;;;;;
Select characteristics;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…
;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it
;Yes;No;Did not report;Yes;No;Did not report
;;;;;;
Total;272,287;300,949;232,724;271,637;283,482;233,849
Age ;;;;;;
    18 - 29;125,827;193,903;129,649;105,434;185,079;129,649
    30 - 39;100,131;143,654;97,017;81,735;150,175;97,698
    40 - 49;89,195;176,890;28,508;106,624;146,413;28,508
    50 - 59;101,112;130,294;108,275;101,024;121,468;108,240
    60 - 69;110,899;138,992;64,131;157,782;109,671;68,425
    70 - 79;86,802;78,884;18,673;86,426;84,505;18,682
    80 and above;4,157;15,257;50,164;5,173;15,007;50,164
Sex ;;;;;;
    Male;166,511;281,393;210,129;155,387;286,218;211,115
    Female;218,309;214,563;96,184;217,546;203,422;96,673
Hispanic origin and Race ;;;;;;
    Hispanic or Latino (may be of any race);163,478;182,707;162,967;154,312;186,733;164,144
    White alone, not Hispanic;110,711;129,754;65,969;103,676;133,145;66,530
    Black alone, not Hispanic;53,806;109,547;14,535;120,760;68,656;14,535
    Asian alone, not Hispanic;167,152;139,336;83,301;153,416;128,659;83,301
    Two or more races + Other races, not Hispanic;39,168;52,192;71,746;39,165;50,234;71,746
Education ;;;;;;
    Less than high school;114,289;181,942;139,067;173,168;144,120;139,067
    High school or GED;155,626;165,318;121,704;154,630;174,080;121,704
    Some college/associate’s degree;157,038;154,644;83,886;143,949;136,859;82,045
    Bachelor’s degree or higher;95,374;125,793;47,393;85,307;117,557;47,592
Marital status ;;;;;;
    Married;178,686;191,823;96,066;228,186;173,320;97,034
    Widowed;32,001;105,193;7,481;109,346;27,310;7,481
    Divorced/separated;105,831;168,220;30,728;108,849;167,379;26,064
    Never married;143,318;254,197;238,851;118,600;262,129;238,851
    Did not report;7,247;3,347;7,414;6,950;3,562;7,414
Presence of children under 18 years old ;;;;;;
    Children in household;178,760;214,577;169,575;180,193;187,707;168,738
    No children;195,671;257,366;150,579;211,636;241,977;150,588
Respondent or household member experienced loss of employment income ;;;;;;
    Yes;217,870;274,877;144,560;199,653;260,734;145,360
    No;135,003;197,822;185,112;131,013;201,360;185,603
    Did not report;5,828;15,991;9,615;-;17,147;9,615
Respondent currently employed ;;;;;;
    Yes;179,479;243,934;115,071;165,834;212,017;115,692
    No;191,192;226,825;195,145;222,289;196,373;194,555
    Did not report;-;11,682;66,755;-;11,682;66,755
Household income ;;;;;;
    Less than $25,000;67,027;157,421;13,105;111,896;139,756;-
    $25,000 - $34,999;90,899;156,537;-;134,863;119,167;-
    $35,000 - $49,999;133,846;94,723;-;120,581;80,600;-
    $50,000 - $74,999;99,223;145,605;-;91,550;152,189;-
    $75,000 - $99,999;77,686;102,190;-;65,599;98,253;-
    $100,000 - $149,999;103,932;122,761;-;98,889;121,314;-
    $150,000 - $199,999;50,746;43,646;5,277;52,470;48,240;-
    $200,000 and above;39,740;82,135;-;36,032;81,896;873
    Did not report;35,064;79,302;233,832;25,154;83,591;233,832
