Standard Error Health Table 1. COVID-19 Pandemic Related Problems with Access to Medical Care, in Last 4 weeks, by Select Characteristics: Oregon;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 6.;;;;;;
Total Population 18 Years and Older;;;;;;
Select characteristics;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…
;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it
;Yes;No;Did not report;Yes;No;Did not report
;;;;;;
Total;62,854;57,528;33,890;53,167;52,170;34,036
Age ;;;;;;
    18 - 29;22,174;29,929;18,689;19,571;34,118;18,689
    30 - 39;27,361;27,343;18,104;26,277;28,770;18,441
    40 - 49;32,869;30,025;7,234;36,397;33,450;7,234
    50 - 59;24,087;26,323;11,027;20,354;26,145;11,068
    60 - 69;32,643;34,777;6,690;27,278;38,284;6,690
    70 - 79;26,240;25,908;11,680;16,622;29,402;11,680
    80 and above;45,150;6,649;965;13,149;42,222;965
Sex ;;;;;;
    Male;41,464;38,424;26,508;38,459;41,831;26,482
    Female;46,365;45,004;18,837;41,199;43,916;18,897
Hispanic origin and Race ;;;;;;
    Hispanic or Latino (may be of any race);20,246;23,039;14,752;15,816;18,679;14,752
    White alone, not Hispanic;61,943;61,589;27,459;50,824;49,852;27,789
    Black alone, not Hispanic;22,014;15,167;-;21,013;14,871;-
    Asian alone, not Hispanic;7,550;21,901;3,551;7,792;21,788;3,551
    Two or more races + Other races, not Hispanic;23,208;25,337;10,992;18,902;24,290;10,977
Education ;;;;;;
    Less than high school;18,817;39,113;10,999;17,621;40,275;10,999
    High school or GED;43,632;51,957;20,867;29,978;50,691;20,785
    Some college/associate’s degree;37,127;31,214;20,777;33,548;30,915;20,777
    Bachelor’s degree or higher;24,978;25,785;11,900;28,001;28,330;11,915
Marital status ;;;;;;
    Married;45,141;57,645;19,413;41,631;63,185;19,562
    Widowed;43,063;13,559;5,031;17,523;37,336;5,031
    Divorced/separated;29,001;30,905;13,867;26,051;32,725;13,867
    Never married;41,944;39,676;23,128;37,645;39,557;23,128
    Did not report;9,053;585;4,147;9,053;585;4,147
Presence of children under 18 years old ;;;;;;
    Children in household;37,350;41,194;26,782;32,470;45,414;26,718
    No children;60,647;61,888;22,383;46,399;53,121;22,394
Respondent or household member experienced loss of employment income ;;;;;;
    Yes;52,156;54,148;24,588;50,538;55,770;24,843
    No;46,372;55,148;22,896;39,270;57,957;22,906
    Did not report;-;528;3,776;528;-;3,776
Respondent currently employed ;;;;;;
    Yes;45,846;54,086;22,498;46,763;55,281;22,492
    No;47,747;53,877;25,290;36,060;52,993;25,606
    Did not report;704;6,831;3,783;-;6,848;3,783
Household income ;;;;;;
    Less than $25,000;46,863;35,979;-;22,402;66,353;-
    $25,000 - $34,999;31,320;31,150;-;29,373;31,394;-
    $35,000 - $49,999;30,562;38,911;-;21,151;42,998;-
    $50,000 - $74,999;33,048;31,620;-;29,220;29,529;2,390
    $75,000 - $99,999;36,250;32,018;-;27,193;38,572;-
    $100,000 - $149,999;31,793;21,159;368;28,409;23,661;-
    $150,000 - $199,999;28,221;19,496;-;17,060;23,074;-
    $200,000 and above;13,786;19,584;494;12,842;23,042;494
    Did not report;5,368;31,718;33,840;5,010;31,977;33,840
