Health Table 1. COVID-19 Pandemic Related Problems with Access to Medical Care, in Last 4 weeks, by Select Characteristics: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 1.;;;;;;
Total Population 18 Years and Older;;;;;;
Select characteristics;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…
;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it
;Yes;No;Did not respond;Yes;No;Did not respond
;;;;;;
Age ;;;;;;
    18 - 29;367,768;492,127;47,734;180,054;679,841;47,734
    30 - 39;269,158;422,851;80,375;241,554;450,455;80,375
    40 - 49;204,341;539,174;46,656;231,097;512,417;46,656
    50 - 59;191,092;322,780;95,693;209,842;304,030;95,693
    60 - 69;588,324;255,089;44,488;496,002;347,411;44,488
    70 - 79;150,345;286,464;52,437;134,826;309,848;44,573
    80 and above;24,266;93,816;2,151;19,970;98,113;2,151
Sex ;;;;;;
    Male;914,370;1,277,758;160,728;803,624;1,396,368;152,864
    Female;880,924;1,134,543;208,806;709,721;1,305,746;208,806
Hispanic origin and Race ;;;;;;
    Hispanic or Latino (may be of any race);706,333;1,151,197;181,275;595,092;1,262,437;181,275
    White alone, not Hispanic;792,485;819,900;155,421;626,576;994,154;147,075
    Black alone, not Hispanic;146,359;209,321;14,445;148,647;206,552;14,927
    Asian alone, not Hispanic;92,797;173,012;15,877;77,004;188,805;15,877
    Two or more races + Other races, not Hispanic;57,320;58,871;2,516;66,026;50,166;2,516
Education ;;;;;;
    Less than high school;563,330;553,059;98,873;437,304;679,085;98,873
    High school or GED;453,774;625,606;103,093;392,180;687,200;103,093
    Some college/associate’s degree;460,794;805,905;114,395;431,443;843,601;106,050
    Bachelor’s degree or higher;317,396;427,731;53,173;252,418;492,228;53,654
Marital status ;;;;;;
    Married;849,060;1,362,261;156,796;756,521;1,454,319;157,277
    Widowed;195,640;95,240;33,479;197,567;101,658;25,133
    Divorced/separated;258,090;294,185;85,166;257,113;295,162;85,166
    Never married;477,844;658,353;80,305;289,036;847,161;80,305
    Did not report;14,660;2,261;13,788;13,108;3,813;13,788
Presence of children under 18 years old ;;;;;;
    Children in household;838,800;1,312,664;171,784;851,989;1,307,820;163,438
    No children;956,494;1,099,637;197,751;661,356;1,394,294;198,232
Respondent or household member experienced loss of employment income ;;;;;;
    Yes;855,073;1,363,092;153,443;776,579;1,441,586;153,443
    No;940,221;1,045,684;191,390;735,503;1,258,267;183,526
    Did not report;-;3,525;24,702;1,264;2,261;24,702
Respondent currently employed ;;;;;;
    Yes;776,978;976,162;166,618;778,663;982,822;158,273
    No;1,018,316;1,433,877;175,065;734,682;1,717,030;175,546
    Did not report;-;2,261;27,851;-;2,261;27,851
Household income ;;;;;;
    Less than $25,000;222,117;365,596;-;164,101;423,131;481
    $25,000 - $34,999;271,175;320,656;-;256,372;335,459;-
    $35,000 - $49,999;369,160;456,864;-;396,809;429,215;-
    $50,000 - $74,999;281,801;323,557;-;145,864;459,494;-
    $75,000 - $99,999;307,809;342,812;-;202,115;448,505;-
    $100,000 - $149,999;167,016;376,256;8,345;196,789;354,828;-
    $150,000 - $199,999;67,590;73,838;-;53,254;88,174;-
    $200,000 and above;65,223;85,846;-;63,424;87,645;-
    Did not report;43,403;66,876;361,189;34,616;75,663;361,189
