Health Table 1. COVID-19 Pandemic Related Problems with Access to Medical Care, in Last 4 weeks, by Select Characteristics: San Francisco-Oakland-Berkeley, CA Metro Area;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 3.;;;;;;
Total Population 18 Years and Older;;;;;;
Select characteristics;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…
;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it
;Yes;No;Did not respond;Yes;No;Did not respond
;;;;;;
Age ;;;;;;
    18 - 29;143,179;431,396;312,053;99,922;475,185;311,521
    30 - 39;221,011;490,068;57,496;142,598;568,481;57,496
    40 - 49;319,190;273,127;32,624;233,346;359,724;31,872
    50 - 59;235,424;331,194;171,781;164,916;401,702;171,781
    60 - 69;266,564;255,079;33,624;231,867;292,454;30,947
    70 - 79;116,147;442,493;28,580;71,826;486,814;28,580
    80 and above;51,997;57,290;4,288;20,158;89,129;4,288
Sex ;;;;;;
    Male;575,451;1,081,128;282,090;397,976;1,261,238;279,454
    Female;778,062;1,199,520;358,355;566,657;1,412,250;357,029
Hispanic origin and Race ;;;;;;
    Hispanic or Latino (may be of any race);237,456;574,688;197,805;198,552;613,591;197,805
    White alone, not Hispanic;743,722;802,106;84,089;480,637;1,067,868;81,412
    Black alone, not Hispanic;37,810;108,802;144,393;26,954;120,410;143,640
    Asian alone, not Hispanic;261,933;747,107;127,060;195,748;813,292;127,060
    Two or more races + Other races, not Hispanic;72,592;47,945;87,098;62,742;58,327;86,566
Education ;;;;;;
    Less than high school;27,202;232,705;272,307;23,326;236,582;272,307
    High school or GED;307,635;438,509;122,315;173,898;573,837;120,724
    Some college/associate’s degree;337,685;579,631;106,079;303,632;613,683;106,079
    Bachelor’s degree or higher;680,991;1,029,802;139,745;463,778;1,249,386;137,373
Marital status ;;;;;;
    Married;697,525;1,204,400;174,309;483,579;1,420,982;171,673
    Widowed;45,049;76,802;10,973;40,706;81,145;10,973
    Divorced/separated;235,676;283,307;125,868;213,865;305,912;125,075
    Never married;373,466;714,356;319,306;224,956;863,397;318,774
    Did not report;1,797;1,783;9,988;1,528;2,052;9,988
Presence of children under 18 years old ;;;;;;
    Children in household;375,880;764,230;315,531;266,326;873,784;315,531
    No children;977,633;1,516,417;324,914;698,308;1,799,704;320,952
Respondent or household member experienced loss of employment income ;;;;;;
    Yes;690,888;922,557;326,214;470,964;1,143,013;325,682
    No;662,625;1,357,705;298,639;493,670;1,530,090;295,209
    Did not report;-;385;15,592;-;385;15,592
Respondent currently employed ;;;;;;
    Yes;738,760;880,600;291,906;519,147;1,102,336;289,784
    No;614,694;1,397,817;332,448;445,428;1,568,922;330,609
    Did not report;58;2,230;16,091;58;2,230;16,091
Household income ;;;;;;
    Less than $25,000;107,288;323,090;753;73,509;357,622;-
    $25,000 - $34,999;89,921;205,316;41;66,923;228,354;-
    $35,000 - $49,999;205,019;136,368;-;143,839;197,549;-
    $50,000 - $74,999;195,024;241,121;-;135,215;300,931;-
    $75,000 - $99,999;108,836;232,575;-;92,645;248,767;-
    $100,000 - $149,999;271,395;368,202;1,798;166,615;474,780;-
    $150,000 - $199,999;113,587;156,122;-;83,002;186,707;-
    $200,000 and above;248,863;562,825;838;195,305;617,220;-
    Did not report;13,579;55,026;637,015;7,579;61,558;636,483
