Standard Error Health Table 1. COVID-19 Pandemic Related Problems with Access to Medical Care, in Last 4 weeks, by Select Characteristics: San Francisco-Oakland-Berkeley, CA Metro Area;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 6.;;;;;;
Total Population 18 Years and Older;;;;;;
Select characteristics;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…
;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it
;Yes;No;Did not report;Yes;No;Did not report
;;;;;;
Total;136,578;132,156;73,389;105,832;169,166;77,775
Age ;;;;;;
    18 - 29;107,884;84,955;53,750;98,221;96,361;58,254
    30 - 39;39,162;43,420;12,078;29,026;48,730;12,078
    40 - 49;24,367;31,128;34,666;26,230;29,983;34,815
    50 - 59;21,373;60,614;22,719;17,662;66,458;8,894
    60 - 69;75,649;54,869;11,827;15,852;92,547;11,681
    70 - 79;20,387;22,069;5,937;15,566;25,828;5,937
    80 and above;22,778;12,452;1,516;22,905;12,775;1,516
Sex ;;;;;;
    Male;60,732;105,685;56,771;36,079;113,964;57,284
    Female;126,361;69,451;56,211;104,803;117,968;56,937
Hispanic origin and Race ;;;;;;
    Hispanic or Latino (may be of any race);71,897;101,644;40,970;30,410;124,902;45,026
    White alone, not Hispanic;46,619;63,749;18,830;39,968;72,855;18,507
    Black alone, not Hispanic;17,797;33,633;39,201;12,348;46,278;33,331
    Asian alone, not Hispanic;44,657;55,871;31,837;18,814;66,784;32,144
    Two or more races + Other races, not Hispanic;96,465;37,301;34,637;97,204;37,985;34,637
Education ;;;;;;
    Less than high school;71,485;55,235;45,150;4,486;91,227;45,536
    High school or GED;34,385;50,404;53,412;29,898;46,832;61,411
    Some college/associate’s degree;111,505;78,094;22,073;99,963;73,817;20,213
    Bachelor’s degree or higher;42,606;71,480;20,178;29,938;78,529;20,228
Marital status ;;;;;;
    Married;46,243;60,893;16,834;42,848;70,248;17,620
    Widowed;4,863;4,573;4,119;4,383;5,276;4,119
    Divorced/separated;73,031;54,525;25,349;22,726;90,242;13,106
    Never married;111,057;109,781;68,274;99,501;117,538;73,140
    Did not report;2,268;980;13,236;-;2,461;13,236
Presence of children under 18 years old ;;;;;;
    Children in household;44,513;61,597;65,185;42,097;61,264;68,300
    No children;132,270;122,751;30,586;100,862;161,793;30,906
Respondent or household member experienced loss of employment income ;;;;;;
    Yes;128,268;128,470;67,366;101,269;156,920;67,885
    No;61,217;70,452;26,869;52,763;80,455;26,690
    Did not report;-;-;16,554;-;-;16,554
Respondent currently employed ;;;;;;
    Yes;103,120;98,526;63,783;95,820;110,111;64,327
    No;85,039;74,960;46,404;38,341;106,361;43,919
    Did not report;2,411;2,487;13,378;-;3,459;13,378
Household income ;;;;;;
    Less than $25,000;72,566;38,916;21,476;24,294;83,498;-
    $25,000 - $34,999;20,634;16,541;-;9,356;23,322;-
    $35,000 - $49,999;20,444;27,977;4,650;7,266;27,065;18,532
    $50,000 - $74,999;34,247;33,457;-;30,300;36,778;-
    $75,000 - $99,999;104,518;28,211;-;98,220;44,761;2,759
    $100,000 - $149,999;33,917;62,371;-;29,147;67,205;-
    $150,000 - $199,999;31,798;75,781;393;18,577;81,912;-
    $200,000 and above;24,459;45,938;2,954;18,438;44,611;-
    Did not report;7,977;28,863;72,618;6,543;31,306;71,356
