Health Table 1. COVID-19 Pandemic Related Problems with Access to Medical Care, in Last 4 weeks, by Select Characteristics: Seattle-Tacoma-Bellevue, WA Metro Area;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 3.;;;;;;
Total Population 18 Years and Older;;;;;;
Select characteristics;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…
;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it
;Yes;No;Did not respond;Yes;No;Did not respond
;;;;;;
Age ;;;;;;
    18 - 29;136,616;322,218;108,348;91,383;367,451;108,348
    30 - 39;312,973;393,247;23,705;273,984;432,236;23,705
    40 - 49;167,100;253,633;30,780;117,779;302,955;30,780
    50 - 59;187,800;270,472;33,313;130,695;327,519;33,370
    60 - 69;217,930;248,569;19,171;115,509;351,173;18,987
    70 - 79;127,299;162,621;18,222;113,126;176,876;18,141
    80 and above;7,255;52,751;4,279;8,366;51,641;4,279
Sex ;;;;;;
    Male;592,781;920,356;123,904;442,944;1,070,314;123,782
    Female;564,193;783,155;113,914;407,897;939,536;113,828
Hispanic origin and Race ;;;;;;
    Hispanic or Latino (may be of any race);132,432;167,957;43,881;111,108;189,282;43,881
    White alone, not Hispanic;743,584;1,091,357;137,735;490,349;1,344,801;137,528
    Black alone, not Hispanic;73,376;102,930;14,068;49,121;127,186;14,068
    Asian alone, not Hispanic;101,910;258,028;26,901;116,367;243,570;26,901
    Two or more races + Other races, not Hispanic;105,670;83,238;15,233;83,897;105,011;15,233
Education ;;;;;;
    Less than high school;55,948;120,532;33,966;52,178;124,301;33,966
    High school or GED;235,386;299,153;80,117;149,540;385,141;79,973
    Some college/associate’s degree;343,885;593,743;91,587;281,176;656,453;91,587
    Bachelor’s degree or higher;521,755;690,083;32,148;367,947;843,955;32,084
Marital status ;;;;;;
    Married;723,517;884,158;81,109;484,244;1,123,374;81,166
    Widowed;27,336;44,685;6,557;25,074;46,947;6,557
    Divorced/separated;144,794;218,085;25,179;119,391;243,673;24,995
    Never married;259,863;546,084;116,328;220,756;585,272;116,247
    Did not report;1,463;10,498;8,645;1,377;10,585;8,645
Presence of children under 18 years old ;;;;;;
    Children in household;362,957;450,347;107,244;271,961;541,367;107,220
    No children;794,016;1,253,164;130,575;578,881;1,468,483;130,391
Respondent or household member experienced loss of employment income ;;;;;;
    Yes;545,947;715,129;117,860;367,772;893,344;117,820
    No;610,975;988,301;117,653;482,874;1,116,426;117,630
    Did not report;52;81;2,305;195;81;2,161
Respondent currently employed ;;;;;;
    Yes;676,215;953,075;140,724;496,076;1,133,214;140,724
    No;479,672;750,162;94,301;353,536;876,363;94,237
    Did not report;1,087;273;2,793;1,230;273;2,649
Household income ;;;;;;
    Less than $25,000;87,274;85,679;81;65,206;107,828;-
    $25,000 - $34,999;89,451;122,494;143;58,230;153,818;40
    $35,000 - $49,999;120,993;98,629;-;69,276;150,346;-
    $50,000 - $74,999;208,942;297,987;-;235,363;271,566;-
    $75,000 - $99,999;132,165;252,102;-;80,409;303,857;-
    $100,000 - $149,999;205,929;368,531;81;146,279;428,262;-
    $150,000 - $199,999;106,674;134,801;-;55,986;185,489;-
    $200,000 and above;182,754;309,515;-;119,714;372,498;57
    Did not report;22,793;33,773;237,513;20,378;36,188;237,513
