Health Table 2a. Symptoms of Anxiety Experienced in the Last 7 days, by Select Characteristics: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 1.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying
;Not at all;Several days;More than half the days;Nearly everyday;Did not respond;Not at all;Several days;More than half the days;Nearly everyday;Did not respond
;;;;;;;;;;
Age ;;;;;;;;;;
    18 - 29;295,016;287,799;84,336;192,744;47,734;339,663;286,688;131,863;101,681;47,734
    30 - 39;198,897;302,523;114,213;97,142;59,608;317,294;219,869;102,285;73,328;59,608
    40 - 49;290,793;256,777;103,558;92,387;46,656;298,918;296,547;100,144;47,906;46,656
    50 - 59;201,188;123,008;57,542;147,839;79,987;220,838;148,092;54,141;106,507;79,987
    60 - 69;296,583;246,550;249,811;51,481;43,476;338,006;359,547;44,677;102,195;43,476
    70 - 79;210,042;84,221;8,258;144,185;42,541;246,996;50,387;81,252;34,221;76,390
    80 and above;91,319;13,053;11,446;2,264;2,151;91,492;15,226;7,376;3,988;2,151
Sex ;;;;;;;;;;
    Male;919,716;638,228;274,840;402,451;117,622;1,075,444;567,832;255,452;302,657;151,471
    Female;664,122;675,704;354,324;325,591;204,531;777,764;808,523;266,286;167,169;204,531
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);575,399;685,187;170,365;444,527;163,327;738,066;578,658;334,247;191,138;196,696
    White alone, not Hispanic;733,205;397,669;280,187;223,795;132,949;829,436;518,534;121,378;165,508;132,949
    Black alone, not Hispanic;130,150;98,744;99,249;27,537;14,445;111,147;137,692;23,533;82,826;14,927
    Asian alone, not Hispanic;112,367;107,952;35,492;16,961;8,915;111,324;112,612;31,905;16,931;8,915
    Two or more races + Other races, not Hispanic;32,717;24,381;43,871;15,222;2,516;63,235;28,859;10,675;13,423;2,516
Education ;;;;;;;;;;
    Less than high school;435,778;340,488;176,036;187,309;75,652;482,429;470,989;91,208;61,616;109,020
    High school or GED;416,565;296,384;220,945;145,486;103,093;475,074;281,783;135,005;187,518;103,093
    Some college/associate’s degree;457,174;386,786;150,784;288,815;97,535;534,919;377,200;217,197;154,243;97,535
    Bachelor’s degree or higher;274,321;290,275;81,399;106,432;45,873;360,785;246,383;78,328;66,449;46,354
Marital status ;;;;;;;;;;
    Married;910,583;746,640;319,263;260,270;131,362;1,037,382;730,615;240,565;227,711;131,843
    Widowed;73,355;41,015;133,956;50,900;25,133;81,381;165,086;5,009;14,381;58,502
    Divorced/separated;239,338;98,298;61,167;167,073;71,564;265,695;83,120;133,592;83,470;71,564
    Never married;357,459;427,979;114,778;235,981;80,305;465,646;397,534;140,310;132,707;80,305
    Did not report;3,103;-;-;13,818;13,788;3,103;-;2,261;11,556;13,788
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;787,542;621,651;311,424;459,757;142,874;903,082;610,434;378,460;288,398;142,874
    No children;796,296;692,281;317,740;268,285;179,279;950,125;765,921;143,278;181,429;213,128
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;701,333;689,022;319,203;513,894;148,156;783,316;703,072;382,566;354,498;148,156
    No;882,505;623,647;309,961;211,886;149,296;1,069,892;672,020;136,911;115,328;183,145
    Did not report;-;1,264;-;2,261;24,702;-;1,264;2,261;-;24,702
Respondent currently employed ;;;;;;;;;;
    Yes;839,167;470,391;198,689;278,929;132,582;866,498;502,570;185,217;232,892;132,582
    No;744,671;843,542;430,475;446,851;161,720;986,710;873,785;334,260;236,934;195,569
    Did not report;-;-;-;2,261;27,851;-;-;2,261;-;27,851
Household income ;;;;;;;;;;
    Less than $25,000;147,155;153,057;80,674;206,826;-;149,495;215,230;133,830;55,308;33,849
    $25,000 - $34,999;204,095;145,545;154,583;87,608;-;206,804;174,013;42,881;168,133;-
    $35,000 - $49,999;388,940;137,747;175,930;123,407;-;375,106;288,603;86,094;76,221;-
    $50,000 - $74,999;226,953;245,530;55,098;77,778;-;261,306;209,595;61,813;72,645;-
    $75,000 - $99,999;223,657;274,210;64,080;88,675;-;336,416;184,422;94,647;35,136;-
    $100,000 - $149,999;211,178;179,832;35,025;125,583;-;270,606;159,732;71,754;49,525;-
    $150,000 - $199,999;61,045;49,389;23,773;7,221;-;73,590;49,730;10,756;7,352;-
    $200,000 and above;38,773;83,999;21,711;6,587;-;73,800;65,712;6,051;5,506;-
    Did not report;82,043;44,624;18,291;4,356;322,153;106,085;29,317;13,912;-;322,153
