Health Table 2a. Symptoms of Anxiety Experienced in the Last 7 days, by Select Characteristics: San Francisco-Oakland-Berkeley, CA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 5.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying
;Not at all;Several days;More than half the days;Nearly everyday;Did not report;Not at all;Several days;More than half the days;Nearly everyday;Did not report
;;;;;;;;;;
Total;974,161;1,188,640;451,357;570,330;529,348;1,289,266;1,133,278;447,783;315,913;527,596
Age ;;;;;;;;;;
    18 - 29;182,556;176,321;100,519;163,999;164,036;217,327;186,674;161,950;57,443;164,036
    30 - 39;163,503;264,122;138,822;101,651;58,195;233,862;280,216;76,214;77,449;58,553
    40 - 49;99,986;326,207;93,025;163,005;64,778;167,146;321,737;125,240;68,100;64,778
    50 - 59;181,918;150,347;71,530;89,711;74,085;233,550;137,578;50,367;74,145;71,951
    60 - 69;199,668;154,673;27,849;41,753;123,852;243,325;126,028;24,718;30,971;122,753
    70 - 79;107,798;101,786;19,583;9,278;23,359;148,345;72,547;9,023;7,406;24,483
    80 and above;38,733;15,184;30;933;21,042;45,711;8,499;271;399;21,042
Sex ;;;;;;;;;;
    Male;603,664;576,817;230,763;235,849;174,814;738,493;559,544;243,148;105,907;174,814
    Female;370,498;611,823;220,594;334,481;354,534;550,772;573,733;204,636;210,006;352,782
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);195,637;152,289;138,372;210,373;139,581;216,182;225,635;146,209;108,644;139,581
    White alone, not Hispanic;428,381;564,096;149,943;171,234;146,814;674,149;430,288;103,357;107,969;144,705
    Black alone, not Hispanic;119,500;51,603;33,473;32,518;43,478;127,905;58,986;31,346;18,857;43,478
    Asian alone, not Hispanic;203,101;250,796;104,078;71,838;161,496;232,526;244,325;88,693;63,911;161,854
    Two or more races + Other races, not Hispanic;27,543;169,856;25,492;84,367;37,978;38,503;174,044;78,178;16,532;37,978
Education ;;;;;;;;;;
    Less than high school;69,648;87,003;78,605;136,430;198,881;89,190;143,490;85,000;54,007;198,881
    High school or GED;257,421;297,240;56,955;50,365;72,826;261,720;308,140;39,605;52,516;72,826
    Some college/associate’s degree;252,211;207,530;134,831;173,999;143,750;292,897;230,201;157,293;87,605;144,324
    Bachelor’s degree or higher;394,882;596,867;180,965;209,536;113,890;645,459;451,447;165,885;121,785;111,564
Marital status ;;;;;;;;;;
    Married;538,023;684,521;220,286;186,662;143,898;735,952;621,778;181,646;91,676;142,339
    Widowed;31,577;22,486;2,391;7,124;11,280;45,696;11,109;2,399;4,924;10,731
    Divorced/separated;86,402;114,485;75,636;45,815;71,140;125,076;129,998;31,442;35,823;71,140
    Never married;314,717;363,700;150,094;330,728;296,791;378,315;364,780;232,297;183,490;297,149
    Did not report;3,441;3,447;2,951;-;6,238;4,227;5,612;-;-;6,238
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;373,791;499,091;139,358;119,580;234,785;449,880;503,725;75,435;102,779;234,785
    No children;600,370;689,549;311,999;450,750;294,563;839,385;629,553;372,348;213,134;292,811
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;415,400;448,279;252,952;404,080;261,946;507,897;499,493;321,809;192,063;261,396
    No;558,761;740,361;198,405;166,250;256,898;781,369;633,785;125,975;123,850;255,697
    Did not report;-;-;-;-;10,503;-;-;-;-;10,503
Respondent currently employed ;;;;;;;;;;
    Yes;487,298;616,205;289,287;350,010;216,664;703,529;595,215;318,434;125,790;216,496
    No;486,863;572,081;162,070;220,320;302,468;585,737;537,709;129,349;190,123;300,884
    Did not report;-;354;-;-;10,216;-;354;-;-;10,216
Household income ;;;;;;;;;;
    Less than $25,000;74,590;84,384;52,238;107,539;7,207;105,248;77,778;35,683;100,042;7,207
    $25,000 - $34,999;141,034;46,121;54,630;105,293;-;128,525;101,325;90,342;26,311;574
    $35,000 - $49,999;44,290;43,884;29,977;24,280;-;43,703;48,734;31,019;18,975;-
    $50,000 - $74,999;52,548;223,927;27,708;24,884;407;96,628;190,100;23,619;18,721;407
    $75,000 - $99,999;80,109;89,448;74,497;99,260;-;105,396;127,670;78,693;31,555;-
    $100,000 - $149,999;131,175;181,153;47,567;61,623;3,233;162,549;163,986;57,861;39,805;550
    $150,000 - $199,999;114,029;122,668;46,526;84,408;-;145,483;129,455;55,094;37,599;-
    $200,000 and above;246,445;338,897;83,852;46,463;-;383,091;253,429;56,347;22,789;-
    Did not report;89,941;58,159;34,362;16,580;518,501;118,642;40,800;19,126;20,116;518,858
