Standard Error Health Table 2a. Symptoms of Anxiety Experienced in the Last 7 days, by Select Characteristics: Seattle-Tacoma-Bellevue, WA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 6.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying
;Not at all;Several days;More than half the days;Nearly everyday;Did not report;Not at all;Several days;More than half the days;Nearly everyday;Did not report
;;;;;;;;;;
Total;82,881;87,176;47,263;62,032;46,803;87,010;73,522;37,435;66,876;46,832
Age ;;;;;;;;;;
    18 - 29;60,765;29,248;33,436;36,441;34,170;40,205;60,060;18,501;44,345;34,170
    30 - 39;33,140;50,988;25,771;32,283;8,108;45,231;42,014;19,727;38,276;8,108
    40 - 49;30,873;38,354;15,293;20,561;19,663;32,015;39,423;13,052;19,552;19,583
    50 - 59;33,253;32,720;27,053;24,204;6,605;41,027;20,955;27,330;21,874;6,655
    60 - 69;30,153;30,578;10,571;7,938;4,928;32,496;29,541;8,346;6,433;4,928
    70 - 79;13,025;27,383;7,889;4,300;8,116;25,004;17,183;1,443;3,996;8,116
    80 and above;31,492;2,157;-;-;6,920;31,376;1,892;-;685;6,909
Sex ;;;;;;;;;;
    Male;77,090;66,004;38,508;52,980;32,883;83,742;51,342;23,676;59,923;32,913
    Female;42,407;63,908;37,637;31,024;31,608;55,771;45,980;31,966;25,729;31,603
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);35,848;36,485;17,126;39,760;31,258;36,470;27,806;8,908;38,852;31,258
    White alone, not Hispanic;81,473;59,974;37,298;40,747;30,986;70,106;65,603;33,772;35,365;30,922
    Black alone, not Hispanic;20,246;16,790;10,033;13,363;4,740;23,164;15,519;8,164;13,011;4,740
    Asian alone, not Hispanic;25,786;33,129;35,383;20,772;10,132;27,070;26,693;15,639;37,771;10,132
    Two or more races + Other races, not Hispanic;8,495;35,038;10,153;14,707;3,747;33,605;15,535;7,193;11,270;3,747
Education ;;;;;;;;;;
    Less than high school;29,057;7,188;15,646;4,123;16,403;29,640;13,222;10,525;2,849;16,403
    High school or GED;79,813;72,548;12,592;40,156;33,361;67,212;73,647;8,446;37,233;33,361
    Some college/associate’s degree;43,139;39,883;31,680;45,513;9,177;40,670;43,009;18,584;47,593;9,250
    Bachelor’s degree or higher;32,753;45,873;35,763;26,476;14,216;36,384;35,528;33,140;34,622;14,277
Marital status ;;;;;;;;;;
    Married;61,105;63,674;31,114;43,776;22,233;65,706;51,151;29,625;38,014;22,320
    Widowed;22,699;22,162;2,830;5,725;8,508;31,522;7,551;4,602;1,916;8,508
    Divorced/separated;24,212;20,530;13,936;15,921;3,903;26,727;16,103;12,334;15,862;3,903
    Never married;66,302;61,902;38,549;38,338;34,941;58,286;58,075;26,323;46,563;34,941
    Did not report;-;5,953;-;-;1,629;-;5,953;-;-;1,629
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;26,744;57,312;21,427;43,795;25,359;44,579;49,530;14,643;33,360;25,342
    No children;89,558;68,860;46,315;53,799;35,853;80,059;72,771;39,033;57,000;35,901
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;78,187;73,729;47,268;66,221;31,100;51,242;65,752;32,169;69,256;31,140
    No;74,675;57,143;21,448;39,507;26,295;81,010;47,135;24,419;24,307;26,449
    Did not report;5,028;-;-;164;1,271;5,028;-;-;164;1,271
Respondent currently employed ;;;;;;;;;;
    Yes;67,287;62,115;40,807;54,240;21,970;75,269;52,724;35,420;54,367;21,990
    No;80,129;58,073;26,771;44,290;36,308;57,730;71,886;16,638;50,045;36,356
    Did not report;-;-;-;-;1,814;-;-;-;-;1,814
Household income ;;;;;;;;;;
    Less than $25,000;19,861;25,577;6,725;16,702;-;19,653;28,122;7,702;15,682;683
    $25,000 - $34,999;76,384;12,935;15,930;10,556;-;14,401;74,675;7,254;7,948;-
    $35,000 - $49,999;29,263;35,309;12,762;32,737;457;38,256;26,649;14,648;32,233;-
    $50,000 - $74,999;38,341;31,056;34,560;19,409;-;44,970;22,895;9,179;37,485;-
    $75,000 - $99,999;30,679;44,396;8,780;33,784;-;33,839;41,155;10,548;31,200;-
    $100,000 - $149,999;25,848;43,728;29,122;28,461;-;41,191;36,730;29,855;20,245;805
    $150,000 - $199,999;51,205;22,611;16,829;20,713;-;54,507;24,661;16,832;14,097;-
    $200,000 and above;23,995;25,442;9,435;12,380;-;28,667;17,271;9,356;10,567;-
    Did not report;8,767;8,320;15,247;3,576;46,824;8,048;17,552;8,426;3,069;46,824
