Health Table 2b. Symptoms of Depression Experienced in the Last 7 Days, by Select Characteristics: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 1.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless
;Not at all;Several days;More than half the days;Nearly everyday;Did not respond;Not at all;Several days;More than half the days;Nearly everyday;Did not respond
;;;;;;;;;;
Age ;;;;;;;;;;
    18 - 29;558,468;950,674;373,448;380,618;265,631;973,267;542,782;441,591;305,569;265,631
    30 - 39;953,412;764,369;384,009;196,594;156,248;973,370;823,868;280,648;211,674;165,071
    40 - 49;675,508;578,558;227,770;116,400;185,457;749,028;484,646;197,305;144,526;208,188
    50 - 59;821,200;598,355;139,529;160,911;160,335;804,413;646,811;89,261;191,106;148,739
    60 - 69;591,419;429,720;127,295;112,446;93,962;603,213;480,548;90,256;86,864;93,962
    70 - 79;297,730;197,982;20,120;51,798;66,653;346,802;184,862;15,425;17,649;69,545
    80 and above;180,885;30,122;204,231;7,304;6,013;203,385;219,157;-;-;6,013
Sex ;;;;;;;;;;
    Male;2,024,258;1,848,406;671,739;481,329;372,547;2,428,157;1,678,142;611,157;311,049;369,774
    Female;2,054,365;1,701,374;804,663;544,742;561,753;2,225,320;1,704,532;503,328;646,340;587,376
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);1,269,633;1,500,492;906,739;432,242;504,778;1,681,716;1,411,485;568,904;415,448;536,333
    White alone, not Hispanic;1,440,514;913,593;290,738;338,033;184,506;1,355,029;1,103,988;179,612;341,357;187,398
    Black alone, not Hispanic;335,226;167,886;35,164;121,538;67,007;385,703;133,345;77,089;75,274;55,411
    Asian alone, not Hispanic;887,330;831,533;194,489;86,643;169,551;1,068,491;600,500;232,459;98,544;169,551
    Two or more races + Other races, not Hispanic;145,918;136,276;49,272;47,615;8,458;162,538;133,356;56,421;26,766;8,458
Education ;;;;;;;;;;
    Less than high school;710,265;471,551;311,778;115,879;127,610;720,447;560,096;141,850;152,714;161,977
    High school or GED;859,580;758,157;342,103;316,109;270,829;967,762;817,113;219,774;282,937;259,193
    Some college/associate’s degree;1,086,815;1,037,886;432,653;364,343;336,770;1,386,392;862,034;404,599;277,378;328,066
    Bachelor’s degree or higher;1,421,962;1,282,186;389,867;229,739;199,091;1,578,876;1,143,431;348,263;244,361;207,914
Marital status ;;;;;;;;;;
    Married;2,118,328;1,693,461;839,877;333,245;412,782;2,295,209;1,863,144;406,474;376,894;455,973
    Widowed;89,881;62,126;9,937;51,032;28,503;99,573;60,679;-;49,832;31,395
    Divorced/separated;722,549;464,671;103,127;125,869;146,016;706,620;429,494;168,030;123,668;134,420
    Never married;1,086,360;1,320,266;523,461;482,377;313,681;1,489,285;990,932;539,981;403,903;302,045
    Did not report;61,505;9,256;-;33,548;33,317;62,791;38,426;-;3,092;33,317
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;1,857,966;1,609,769;541,547;429,218;421,633;2,140,277;1,424,747;474,424;379,092;441,592
    No children;2,220,657;1,940,011;934,855;596,853;512,666;2,513,200;1,957,927;640,061;578,296;515,558
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;1,928,152;2,441,383;903,059;575,471;580,678;2,146,273;2,276,268;817,648;596,742;591,813
    No;2,141,365;1,107,097;573,343;450,599;297,953;2,496,799;1,106,407;296,837;360,647;309,668
    Did not report;9,105;1,300;-;-;55,668;10,405;-;-;-;55,668
Respondent currently employed ;;;;;;;;;;
    Yes;2,442,537;1,811,823;908,539;481,745;366,823;2,824,531;1,739,015;573,885;509,987;364,050
    No;1,629,398;1,731,521;567,863;544,326;511,809;1,815,823;1,643,660;540,600;447,402;537,432
    Did not report;6,687;6,436;-;-;55,668;13,123;-;-;-;55,668
Household income ;;;;;;;;;;
    Less than $25,000;610,472;512,272;339,927;200,256;23,232;685,056;603,144;223,475;174,484;-
    $25,000 - $34,999;374,645;401,102;203,194;153,072;-;464,414;303,371;147,974;216,252;-
    $35,000 - $49,999;339,726;383,576;166,512;256,173;-;375,196;532,930;51,814;186,046;-
    $50,000 - $74,999;729,305;660,573;211,597;143,912;-;886,008;532,442;135,533;188,511;2,892
    $75,000 - $99,999;482,445;277,954;299,932;127,695;28,375;494,864;366,523;256,982;69,657;28,375
    $100,000 - $149,999;473,621;576,578;111,607;48,085;-;542,549;548,413;78,569;40,359;-
    $150,000 - $199,999;336,895;333,814;61,868;65,014;-;490,076;178,310;61,506;67,699;-
    $200,000 and above;599,215;200,929;42,983;30,564;-;554,088;256,988;43,273;10,519;8,823
    Did not report;132,301;202,982;38,781;1,300;882,692;161,226;60,552;115,358;3,862;917,060
