Health Table 2b. Symptoms of Depression Experienced in the Last 7 Days, by Select Characteristics: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 3.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless
;Not at all;Several days;More than half the days;Nearly everyday;Did not respond;Not at all;Several days;More than half the days;Nearly everyday;Did not respond
;;;;;;;;;;
Age ;;;;;;;;;;
    18 - 29;224,195;155,522;200,233;43,433;136,945;206,541;224,129;139,553;53,158;136,945
    30 - 39;178,478;281,734;112,544;81,482;91,674;191,143;277,189;101,745;84,614;91,221
    40 - 49;169,017;191,826;83,400;68,723;88,066;209,034;185,648;56,348;71,219;78,783
    50 - 59;429,144;251,959;100,298;123,671;63,730;406,528;207,886;188,436;102,221;63,730
    60 - 69;245,078;251,483;125,820;40,189;33,391;286,117;304,419;29,106;46,454;29,866
    70 - 79;160,485;69,283;16,319;3,525;15,797;134,185;104,926;10,117;385;15,797
    80 and above;58,411;11,981;1,325;342;3,187;63,710;7,873;135;342;3,187
Sex ;;;;;;;;;;
    Male;762,184;653,050;265,502;207,297;239,193;790,248;575,913;320,807;201,065;239,193
    Female;702,624;560,738;374,437;154,068;193,597;707,009;736,158;204,633;157,330;180,336
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);635,475;534,721;475,841;57,316;269,747;557,505;759,925;326,319;59,729;269,620
    White alone, not Hispanic;561,784;499,887;66,835;152,036;77,024;651,973;343,093;133,125;152,480;76,897
    Black alone, not Hispanic;151,759;82,817;70,462;93,943;23,292;172,970;86,158;42,774;97,080;23,292
    Asian alone, not Hispanic;61,592;82,681;8,733;24,746;47,080;65,993;103,169;21,160;438;34,073
    Two or more races + Other races, not Hispanic;54,198;13,683;18,068;33,325;15,646;48,817;19,727;2,062;48,668;15,646
Education ;;;;;;;;;;
    Less than high school;238,595;180,527;104,293;64,024;138,659;230,192;281,394;19,257;56,594;138,659
    High school or GED;329,300;361,654;332,617;96,409;93,869;414,874;296,630;320,107;92,094;90,144
    Some college/associate’s degree;521,884;428,926;90,980;162,124;167,239;538,037;427,206;95,385;152,896;157,630
    Bachelor’s degree or higher;375,029;242,682;112,050;38,808;33,023;314,154;306,841;90,690;56,810;33,096
Marital status ;;;;;;;;;;
    Married;933,907;597,987;219,009;107,610;212,447;946,512;623,560;203,924;97,325;199,639
    Widowed;75,241;92,449;84,718;32,307;6,546;156,821;101,569;4,837;21,486;6,546
    Divorced/separated;242,014;132,692;68,162;137,263;63,095;194,404;135,733;126,760;123,362;62,969
    Never married;210,759;379,069;267,949;83,370;143,723;196,534;439,615;189,919;115,407;143,397
    Did not report;2,887;11,592;101;815;6,978;2,986;11,594;-;815;6,978
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;633,331;531,309;348,530;230,647;260,485;621,936;738,515;165,341;227,761;250,749
    No children;831,477;682,479;291,409;130,718;172,305;875,321;573,555;360,099;130,633;168,779
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;720,532;827,427;404,124;269,812;264,677;668,144;881,376;429,782;252,130;255,140
    No;744,276;380,726;235,815;91,553;162,564;829,113;425,060;95,658;106,264;158,839
    Did not report;-;5,635;-;-;5,550;-;5,635;-;-;5,550
Respondent currently employed ;;;;;;;;;;
    Yes;913,874;561,582;202,589;117,927;224,964;890,092;583,822;207,242;118,666;221,113
    No;550,934;646,571;437,350;243,438;201,383;607,166;722,613;318,197;239,728;191,972
    Did not report;-;5,635;-;-;6,443;-;5,635;-;-;6,443
Household income ;;;;;;;;;;
    Less than $25,000;192,249;144,154;88,712;135,618;327;201,565;163,930;62,840;132,725;-
    $25,000 - $34,999;197,853;123,324;86,857;26,394;-;154,832;164,673;76,513;38,410;-
    $35,000 - $49,999;184,561;181,037;132,823;25,068;-;260,049;199,213;25,954;38,274;-
    $50,000 - $74,999;256,732;271,504;33,419;83,728;126;247,664;306,747;13,644;77,455;-
    $75,000 - $99,999;199,945;226,049;153,264;25,783;-;201,724;173,288;202,166;27,864;-
    $100,000 - $149,999;211,747;162,612;56,729;11,541;3,725;194,463;183,580;55,391;12,720;199
    $150,000 - $199,999;104,435;48,097;72,598;7,775;-;115,007;46,461;68,177;3,258;-
    $200,000 and above;57,759;17,204;8,407;23,466;-;52,976;22,147;5,312;26,401;-
    Did not report;59,526;39,806;7,132;21,992;428,612;68,976;52,032;15,442;1,289;419,329
