Health Table 2b. Symptoms of Depression Experienced in the Last 7 Days, by Select Characteristics: San Francisco-Oakland-Berkeley, CA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 1.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless
;Not at all;Several days;More than half the days;Nearly everyday;Did not respond;Not at all;Several days;More than half the days;Nearly everyday;Did not respond
;;;;;;;;;;
Age ;;;;;;;;;;
    18 - 29;289,127;172,366;51,700;91,164;95,672;342,597;159,506;44,491;57,763;95,672
    30 - 39;295,211;265,318;71,683;58,622;38,237;372,250;175,766;82,932;59,886;38,237
    40 - 49;203,718;199,766;46,285;25,331;41,388;213,360;190,281;46,096;20,677;46,076
    50 - 59;256,620;229,574;41,354;20,102;44,525;298,284;196,955;33,530;18,881;44,525
    60 - 69;235,031;198,132;43,136;15,014;42,988;222,404;210,391;47,407;10,012;44,086
    70 - 79;170,523;97,703;3,993;4,302;18,565;182,911;87,196;4,588;3,847;16,543
    80 and above;40,738;13,395;4,347;1,459;3,970;42,108;14,881;3,482;-;3,438
Sex ;;;;;;;;;;
    Male;773,898;632,507;140,140;90,831;141,475;900,733;550,374;105,354;76,759;145,631
    Female;717,071;543,748;122,358;125,163;143,869;773,182;484,602;157,173;94,307;142,945
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);194,375;190,344;59,350;29,058;82,571;269,009;111,796;60,938;25,820;88,136
    White alone, not Hispanic;797,753;484,227;94,286;116,783;77,669;740,665;560,274;108,803;85,642;75,335
    Black alone, not Hispanic;98,083;38,115;36,445;25,277;27,731;105,465;47,089;20,089;25,277;27,731
    Asian alone, not Hispanic;315,223;362,391;62,744;21,588;47,399;408,551;263,863;64,785;24,747;47,399
    Two or more races + Other races, not Hispanic;85,535;101,178;9,673;23,288;49,975;150,225;51,955;7,912;9,581;49,975
Education ;;;;;;;;;;
    Less than high school;5,153;69,447;-;18,237;33,292;11,728;62,871;-;18,237;33,292
    High school or GED;156,778;164,498;55,463;34,757;61,692;238,107;120,774;33,708;18,906;61,692
    Some college/associate’s degree;492,141;275,319;71,707;64,450;83,264;495,289;263,704;77,882;62,100;87,905
    Bachelor’s degree or higher;836,898;666,991;135,328;98,550;107,096;928,791;587,626;150,937;71,823;105,687
Marital status ;;;;;;;;;;
    Married;866,050;610,358;107,865;78,395;126,824;933,841;526,323;132,797;65,944;130,587
    Widowed;48,076;39,897;17,813;2,973;9,162;48,721;30,674;26,485;3,409;8,631
    Divorced/separated;104,627;125,295;27,049;15,517;27,217;134,337;100,906;26,817;10,429;27,217
    Never married;463,757;375,633;109,770;118,666;108,685;542,843;357,269;76,429;91,285;108,685
    Did not report;8,460;25,072;-;443;13,457;14,171;19,803;-;-;13,457
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;442,848;439,122;99,332;71,508;99,170;576,080;338,718;73,547;58,900;104,736
    No children;1,048,121;737,133;163,166;144,485;186,174;1,097,835;696,257;188,980;112,166;183,841
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;624,809;577,656;148,990;131,643;97,703;672,990;564,708;144,273;100,906;97,924
    No;864,188;598,144;113,508;84,350;173,180;998,952;469,813;118,254;70,160;176,192
    Did not report;1,972;455;-;-;14,461;1,972;455;-;-;14,461
Respondent currently employed ;;;;;;;;;;
    Yes;917,535;781,962;132,517;117,954;129,106;1,049,522;650,360;163,338;82,061;133,794
    No;573,433;393,187;129,981;98,039;141,777;624,393;383,510;99,189;89,005;140,322
    Did not report;-;1,106;-;-;14,461;-;1,106;-;-;14,461
Household income ;;;;;;;;;;
    Less than $25,000;105,080;52,334;35,874;20,117;-;75,829;93,204;31,374;12,997;-
    $25,000 - $34,999;55,570;79,148;15,390;24,384;-;71,282;59,812;19,710;23,689;-
    $35,000 - $49,999;79,683;94,138;24,399;28,634;-;129,853;64,168;21,365;11,469;-
    $50,000 - $74,999;132,998;189,086;14,775;18,694;-;167,258;146,881;28,822;11,494;1,098
    $75,000 - $99,999;196,346;79,337;32,995;11,786;-;209,011;76,369;22,906;12,179;-
    $100,000 - $149,999;282,021;261,916;46,105;30,169;532;344,873;201,716;32,062;42,091;-
    $150,000 - $199,999;151,816;136,611;23,355;22,495;-;157,711;138,625;22,819;15,123;-
    $200,000 and above;431,390;250,773;52,293;54,990;878;451,686;223,909;68,023;41,139;5,565
    Did not report;56,065;32,911;17,313;4,724;283,936;66,411;30,293;15,446;885;281,913
