Health Table 2b. Symptoms of Depression Experienced in the Last 7 Days, by Select Characteristics: Seattle-Tacoma-Bellevue, WA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 3.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless
;Not at all;Several days;More than half the days;Nearly everyday;Did not respond;Not at all;Several days;More than half the days;Nearly everyday;Did not respond
;;;;;;;;;;
Age ;;;;;;;;;;
    18 - 29;184,779;80,347;89,217;110,019;102,819;181,566;111,396;60,072;111,329;102,819
    30 - 39;223,967;336,964;72,524;69,850;26,619;284,277;257,354;75,613;85,975;26,706
    40 - 49;154,648;163,910;64,135;38,703;30,118;177,884;151,632;53,616;38,264;30,118
    50 - 59;276,049;138,826;24,670;22,358;29,682;263,196;155,709;30,567;13,574;28,539
    60 - 69;258,722;150,872;47,379;11,172;17,524;247,849;154,987;52,848;11,923;18,062
    70 - 79;211,332;62,842;15,397;431;18,141;195,114;79,635;14,565;688;18,141
    80 and above;56,150;3,779;550;52;3,756;54,467;6,011;-;52;3,756
Sex ;;;;;;;;;;
    Male;725,336;449,324;198,001;144,487;119,893;788,138;435,705;145,237;149,154;118,806
    Female;640,312;488,216;115,870;108,097;108,767;616,215;481,019;142,043;112,650;109,334
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);83,457;131,543;51,712;34,823;42,736;102,776;123,032;47,932;28,881;41,650
    White alone, not Hispanic;945,261;541,043;158,023;193,631;134,718;988,132;524,627;152,745;171,887;135,286
    Black alone, not Hispanic;66,326;75,419;34,832;3,393;10,405;62,028;94,263;17,726;5,953;10,405
    Asian alone, not Hispanic;191,038;126,029;31,334;11,540;26,898;165,427;126,927;53,836;13,751;26,898
    Two or more races + Other races, not Hispanic;79,567;63,505;37,970;9,197;13,902;85,990;47,876;15,042;41,332;13,902
Education ;;;;;;;;;;
    Less than high school;73,913;60,383;35,985;9,758;30,407;54,976;77,137;4,549;43,376;30,407
    High school or GED;261,407;175,601;27,509;72,997;77,141;251,863;183,340;34,706;68,548;76,198
    Some college/associate’s degree;431,829;277,977;155,090;76,941;87,379;458,969;242,637;161,093;78,668;87,849
    Bachelor’s degree or higher;598,499;423,579;95,288;92,888;33,732;638,544;413,611;86,933;71,212;33,687
Marital status ;;;;;;;;;;
    Married;848,589;567,762;136,888;55,970;79,575;903,329;536,727;112,403;56,719;79,605
    Widowed;42,486;19,303;6,248;4,273;6,269;45,541;18,953;6,079;1,738;6,269
    Divorced/separated;183,823;112,138;52,408;16,471;23,219;169,203;133,329;44,803;16,967;23,756
    Never married;284,844;233,524;118,327;175,716;109,865;280,276;222,844;123,996;185,293;109,865
    Did not report;5,907;4,814;-;154;9,732;6,004;4,871;-;1,087;8,645
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;401,850;286,147;88,704;43,621;100,227;398,790;282,663;100,217;38,151;100,727
    No children;963,798;651,393;225,167;208,963;128,433;1,005,563;634,062;187,063;223,653;127,413
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;522,805;451,098;174,945;120,328;109,759;490,366;477,713;172,278;129,513;109,066
    No;842,761;486,299;138,875;132,255;116,739;913,906;439,011;114,951;132,291;116,769
    Did not report;81;143;52;-;2,161;81;-;52;-;2,305
Respondent currently employed ;;;;;;;;;;
    Yes;767,398;532,607;190,268;141,877;137,864;848,209;498,352;172,124;113,511;137,819
    No;598,250;404,516;123,604;110,707;87,059;556,144;418,099;115,157;147,206;87,529
    Did not report;-;417;-;-;3,736;-;273;-;1,087;2,793
Household income ;;;;;;;;;;
    Less than $25,000;68,112;45,611;39,814;19,498;-;67,548;37,403;16,653;51,431;-
    $25,000 - $34,999;50,480;54,173;48,043;57,165;2,227;34,304;59,730;57,329;58,355;2,371
    $35,000 - $49,999;36,897;131,833;27,061;23,831;-;38,543;140,989;17,094;22,996;-
    $50,000 - $74,999;312,838;155,715;21,125;17,173;76;329,099;127,488;30,729;19,612;-
    $75,000 - $99,999;158,621;103,216;66,322;56,107;-;177,736;92,827;54,054;59,650;-
    $100,000 - $149,999;347,611;139,882;43,384;43,458;205;344,822;160,891;51,101;17,522;205
    $150,000 - $199,999;132,989;82,842;11,100;12,281;2,264;124,030;85,216;22,458;7,419;2,351
    $200,000 and above;234,762;193,592;44,998;18,498;418;253,897;193,375;27,084;17,552;361
    Did not report;23,337;30,676;12,024;4,573;223,469;34,374;18,806;10,779;7,268;222,853
