Health Table 3. Current Health Insurance Status, by Select Characteristics: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 1.;;;;;
Total Population 18 Years and Older;;;;;
Select characteristics;Insured *;Insured *;Insured *;Uninsured;Did not report or don’t know
;Total;Private;Public;;
;;;;;
Age ;;;;;
    18 - 24;816,508;611,731;274,149;70,041;142,606
    25 - 34;1,914,377;1,434,926;710,195;553,879;241,543
    35 - 44;1,871,771;1,452,696;589,100;113,117;177,349
    45 - 64;2,594,101;2,244,900;688,820;369,305;318,315
    65 and over;1,788,979;985,212;1,524,960;9,304;83,980
Sex ;;;;;
    Male;4,259,397;3,304,220;1,768,640;736,572;402,310
    Female;4,726,339;3,425,245;2,018,582;379,074;561,483
Hispanic origin and Race ;;;;;
    Hispanic or Latino (may be of any race);3,369,587;2,238,813;1,497,583;691,854;552,445
    White alone, not Hispanic;2,880,808;2,238,777;1,100,389;95,419;191,156
    Black alone, not Hispanic;562,023;485,037;333,777;108,790;56,009
    Asian alone, not Hispanic;1,826,297;1,561,847;676,158;187,524;155,725
    Two or more races + Other races, not Hispanic;347,021;204,990;179,315;32,059;8,458
Education ;;;;;
    Less than high school;1,211,661;461,449;1,021,462;397,813;127,610
    High school or GED;1,961,384;1,447,022;977,764;319,560;265,835
    Some college/associate’s degree;2,594,133;1,990,695;1,016,325;303,404;360,931
    Bachelor’s degree or higher;3,218,559;2,830,298;771,672;94,869;209,416
Marital status ;;;;;
    Married;4,479,591;3,659,449;1,693,632;481,917;436,186
    Widowed;208,090;174,743;137,999;-;33,389
    Divorced/separated;1,379,275;690,204;850,279;61,238;121,718
    Never married;2,814,471;2,105,627;1,090,944;572,491;339,183
    Did not report;104,309;99,442;14,368;-;33,317
Presence of children under 18 years old ;;;;;
    Children in household;3,805,272;2,964,654;1,554,057;637,561;417,300
    No children;5,180,465;3,764,810;2,233,166;478,085;546,492
Respondent or household member experienced loss of employment income ;;;;;
    Yes;5,046,157;3,712,840;2,164,509;788,750;593,837
    No;3,929,175;3,006,220;1,613,661;326,896;314,287
    Did not report;10,405;10,405;9,052;-;55,668
Respondent currently employed ;;;;;
    Yes;5,140,099;4,225,598;1,541,916;494,087;377,282
    No;3,839,202;2,497,430;2,245,307;621,559;524,155
    Did not report;6,436;6,436;-;-;62,356
Household income ;;;;;
    Less than $25,000;1,410,898;599,026;1,128,299;238,563;36,700
    $25,000 - $34,999;952,689;693,143;505,816;174,437;4,886
    $35,000 - $49,999;860,899;574,413;415,213;278,008;7,080
    $50,000 - $74,999;1,518,975;1,166,539;589,033;226,412;-
    $75,000 - $99,999;1,136,170;1,009,899;351,473;80,231;-
    $100,000 - $149,999;1,165,576;982,364;303,474;41,174;3,140
    $150,000 - $199,999;729,429;676,992;106,993;68,000;161
    $200,000 and above;866,728;832,938;206,087;6,963;-
    Did not report;344,372;194,152;180,835;1,858;911,826
* Totals may not sum to 100% as the question allowed for multiple categories to be marked.;;;;;
