Health Table 3. Current Health Insurance Status, by Select Characteristics: Oregon;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 1.;;;;;
Total Population 18 Years and Older;;;;;
Select characteristics;Insured *;Insured *;Insured *;Uninsured;Did not report or don’t know
;Total;Private;Public;;
;;;;;
Age ;;;;;
    18 - 24;165,590;148,544;34,880;9,495;8,303
    25 - 34;547,884;402,689;202,144;87,046;73,347
    35 - 44;546,416;484,241;115,442;44,511;26,109
    45 - 64;867,707;758,444;223,852;65,447;91,501
    65 and over;709,344;447,550;624,996;3,991;56,038
Sex ;;;;;
    Male;1,391,429;1,133,595;540,755;138,453;84,265
    Female;1,445,512;1,107,873;660,559;72,037;171,032
Hispanic origin and Race ;;;;;
    Hispanic or Latino (may be of any race);281,731;211,889;97,952;65,714;31,476
    White alone, not Hispanic;2,223,992;1,743,204;997,531;132,237;207,330
    Black alone, not Hispanic;47,083;35,169;12,891;744;4,390
    Asian alone, not Hispanic;107,988;100,613;25,843;2,591;6,513
    Two or more races + Other races, not Hispanic;176,147;150,593;67,097;9,204;5,589
Education ;;;;;
    Less than high school;82,409;43,479;52,614;8,508;12,087
    High school or GED;783,150;652,707;308,850;99,896;103,935
    Some college/associate’s degree;1,012,127;746,772;514,881;73,183;82,572
    Bachelor’s degree or higher;959,255;798,510;324,969;28,903;56,702
Marital status ;;;;;
    Married;1,585,038;1,382,292;573,325;71,433;118,358
    Widowed;155,710;84,838;134,071;2,248;7,912
    Divorced/separated;416,019;265,958;248,796;42,408;41,265
    Never married;672,147;502,182;239,560;94,401;77,685
    Did not report;8,027;6,197;5,562;-;10,076
Presence of children under 18 years old ;;;;;
    Children in household;941,761;785,943;293,079;64,431;91,218
    No children;1,895,180;1,455,524;908,235;146,058;164,079
Respondent or household member experienced loss of employment income ;;;;;
    Yes;1,264,246;1,005,402;480,232;151,842;107,641
    No;1,571,192;1,236,065;719,579;58,648;137,123
    Did not report;1,503;-;1,503;-;10,533
Respondent currently employed ;;;;;
    Yes;1,496,052;1,346,131;342,595;140,195;118,291
    No;1,338,672;893,864;857,975;70,294;126,473
    Did not report;2,217;1,473;744;-;10,533
Household income ;;;;;
    Less than $25,000;349,525;123,367;274,356;69,152;9,369
    $25,000 - $34,999;270,644;217,694;136,158;25,705;-
    $35,000 - $49,999;286,145;200,497;161,369;27,141;2,646
    $50,000 - $74,999;642,649;559,713;231,431;44,430;3,197
    $75,000 - $99,999;472,136;378,345;197,085;25,496;-
    $100,000 - $149,999;418,567;387,014;115,682;5,829;-
    $150,000 - $199,999;152,827;148,037;25,019;1,017;-
    $200,000 and above;167,175;161,972;18,979;5,145;-
    Did not report;77,273;64,827;41,234;6,575;240,084
* Totals may not sum to 100% as the question allowed for multiple categories to be marked.;;;;;
