Standard Error Health Table 3. Current Health Insurance Status, by Select Characteristics: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 6.;;;;;
Total Population 18 Years and Older;;;;;
Select characteristics;Insured;Insured;Insured;Uninsured;Did not report or don’t know
;Total;Private;Public;;
;;;;;
Total;213,673;197,742;138,084;156,580;120,312
Age ;;;;;
    18 - 24;153,015;146,606;67,234;24,498;64,704
    25 - 34;69,345;68,603;33,091;40,883;36,224
    35 - 44;78,905;70,222;59,896;94,151;78,328
    45 - 64;118,942;87,991;70,938;78,765;34,813
    65 and over;109,103;70,593;106,515;63,359;18,750
Sex ;;;;;
    Male;215,233;198,259;101,457;101,922;112,561
    Female;132,944;82,209;117,816;107,559;36,060
Hispanic origin and Race ;;;;;
    Hispanic or Latino (may be of any race);180,441;165,224;124,970;123,792;113,697
    White alone, not Hispanic;150,443;136,647;54,705;67,394;40,966
    Black alone, not Hispanic;66,501;56,681;42,658;26,788;14,647
    Asian alone, not Hispanic;47,902;40,565;28,807;16,792;27,620
    Two or more races + Other races, not Hispanic;55,018;22,553;44,022;24,493;23,306
Education ;;;;;
    Less than high school;115,614;96,780;79,931;51,196;89,106
    High school or GED;178,376;163,512;116,476;139,908;63,030
    Some college/associate’s degree;65,185;58,881;47,525;30,678;40,436
    Bachelor’s degree or higher;76,848;75,180;30,663;13,180;9,932
Marital status ;;;;;
    Married;144,006;125,582;95,394;95,408;86,017
    Widowed;38,261;18,805;37,207;63,359;1,699
    Divorced/separated;66,728;43,129;55,472;81,465;16,055
    Never married;173,195;159,721;86,929;42,236;81,475
    Did not report;15,144;15,144;13,455;1,637;9,114
Presence of children under 18 years old ;;;;;
    Children in household;144,713;132,074;111,814;106,782;98,654
    No children;186,202;168,981;82,669;105,578;67,528
Respondent or household member experienced loss of employment income ;;;;;
    Yes;161,403;145,703;102,156;151,833;101,386
    No;146,013;136,463;108,164;24,235;55,639
    Did not report;1,058;1,058;-;-;7,580
Respondent currently employed ;;;;;
    Yes;171,709;151,332;77,309;75,063;85,610
    No;183,476;147,908;147,755;131,874;78,737
    Did not report;1,058;1,058;-;-;8,454
Household income ;;;;;
    Less than $25,000;75,912;16,676;73,174;42,741;556
    $25,000 - $34,999;96,489;94,003;67,062;41,135;74,442
    $35,000 - $49,999;110,054;107,224;31,019;26,286;-
    $50,000 - $74,999;104,235;94,780;103,106;73,659;991
    $75,000 - $99,999;65,236;66,066;42,664;33,901;3,612
    $100,000 - $149,999;40,189;38,440;23,455;16,421;1,549
    $150,000 - $199,999;37,766;37,208;5,600;834;-
    $200,000 and above;54,887;54,736;7,841;3,181;-
    Did not report;62,357;36,988;51,704;106,719;94,957
