Housing Table 1a. Last Month's Payment Status for Owner-Occupied Housing Units, by Select Characteristics: Oregon;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 5.;;;;;;;
Total Population 18 Years and Older in Owner-Occupied Housing Units;;;;;;;
Select characteristics;Total;Owned free and clear;Last month’s payment status;Last month’s payment status;Last month’s payment status;Last month’s payment status;Did not report to tenure
;;;Yes;No;Mortgage payment was deferred;Did not report;
;;;;;;;
Total;1,826,701;643,801;1,061,480;60,507;55,578;5,334;425,069
Age ;;;;;;;
    18 - 24;88,448;19,300;50,531;5,501;10,571;2,544;108,714
    25 - 39;327,496;34,631;268,585;13,588;9,466;1,226;116,887
    40 - 54;448,031;128,270;293,802;13,276;11,118;1,564;58,566
    55 - 64;350,567;105,461;213,841;16,155;15,110;-;51,974
    65 and above;612,160;356,138;234,721;11,988;9,312;-;88,928
Sex ;;;;;;;
    Male;855,760;312,213;492,814;35,428;12,516;2,790;241,294
    Female;970,941;331,589;568,666;25,079;43,062;2,544;183,775
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);161,452;71,472;83,091;621;3,724;2,544;55,834
    White alone, not Hispanic;1,513,702;517,054;897,558;56,013;40,287;2,790;304,626
    Black alone, not Hispanic;6,227;737;5,490;-;-;-;11,192
    Asian alone, not Hispanic;54,140;22,726;27,541;3,874;-;-;10,017
    Two or more races + Other races, not Hispanic;91,180;31,813;47,800;-;11,568;-;43,400
Education ;;;;;;;
    Less than high school;49,195;18,027;31,168;-;-;-;57,244
    High school or GED;452,271;206,063;204,445;14,328;24,891;2,544;153,297
    Some college/associate’s degree;660,415;194,441;407,989;38,943;17,817;1,226;126,692
    Bachelor’s degree or higher;664,820;225,271;417,879;7,237;12,870;1,564;87,836
Marital status ;;;;;;;
    Married;1,197,912;406,521;746,407;26,010;18,974;-;150,342
    Widowed;86,321;41,069;39,416;5,835;-;-;5,336
    Divorced/separated;284,440;120,471;114,475;22,817;26,676;-;50,312
    Never married;255,550;75,740;160,267;5,846;9,928;3,770;208,255
    Did not report;2,478;-;914;-;-;1,564;10,824
Presence of children under 18 years old ;;;;;;;
    Children in household;503,127;103,036;366,984;21,694;9,850;1,564;238,363
    No children;1,323,574;540,765;694,496;38,814;45,729;3,770;186,706
Respondent or household member experienced loss of employment income ;;;;;;;
    Yes;770,572;232,982;450,743;46,156;36,920;3,770;240,408
    No;1,054,599;410,819;609,206;14,351;18,659;1,564;175,312
    Did not report;1,531;-;1,531;-;-;-;9,350
Respondent currently employed ;;;;;;;
    Yes;938,015;215,178;670,393;19,462;31,756;1,226;217,024
    No;887,691;427,628;391,087;41,046;23,822;4,109;198,695
    Did not report;995;995;-;-;-;-;9,350
Household income ;;;;;;;
    Less than $25,000;151,647;76,596;56,437;6,311;12,303;-;-
    $25,000 - $34,999;131,797;66,626;53,905;11,267;-;-;-
    $35,000 - $49,999;249,263;116,330;107,069;19,311;6,553;-;414
    $50,000 - $74,999;273,137;97,812;160,992;8,051;6,282;-;-
    $75,000 - $99,999;250,554;79,098;160,374;3,827;7,255;-;-
    $100,000 - $149,999;372,941;105,195;240,693;7,868;19,185;-;-
    $150,000 - $199,999;172,307;34,554;134,757;-;2,996;-;-
    $200,000 and above;160,619;51,242;105,092;3,874;413;-;-
    Did not report;64,436;16,349;42,162;-;591;5,334;424,655
