Housing Table 1a. Last Month's Payment Status for Owner-Occupied Housing Units, by Select Characteristics: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 2.;;;;;;;
Total Population 18 Years and Older in Owner-Occupied Housing Units;;;;;;;
Select characteristics;Total;Owned free and clear;Last month’s payment status;Last month’s payment status;Last month’s payment status;Last month’s payment status;Did not report to tenure
;;;Yes;No;Mortgage payment was deferred;Did not report;
;;;;;;;
Total;2,131,515;653,071;1,266,117;98,340;113,987;-;562,305
Age ;;;;;;;
    18 - 24;74,294;-;15,742;-;58,552;-;-
    25 - 39;431,726;78,156;309,762;23,849;19,959;-;277,025
    40 - 54;710,560;109,651;506,943;62,923;31,044;-;225,622
    55 - 64;463,442;233,919;217,955;11,568;-;-;34,771
    65 and above;451,493;231,345;215,714;-;4,433;-;24,887
Sex ;;;;;;;
    Male;1,236,858;355,461;815,703;28,507;37,186;-;373,587
    Female;894,657;297,609;450,413;69,833;76,801;-;188,718
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);860,541;222,066;484,278;71,327;82,870;-;210,149
    White alone, not Hispanic;964,384;341,945;584,347;15,540;22,553;-;239,813
    Black alone, not Hispanic;100,521;22,318;70,675;7,528;-;-;68,329
    Asian alone, not Hispanic;157,609;61,123;83,978;3,944;8,564;-;-
    Two or more races + Other races, not Hispanic;48,459;5,620;42,840;-;-;-;44,014
Education ;;;;;;;
    Less than high school;159,915;114,136;21,438;24,341;-;-;72,520
    High school or GED;708,403;238,136;417,858;-;52,410;-;255,718
    Some college/associate’s degree;730,340;140,123;480,670;50,365;59,183;-;159,901
    Bachelor’s degree or higher;532,856;160,675;346,151;23,634;2,395;-;74,166
Marital status ;;;;;;;
    Married;1,296,079;364,003;806,508;51,592;73,977;-;304,759
    Widowed;116,998;97,237;16,340;-;3,422;-;53,385
    Divorced/separated;419,135;103,862;266,270;40,438;8,564;-;24,906
    Never married;295,338;87,969;173,035;6,310;28,025;-;176,514
    Did not report;3,964;-;3,964;-;-;-;2,741
Presence of children under 18 years old ;;;;;;;
    Children in household;1,121,655;242,877;755,570;58,883;64,326;-;235,458
    No children;1,009,860;410,194;510,547;39,457;49,662;-;326,847
Respondent or household member experienced loss of employment income ;;;;;;;
    Yes;1,286,189;400,949;701,074;87,930;96,236;-;226,542
    No;845,326;252,122;565,042;10,410;17,751;-;334,776
    Did not report;-;-;-;-;-;-;987
Respondent currently employed ;;;;;;;
    Yes;1,046,760;302,291;634,130;33,774;76,564;-;258,919
    No;1,084,755;350,779;631,987;64,566;37,423;-;300,644
    Did not report;-;-;-;-;-;-;2,741
Household income ;;;;;;;
    Less than $25,000;263,451;136,176;48,040;3,944;75,291;-;-
    $25,000 - $34,999;90,820;37,430;51,199;2,192;-;-;1,421
    $35,000 - $49,999;245,412;79,645;122,499;33,280;9,989;-;-
    $50,000 - $74,999;374,509;55,869;310,075;-;8,564;-;-
    $75,000 - $99,999;452,136;186,448;233,794;25,254;6,641;-;-
    $100,000 - $149,999;402,815;55,672;306,739;26,902;13,502;-;-
    $150,000 - $199,999;135,678;15,393;120,284;-;-;-;-
    $200,000 and above;62,275;18,273;37,234;6,768;-;-;-
    Did not report;104,419;68,165;36,254;-;-;-;560,884
