Housing Table 1a. Last Month's Payment Status for Owner-Occupied Housing Units, by Select Characteristics: Seattle-Tacoma-Bellevue, WA Metro Area;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 5.;;;;;;;
Total Population 18 Years and Older in Owner-Occupied Housing Units;;;;;;;
Select characteristics;Total;Owned free and clear;Last month’s payment status;Last month’s payment status;Last month’s payment status;Last month’s payment status;Did not report to tenure
;;;Yes;No;Mortgage payment was deferred;Did not report;
;;;;;;;
Total;1,876,369;426,291;1,295,909;86,109;66,267;1,793;325,569
Age ;;;;;;;
    18 - 24;67,582;20,257;45,684;-;-;1,641;99,443
    25 - 39;471,013;38,854;385,860;15,293;31,006;-;72,772
    40 - 54;583,810;65,144;423,650;67,229;27,787;-;54,858
    55 - 64;358,798;103,715;247,707;3,007;4,368;-;53,576
    65 and above;395,165;198,320;193,007;580;3,106;152;44,920
Sex ;;;;;;;
    Male;919,068;220,549;654,376;26,063;18,080;-;174,862
    Female;957,301;205,742;641,533;60,046;48,187;1,793;150,707
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);189,384;60,224;102,452;15,341;11,367;-;61,483
    White alone, not Hispanic;1,265,680;291,076;911,995;34,459;27,998;152;158,520
    Black alone, not Hispanic;75,968;6,435;68,798;734;-;-;37,906
    Asian alone, not Hispanic;220,853;62,179;123,549;7,197;26,288;1,641;25,877
    Two or more races + Other races, not Hispanic;124,484;6,378;89,114;28,378;614;-;41,782
Education ;;;;;;;
    Less than high school;31,580;-;31,580;-;-;-;32,462
    High school or GED;510,443;115,766;298,105;56,041;40,531;-;137,259
    Some college/associate’s degree;560,308;110,439;404,279;25,800;18,149;1,641;80,538
    Bachelor’s degree or higher;774,038;200,087;561,944;4,268;7,587;152;75,311
Marital status ;;;;;;;
    Married;1,158,707;271,818;809,270;55,490;22,130;-;97,258
    Widowed;68,960;45,494;22,893;421;-;152;14,993
    Divorced/separated;258,941;41,599;189,058;15,511;12,774;-;43,270
    Never married;387,655;65,275;274,687;14,688;31,364;1,641;151,842
    Did not report;2,105;2,105;-;-;-;-;18,207
Presence of children under 18 years old ;;;;;;;
    Children in household;657,693;87,724;524,222;36,585;7,521;1,641;132,336
    No children;1,218,676;338,567;771,686;49,524;58,746;152;193,233
Respondent or household member experienced loss of employment income ;;;;;;;
    Yes;817,672;123,468;569,662;59,006;63,896;1,641;125,012
    No;1,056,019;300,684;725,709;27,103;2,371;152;183,320
    Did not report;2,677;2,140;538;-;-;-;17,238
Respondent currently employed ;;;;;;;
    Yes;1,112,504;155,206;875,240;69,611;12,447;-;159,975
    No;753,835;261,742;419,982;16,498;53,820;1,793;148,357
    Did not report;10,030;9,344;686;-;-;-;17,238
Household income ;;;;;;;
    Less than $25,000;86,287;31,122;53,300;-;1,865;-;-
    $25,000 - $34,999;108,290;15,664;68,032;20,155;4,438;-;-
    $35,000 - $49,999;136,619;67,463;58,628;10,528;-;-;-
    $50,000 - $74,999;285,107;77,525;151,602;35,404;20,576;-;230
    $75,000 - $99,999;235,006;61,656;151,331;15,536;6,331;152;2,813
    $100,000 - $149,999;436,524;59,395;346,353;1,104;29,673;-;-
    $150,000 - $199,999;243,039;48,768;190,834;2,398;1,039;-;-
    $200,000 and above;290,904;46,880;241,430;249;2,345;-;-
    Did not report;54,592;17,818;34,398;734;-;1,641;322,526
