Housing Table 1b. Last Month's Payment Status for Renter-Occupied Housing Units, by Select Characteristics: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 2.;;;;;;;
Total Population 18 Years and Older in Renter-Occupied Housing Units;;;;;;;
Select characteristics;Total;Occupied without rent;Last month’s payment status;Last month’s payment status;Last month’s payment status;Last month’s payment status;Did not report to tenure
;;;Yes;No;Rent was deferred;Did not report;
;;;;;;;
Total;5,191,188;143,146;3,887,258;1,130,291;30,493;-;1,103,529
Age ;;;;;;;
    18 - 24;257,351;-;199,553;57,798;-;-;42,570
    25 - 39;2,618,459;108,996;1,661,363;841,707;6,393;-;367,654
    40 - 54;1,378,334;18,243;1,169,805;174,475;15,811;-;377,949
    55 - 64;561,552;15,908;489,334;56,310;-;-;207,606
    65 and above;375,491;-;367,203;-;8,288;-;107,749
Sex ;;;;;;;
    Male;2,543,071;93,491;1,742,431;692,898;14,250;-;412,042
    Female;2,648,117;49,655;2,144,826;437,393;16,243;-;691,487
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);2,313,802;100,537;1,524,515;688,751;-;-;558,660
    White alone, not Hispanic;1,460,893;23,647;1,286,470;126,480;24,296;-;245,279
    Black alone, not Hispanic;565,015;7,991;258,616;298,408;-;-;18,543
    Asian alone, not Hispanic;796,507;3,862;772,912;13,537;6,197;-;246,505
    Two or more races + Other races, not Hispanic;54,970;7,109;44,745;3,116;-;-;34,542
Education ;;;;;;;
    Less than high school;560,168;7,596;416,603;135,970;-;-;289,681
    High school or GED;1,516,586;86,055;1,014,741;415,791;-;-;171,896
    Some college/associate’s degree;1,739,889;45,423;1,253,836;440,630;-;-;347,241
    Bachelor’s degree or higher;1,374,545;4,073;1,202,078;137,901;30,493;-;294,710
Marital status ;;;;;;;
    Married;1,651,422;18,344;1,433,290;176,829;22,959;-;398,380
    Widowed;117,106;-;59,308;57,798;-;-;17,716
    Divorced/separated;733,250;27,433;590,062;111,901;3,854;-;213,923
    Never married;2,675,041;97,370;1,790,229;783,763;3,679;-;448,246
    Did not report;14,369;-;14,369;-;-;-;25,264
Presence of children under 18 years old ;;;;;;;
    Children in household;1,772,812;6,929;1,471,478;288,351;6,055;-;541,122
    No children;3,418,376;136,218;2,415,780;841,940;24,438;-;562,406
Respondent or household member experienced loss of employment income ;;;;;;;
    Yes;3,677,715;119,499;2,442,049;1,089,016;27,152;-;569,096
    No;1,513,473;23,647;1,445,209;41,276;3,341;-;509,169
    Did not report;-;-;-;-;-;-;25,264
Respondent currently employed ;;;;;;;
    Yes;2,514,875;19,118;2,123,000;371,934;824;-;569,449
    No;2,676,313;124,028;1,764,258;758,358;29,669;-;508,816
    Did not report;-;-;-;-;-;-;25,264
Household income ;;;;;;;
    Less than $25,000;1,254,144;116,277;784,607;346,752;6,509;-;-
    $25,000 - $34,999;465,454;8,459;391,123;53,730;12,143;-;-
    $35,000 - $49,999;958,933;211;518,889;433,779;6,055;-;18,064
    $50,000 - $74,999;910,971;3,718;873,229;31,169;2,856;-;-
    $75,000 - $99,999;805,479;-;548,613;256,866;-;-;29,532
    $100,000 - $149,999;449,349;14,482;431,264;2,779;824;-;-
    $150,000 - $199,999;176,837;-;176,837;-;-;-;-
    $200,000 and above;97,674;-;90,349;5,217;2,107;-;-
    Did not report;72,346;-;72,346;-;-;-;1,055,932
