Housing Table 1b. Last Month's Payment Status for Renter-Occupied Housing Units, by Select Characteristics: Oregon;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 1.;;;;;;;;
Total Population 18 Years and Older in Renter-Occupied Housing Units;;;;;;;;
Select characteristics;Total;Occupied without rent;Last month’s payment status;Last month’s payment status;Last month’s payment status;Last month’s payment status;Owner occupied;Did not respond to tenure
;;;Yes;No;Rent was deferred;Did not respond;;
;;;;;;;;
Age ;;;;;;;;
    18 - 24;102,858;20,403;76,263;2,928;-;3,265;72,226;8,303
    25 - 39;440,470;8,077;350,308;79,210;2,874;-;467,247;94,328
    40 - 54;239,538;9,252;188,891;34,326;3,977;3,092;545,218;36,204
    55 - 64;89,061;7,867;68,158;3,031;10,004;-;377,822;60,080
    65 and above;101,173;2,668;93,759;2,116;764;1,866;606,307;61,892
Sex ;;;;;;;;
    Male;480,033;29,166;352,291;81,667;13,644;3,265;1,045,960;88,153
    Female;493,067;19,102;425,088;39,944;3,975;4,958;1,022,861;172,654
Hispanic origin and Race ;;;;;;;;
    Hispanic or Latino (may be of any race);163,408;10,451;110,468;39,225;-;3,265;178,989;36,524
    White alone, not Hispanic;672,974;34,405;563,756;52,236;17,619;4,958;1,685,371;205,214
    Black alone, not Hispanic;35,974;-;15,159;20,815;-;-;9,274;6,968
    Asian alone, not Hispanic;33,036;660;32,376;-;-;-;77,542;6,513
    Two or more races + Other races, not Hispanic;67,706;2,752;55,619;9,335;-;-;117,644;5,589
Education ;;;;;;;;
    Less than high school;36,402;-;24,132;6,244;6,026;-;49,345;17,256
    High school or GED;319,861;22,973;229,102;57,307;5,521;4,958;556,271;110,849
    Some college/associate’s degree;358,691;12,961;292,648;49,108;3,974;-;731,299;77,893
    Bachelor’s degree or higher;258,145;12,334;231,496;8,951;2,099;3,265;731,906;54,809
Marital status ;;;;;;;;
    Married;318,980;26,401;266,402;21,641;1,443;3,092;1,336,569;119,281
    Widowed;29,920;470;26,122;3,328;-;-;126,172;9,779
    Divorced/separated;184,150;16,527;126,699;25,756;13,301;1,866;263,217;52,325
    Never married;440,050;4,869;358,155;70,886;2,874;3,265;335,216;68,967
    Did not report;-;-;-;-;-;-;7,647;10,455
Presence of children under 18 years old ;;;;;;;;
    Children in household;329,648;11,440;269,134;47,383;1,690;-;674,430;93,332
    No children;643,452;36,827;508,244;74,228;15,929;8,223;1,394,391;167,475
Respondent or household member experienced loss of employment income ;;;;;;;;
    Yes;514,705;20,549;399,782;81,123;9,986;3,265;906,092;102,931
    No;458,394;27,719;377,596;40,488;7,633;4,958;1,161,226;147,343
    Did not report;-;-;-;-;-;-;1,503;10,533
Respondent currently employed ;;;;;;;;
    Yes;632,265;34,486;504,244;86,263;915;6,357;998,070;124,203
    No;339,361;13,782;271,661;35,347;16,704;1,866;1,070,007;126,071
    Did not report;1,473;-;1,473;-;-;-;744;10,533
Household income ;;;;;;;;
    Less than $25,000;263,820;7,244;190,803;55,076;8,830;1,866;164,227;-
    $25,000 - $34,999;152,861;13,462;118,123;21,130;146;-;143,011;476
    $35,000 - $49,999;120,354;8,164;95,118;14,765;2,307;-;195,578;-
    $50,000 - $74,999;200,288;6,159;164,530;23,264;6,335;-;489,988;-
    $75,000 - $99,999;96,602;1,038;88,906;6,658;-;-;401,029;-
    $100,000 - $149,999;82,160;6,020;75,422;718;-;-;342,236;-
    $150,000 - $199,999;15,938;375;15,563;-;-;-;137,906;-
    $200,000 and above;10,977;5,806;5,171;-;-;-;161,343;-
    Did not report;30,099;-;23,742;-;-;6,357;33,502;260,331
