Housing Table 1b. Last Month's Payment Status for Renter-Occupied Housing Units, by Select Characteristics: Oregon;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 5.;;;;;;;
Total Population 18 Years and Older in Renter-Occupied Housing Units;;;;;;;
Select characteristics;Total;Occupied without rent;Last month’s payment status;Last month’s payment status;Last month’s payment status;Last month’s payment status;Did not report to tenure
;;;Yes;No;Rent was deferred;Did not report;
;;;;;;;
Total;1,050,957;32,896;885,440;89,878;32,108;10,635;425,069
Age ;;;;;;;
    18 - 24;77,288;1,476;68,394;7,418;-;-;108,714
    25 - 39;486,186;5,557;441,152;25,448;14,028;-;116,887
    40 - 54;267,854;4,422;213,879;39,088;8,930;1,535;58,566
    55 - 64;139,266;10,882;94,007;16,592;8,685;9,100;51,974
    65 and above;80,362;10,558;68,008;1,332;464;-;88,928
Sex ;;;;;;;
    Male;517,091;22,410;417,793;68,034;7,901;953;241,294
    Female;533,865;10,487;467,647;21,844;24,206;9,682;183,775
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);161,635;9,081;138,153;14,401;-;-;55,834
    White alone, not Hispanic;745,231;22,042;646,534;56,144;19,559;953;304,626
    Black alone, not Hispanic;37,473;-;22,048;11,395;2,494;1,535;11,192
    Asian alone, not Hispanic;34,116;466;33,650;-;-;-;10,017
    Two or more races + Other races, not Hispanic;72,502;1,308;45,055;7,937;10,054;8,147;43,400
Education ;;;;;;;
    Less than high school;78,792;9,403;67,853;-;-;1,535;57,244
    High school or GED;299,391;14,086;205,960;55,838;14,408;9,100;153,297
    Some college/associate’s degree;380,508;8,107;327,108;30,043;15,250;-;126,692
    Bachelor’s degree or higher;292,266;1,301;284,518;3,997;2,450;-;87,836
Marital status ;;;;;;;
    Married;321,270;6,428;271,738;23,116;19,987;-;150,342
    Widowed;32,660;4,365;17,738;1,946;464;8,147;5,336
    Divorced/separated;234,092;16,633;168,184;41,582;7,693;-;50,312
    Never married;460,632;5,470;425,477;23,234;3,963;2,488;208,255
    Did not report;2,303;-;2,303;-;-;-;10,824
Presence of children under 18 years old ;;;;;;;
    Children in household;356,371;5,420;275,008;48,084;18,177;9,682;238,363
    No children;694,586;27,476;610,433;41,794;13,930;953;186,706
Respondent or household member experienced loss of employment income ;;;;;;;
    Yes;660,469;7,517;537,258;75,247;31,348;9,100;240,408
    No;390,128;25,379;347,823;14,631;760;1,535;175,312
    Did not report;359;-;359;-;-;-;9,350
Respondent currently employed ;;;;;;;
    Yes;585,709;3,717;513,025;46,654;13,213;9,100;217,024
    No;463,698;29,179;370,865;43,224;18,894;1,535;198,695
    Did not report;1,550;-;1,550;-;-;-;9,350
Household income ;;;;;;;
    Less than $25,000;241,865;19,124;177,345;44,496;900;-;-
    $25,000 - $34,999;196,428;4,519;170,904;14,389;6,616;-;-
    $35,000 - $49,999;173,519;2,782;145,277;11,686;13,775;-;414
    $50,000 - $74,999;200,356;4,691;173,511;4,085;9,921;8,147;-
    $75,000 - $99,999;122,570;240;111,921;9,514;896;-;-
    $100,000 - $149,999;78,774;-;73,067;5,707;-;-;-
    $150,000 - $199,999;12,240;-;12,240;-;-;-;-
    $200,000 and above;3,321;-;3,321;-;-;-;-
    Did not report;21,884;1,541;17,855;-;-;2,488;424,655
