Housing Table 1b. Last Month's Payment Status for Renter-Occupied Housing Units, by Select Characteristics: San Francisco-Oakland-Berkeley, CA Metro Area;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 5.;;;;;;;
Total Population 18 Years and Older in Renter-Occupied Housing Units;;;;;;;
Select characteristics;Total;Occupied without rent;Last month’s payment status;Last month’s payment status;Last month’s payment status;Last month’s payment status;Did not report to tenure
;;;Yes;No;Rent was deferred;Did not report;
;;;;;;;
Total;1,453,585;32,114;1,293,985;85,084;2,845;39,558;567,784
Age ;;;;;;;
    18 - 24;109,494;12,923;96,571;-;-;-;123,253
    25 - 39;715,855;4,266;628,149;51,640;592;31,207;111,920
    40 - 54;349,416;5,689;318,405;25,322;-;-;97,288
    55 - 64;185,908;3,727;167,471;4,107;2,253;8,351;82,986
    65 and above;92,913;5,508;83,389;4,015;-;-;152,337
Sex ;;;;;;;
    Male;720,863;25,134;624,453;39,764;-;31,512;183,505
    Female;732,722;6,980;669,532;45,320;2,845;8,046;384,279
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);446,314;2,704;376,066;28,807;-;38,737;164,879
    White alone, not Hispanic;528,593;8,227;492,986;23,714;2,845;820;153,890
    Black alone, not Hispanic;153,731;12,923;116,037;24,771;-;-;47,333
    Asian alone, not Hispanic;214,232;6,161;204,129;3,943;-;-;163,284
    Two or more races + Other races, not Hispanic;110,715;2,099;104,767;3,849;-;-;38,399
Education ;;;;;;;
    Less than high school;293,905;4,266;248,683;32,911;-;8,046;197,003
    High school or GED;268,489;12,923;205,338;19,536;-;30,692;99,096
    Some college/associate’s degree;359,476;3,318;329,790;24,116;2,253;-;154,433
    Bachelor’s degree or higher;531,715;11,607;510,174;8,521;592;820;117,253
Marital status ;;;;;;;
    Married;525,982;6,618;491,644;25,466;2,253;-;167,335
    Widowed;4,012;30;3,982;-;-;-;17,277
    Divorced/separated;180,830;1,230;157,390;13,859;-;8,351;74,281
    Never married;739,620;24,235;637,827;45,759;592;31,207;302,653
    Did not report;3,141;-;3,141;-;-;-;6,238
Presence of children under 18 years old ;;;;;;;
    Children in household;422,137;8,792;340,245;42,408;-;30,692;250,733
    No children;1,031,448;23,321;953,740;42,676;2,845;8,866;317,051
Respondent or household member experienced loss of employment income ;;;;;;;
    Yes;868,649;10,772;740,866;83,474;2,845;30,692;277,681
    No;584,937;21,341;553,119;1,610;-;8,866;279,599
    Did not report;-;-;-;-;-;-;10,503
Respondent currently employed ;;;;;;;
    Yes;833,875;14,026;811,253;7,776;-;820;245,186
    No;619,710;18,088;482,732;77,308;2,845;38,737;312,382
    Did not report;-;-;-;-;-;-;10,216
Household income ;;;;;;;
    Less than $25,000;272,047;20,088;218,771;33,189;-;-;6,545
    $25,000 - $34,999;278,935;954;236,033;8,410;2,845;30,692;-
    $35,000 - $49,999;89,227;5,442;73,584;10,201;-;-;236
    $50,000 - $74,999;97,910;-;78,028;19,882;-;-;-
    $75,000 - $99,999;203,131;-;200,487;2,644;-;-;-
    $100,000 - $149,999;175,106;287;173,807;1,012;-;-;7,568
    $150,000 - $199,999;122,581;-;122,581;-;-;-;-
    $200,000 and above;185,505;5,343;177,071;3,091;-;-;-
    Did not report;29,145;-;13,624;6,655;-;8,866;553,435
