Housing Table 1b. Last Month's Payment Status for Renter-Occupied Housing Units, by Select Characteristics: Seattle-Tacoma-Bellevue, WA Metro Area;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 4.;;;;;;;
Total Population 18 Years and Older in Renter-Occupied Housing Units;;;;;;;
Select characteristics;Total;Occupied without rent;Last month’s payment status;Last month’s payment status;Last month’s payment status;Last month’s payment status;Did not report to tenure
;;;Yes;No;Rent was deferred;Did not report;
;;;;;;;
Total;1,062,736;16,457;966,292;50,486;27,570;1,931;417,206
Age ;;;;;;;
    18 - 24;87,974;-;87,974;-;-;-;106,065
    25 - 39;602,989;7,939;540,526;39,877;12,716;1,931;116,358
    40 - 54;197,935;2,860;187,804;3,737;3,533;-;108,466
    55 - 64;87,756;1,772;78,905;6,688;391;-;47,103
    65 and above;86,080;3,885;71,083;184;10,929;-;39,214
Sex ;;;;;;;
    Male;601,578;11,193;547,216;29,074;12,165;1,931;163,529
    Female;461,157;5,264;419,077;21,413;15,405;-;253,677
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);136,360;-;130,834;5,526;-;-;80,074
    White alone, not Hispanic;641,713;15,940;584,678;25,729;13,436;1,931;214,685
    Black alone, not Hispanic;88,497;-;74,160;14,337;-;-;49,792
    Asian alone, not Hispanic;74,559;-;57,627;2,798;14,134;-;59,371
    Two or more races + Other races, not Hispanic;121,606;517;118,993;2,097;-;-;13,285
Education ;;;;;;;
    Less than high school;144,641;-;129,482;2,299;10,929;1,931;110,042
    High school or GED;273,559;6,239;254,925;6,364;6,030;-;88,925
    Some college/associate’s degree;265,647;6,732;221,863;30,721;6,331;-;138,397
    Bachelor’s degree or higher;378,890;3,486;360,022;11,102;4,279;-;79,842
Marital status ;;;;;;;
    Married;339,149;3,675;310,646;16,867;6,030;1,931;122,633
    Widowed;27,192;-;27,192;-;-;-;8,491
    Divorced/separated;137,794;2,831;125,867;8,766;330;-;51,426
    Never married;547,028;9,951;501,944;24,853;10,280;-;229,879
    Did not report;11,572;-;643;-;10,929;-;4,777
Presence of children under 18 years old ;;;;;;;
    Children in household;339,495;3,224;315,083;16,382;2,875;1,931;138,000
    No children;723,241;13,232;651,210;34,104;24,695;-;279,205
Respondent or household member experienced loss of employment income ;;;;;;;
    Yes;609,283;10,597;526,774;42,804;27,178;1,931;158,786
    No;453,452;5,860;439,519;7,682;391;-;249,748
    Did not report;-;-;-;-;-;-;8,672
Respondent currently employed ;;;;;;;
    Yes;577,440;5,945;545,474;13,514;12,507;-;168,779
    No;483,718;10,512;419,241;36,972;15,063;1,931;239,755
    Did not report;1,578;-;1,578;-;-;-;8,672
Household income ;;;;;;;
    Less than $25,000;213,800;4,448;176,782;8,949;23,620;-;1,756
    $25,000 - $34,999;147,083;4,004;121,941;20,418;719;-;-
    $35,000 - $49,999;91,016;388;86,544;4,084;-;-;-
    $50,000 - $74,999;151,626;2,833;132,487;13,076;3,230;-;2,869
    $75,000 - $99,999;137,748;1,183;135,467;1,098;-;-;-
    $100,000 - $149,999;161,288;-;161,288;-;-;-;-
    $150,000 - $199,999;58,404;229;57,991;184;-;-;815
    $200,000 and above;85,706;594;84,735;378;-;-;-
    Did not report;16,066;2,778;9,058;2,299;-;1,931;411,767
