Housing Table 2a. Confidence in Ability to Make Next Month's Payment for Owner-Occupied Housing Units, by Select Characteristics: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 2.;;;;;;;;;
Total Population 18 Years and Older in Owner-Occupied Housing Units;;;;;;;;;
Select characteristics;Total;Owned free and clear;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Did not report to tenure
;;;No confidence;Slight confidence;Moderate confidence;High confidence;Payment is/will be deferred;Did not report;
;;;;;;;;;
Total;2,131,515;653,071;177,785;212,551;274,892;776,711;36,505;-;562,305
Age ;;;;;;;;;
    18 - 24;74,294;-;58,552;-;2,425;13,318;-;-;-
    25 - 39;431,726;78,156;26,715;44,801;56,834;218,578;6,641;-;277,025
    40 - 54;710,560;109,651;82,171;121,475;179,360;196,848;21,055;-;225,622
    55 - 64;463,442;233,919;10,347;37,642;14,564;166,970;-;-;34,771
    65 and above;451,493;231,345;-;8,633;21,709;180,996;8,809;-;24,887
Sex ;;;;;;;;;
    Male;1,236,858;355,461;69,653;124,363;220,332;449,169;17,878;-;373,587
    Female;894,657;297,609;108,131;88,188;54,560;327,542;18,627;-;188,718
Hispanic origin and Race ;;;;;;;;;
    Hispanic or Latino (may be of any race);860,541;222,066;154,329;77,305;168,614;238,226;-;-;210,149
    White alone, not Hispanic;964,384;341,945;15,173;115,316;68,489;398,414;25,048;-;239,813
    Black alone, not Hispanic;100,521;22,318;4,338;4,369;4,690;61,913;2,893;-;68,329
    Asian alone, not Hispanic;157,609;61,123;3,944;12,930;16,568;54,480;8,564;-;-
    Two or more races + Other races, not Hispanic;48,459;5,620;-;2,631;16,531;23,678;-;-;44,014
Education ;;;;;;;;;
    Less than high school;159,915;114,136;45,779;-;-;-;-;-;72,520
    High school or GED;708,403;238,136;43,845;123,993;178,861;115,003;8,564;-;255,718
    Some college/associate’s degree;730,340;140,123;60,993;62,007;26,434;417,119;23,664;-;159,901
    Bachelor’s degree or higher;532,856;160,675;27,168;26,551;69,597;244,589;4,276;-;74,166
Marital status ;;;;;;;;;
    Married;1,296,079;364,003;124,673;164,464;76,946;546,862;19,131;-;304,759
    Widowed;116,998;97,237;-;-;6,296;10,044;3,422;-;53,385
    Divorced/separated;419,135;103,862;37,261;18,170;102,262;146,521;11,059;-;24,906
    Never married;295,338;87,969;15,851;29,917;89,388;69,319;2,893;-;176,514
    Did not report;3,964;-;-;-;-;3,964;-;-;2,741
Presence of children under 18 years old ;;;;;;;;;
    Children in household;1,121,655;242,877;116,659;144,787;198,444;389,682;29,205;-;235,458
    No children;1,009,860;410,194;61,126;67,764;76,448;387,029;7,300;-;326,847
Respondent or household member experienced loss of employment income ;;;;;;;;;
    Yes;1,286,189;400,949;165,075;175,731;139,188;374,657;30,589;-;226,542
    No;845,326;252,122;12,710;36,820;135,704;402,054;5,916;-;334,776
    Did not report;-;-;-;-;-;-;-;-;987
Respondent currently employed ;;;;;;;;;
    Yes;1,046,760;302,291;73,137;64,207;190,868;408,234;8,024;-;258,919
    No;1,084,755;350,779;104,648;148,344;84,024;368,478;28,481;-;300,644
    Did not report;-;-;-;-;-;-;-;-;2,741
Household income ;;;;;;;;;
    Less than $25,000;263,451;136,176;62,496;32,047;15,683;13,628;3,422;-;-
    $25,000 - $34,999;90,820;37,430;1,145;9,423;17,267;25,556;-;-;1,421
    $35,000 - $49,999;245,412;79,645;31,306;21,069;26,911;83,987;2,495;-;-
    $50,000 - $74,999;374,509;55,869;4,785;104,631;80,283;117,483;11,457;-;-
    $75,000 - $99,999;452,136;186,448;8,551;19,514;78,685;152,298;6,641;-;-
    $100,000 - $149,999;402,815;55,672;45,150;19,338;44,230;225,935;12,491;-;-
    $150,000 - $199,999;135,678;15,393;-;6,529;4,583;109,172;-;-;-
    $200,000 and above;62,275;18,273;4,637;-;7,250;32,115;-;-;-
    Did not report;104,419;68,165;19,716;-;-;16,538;-;-;560,884
