Housing Table 2a. Confidence in Ability to Make Next Month's Payment for Owner-Occupied Housing Units, by Select Characteristics: San Francisco-Oakland-Berkeley, CA Metro Area;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 2.;;;;;;;;;
Total Population 18 Years and Older in Owner-Occupied Housing Units;;;;;;;;;
Select characteristics;Total;Owned free and clear;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Did not report to tenure
;;;No confidence;Slight confidence;Moderate confidence;High confidence;Payment is/will be deferred;Did not report;
;;;;;;;;;
Total;2,222,073;651,671;39,029;246,850;262,447;916,336;105,740;-;287,442
Age ;;;;;;;;;
    18 - 24;45,285;4,584;-;-;18,405;22,296;-;-;24,597
    25 - 39;560,231;33,735;21,373;142,184;55,674;305,198;2,066;-;94,792
    40 - 54;443,376;53,520;12,829;35,133;73,500;264,244;4,150;-;76,487
    55 - 64;376,393;137,143;-;36,770;7,787;113,475;81,218;-;27,424
    65 and above;796,788;422,688;4,826;32,763;107,081;211,123;18,307;-;64,141
Sex ;;;;;;;;;
    Male;1,290,382;375,947;24,272;149,915;115,441;545,912;78,895;-;154,247
    Female;931,690;275,724;14,756;96,935;147,006;370,424;26,845;-;133,195
Hispanic origin and Race ;;;;;;;;;
    Hispanic or Latino (may be of any race);342,626;43,457;30,350;118,493;31,304;45,201;73,820;-;58,522
    White alone, not Hispanic;938,055;399,956;2,619;7,400;34,708;472,423;20,949;-;124,549
    Black alone, not Hispanic;38,670;2,216;-;-;812;35,642;-;-;20,275
    Asian alone, not Hispanic;840,933;179,165;6,059;120,957;183,591;342,168;8,992;-;50,133
    Two or more races + Other races, not Hispanic;61,789;26,877;-;-;12,031;20,902;1,979;-;33,963
Education ;;;;;;;;;
    Less than high school;19,127;-;-;19,127;-;-;-;-;30,513
    High school or GED;553,606;189,805;28,937;123,245;101,272;20,326;90,021;-;72,789
    Some college/associate’s degree;509,767;154,607;1,413;65,378;49,470;238,899;-;-;49,463
    Bachelor’s degree or higher;1,139,573;307,258;8,678;39,101;111,705;657,111;15,719;-;134,677
Marital status ;;;;;;;;;
    Married;1,427,900;461,396;37,615;73,547;124,096;643,890;87,355;-;103,106
    Widowed;90,519;42,026;-;19,199;2,009;27,284;-;-;3,388
    Divorced/separated;179,042;108,492;-;10,345;8,430;33,966;17,809;-;73,248
    Never married;523,740;39,482;1,413;143,758;127,912;210,598;576;-;104,514
    Did not report;872;274;-;-;-;597;-;-;3,187
Presence of children under 18 years old ;;;;;;;;;
    Children in household;643,351;57,747;31,201;161,602;70,939;296,421;25,441;-;131,061
    No children;1,578,722;593,923;7,827;85,248;191,509;619,914;80,300;-;156,381
Respondent or household member experienced loss of employment income ;;;;;;;;;
    Yes;970,073;153,438;36,410;221,417;108,512;346,622;103,675;-;122,786
    No;1,251,999;498,232;2,619;25,433;153,935;569,714;2,066;-;160,883
    Did not report;-;-;-;-;-;-;-;-;3,773
Respondent currently employed ;;;;;;;;;
    Yes;1,126,324;175,254;4,695;143,139;122,537;677,229;3,470;-;169,774
    No;1,095,749;476,417;34,334;103,711;139,910;239,107;102,270;-;113,895
    Did not report;-;-;-;-;-;-;-;-;3,773
Household income ;;;;;;;;;
    Less than $25,000;121,200;112,561;2,207;3,099;192;3,141;-;-;4,475
    $25,000 - $34,999;47,928;36,498;-;-;1,345;10,085;-;-;-
    $35,000 - $49,999;300,516;66,309;-;126,377;100,263;7,567;-;-;-
    $50,000 - $74,999;324,061;101,989;-;38,259;22,963;151,858;8,992;-;-
    $75,000 - $99,999;188,226;66,604;22,787;-;12,735;68,292;17,809;-;-
    $100,000 - $149,999;404,347;77,808;11,416;52,869;56,564;132,980;72,711;-;-
    $150,000 - $199,999;170,690;72,165;-;3,730;24,299;69,079;1,416;-;1,366
    $200,000 and above;609,696;100,120;2,619;22,516;44,087;435,542;4,813;-;-
    Did not report;55,409;17,616;-;-;-;37,793;-;-;281,601
