Housing Table 2a. Confidence in Ability to Make Next Month's Payment for Owner-Occupied Housing Units, by Select Characteristics: Seattle-Tacoma-Bellevue, WA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 3.;;;;;;;;;;
Total Population 18 Years and Older in Owner-Occupied Housing Units;;;;;;;;;;
Select characteristics;Total;Owned free and clear;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Renter occupied;Did not respond to tenure
;;;No confidence;Slight confidence;Moderate confidence;High confidence;Payment is/will be deferred;Did not respond;;
;;;;;;;;;;
Age ;;;;;;;;;;
    18 - 24;111,990;61,250;-;6,068;4,514;40,158;-;-;67,483;75,233
    25 - 39;493,171;78,930;30,123;34,627;47,678;289,711;7,112;4,989;490,930;58,299
    40 - 54;464,370;47,337;5,601;7,930;70,431;313,437;19,634;-;165,156;45,878
    55 - 64;422,634;109,948;7,020;43,098;32,473;224,616;5,479;-;91,575;33,727
    65 and above;445,129;268,058;12,346;2,186;25,274;127,498;9,767;-;96,754;35,973
Sex ;;;;;;;;;;
    Male;1,043,814;348,409;34,095;25,929;68,608;549,159;12,624;4,989;459,522;133,705
    Female;893,481;217,114;20,995;67,979;111,763;446,262;29,368;-;452,376;115,405
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);131,700;7,873;334;3,897;13,136;101,369;102;4,989;166,925;45,645
    White alone, not Hispanic;1,292,313;423,034;8,141;64,799;104,095;655,014;37,230;-;534,079;146,286
    Black alone, not Hispanic;100,875;2,434;43,911;4,810;16,607;29,286;3,827;-;75,431;14,068
    Asian alone, not Hispanic;306,404;110,997;1,648;19,135;33,006;141,365;253;-;53,388;27,047
    Two or more races + Other races, not Hispanic;106,003;21,185;1,055;1,268;13,526;68,387;581;-;82,075;16,064
Education ;;;;;;;;;;
    Less than high school;84,983;10,308;672;1,056;1,176;71,771;-;-;91,497;33,966
    High school or GED;296,867;124,943;13,132;45,344;22,295;85,090;1,073;4,989;235,907;81,881
    Some college/associate’s degree;685,337;212,588;40,007;38,613;74,192;291,395;28,542;-;244,991;98,887
    Bachelor’s degree or higher;870,107;217,684;1,279;8,895;82,707;547,165;12,377;-;339,504;34,376
Marital status ;;;;;;;;;;
    Married;1,314,252;356,387;45,635;75,944;120,879;678,776;36,631;-;284,060;90,472
    Widowed;50,732;21,332;-;2,008;13,714;13,676;-;-;21,290;6,557
    Divorced/separated;175,292;43,171;7,873;2,873;25,406;91,367;4,602;-;187,467;25,299
    Never married;396,568;144,633;1,582;13,083;20,172;211,350;759;4,989;408,812;116,895
    Did not report;451;-;-;-;199;252;-;-;10,270;9,886
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;591,095;50,616;20,548;33,720;84,941;389,109;12,161;-;220,706;108,747
    No children;1,346,200;514,907;34,542;60,188;95,431;606,312;29,831;4,989;691,192;140,362
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;755,295;160,778;51,574;66,907;77,209;376,458;22,368;-;495,786;127,855
    No;1,181,866;404,611;3,516;27,001;103,162;618,963;19,624;4,989;416,112;118,950
    Did not report;133;133;-;-;-;-;-;-;-;2,305
Respondent currently employed ;;;;;;;;;;
    Yes;1,106,859;210,408;8,236;22,380;125,011;712,361;28,462;-;521,767;141,387
    No;830,435;355,114;46,854;71,528;55,360;283,060;13,530;4,989;389,858;103,843
    Did not report;-;-;-;-;-;-;-;-;273;3,880
Household income ;;;;;;;;;;
    Less than $25,000;38,303;27,239;-;3,769;4,615;2,680;-;-;134,375;356
    $25,000 - $34,999;63,435;21,803;12,794;3,102;9,355;9,901;6,480;-;148,106;548
    $35,000 - $49,999;141,809;31,187;35,651;42,257;8,718;22,447;1,549;-;77,812;-
    $50,000 - $74,999;324,850;194,888;685;6,982;27,321;82,459;12,514;-;182,079;-
    $75,000 - $99,999;284,985;80,041;814;6,852;44,859;151,049;1,370;-;98,084;1,198
    $100,000 - $149,999;412,676;84,652;4,309;25,209;30,094;259,283;9,130;-;155,791;6,073
    $150,000 - $199,999;180,729;35,758;768;2,789;18,739;122,442;232;-;60,746;-
    $200,000 and above;447,817;77,919;-;158;29,337;329,687;10,715;-;44,452;-
    Did not report;42,691;12,034;69;2,792;7,333;15,473;-;4,989;10,453;240,935
