Housing Table 2b. Confidence in Ability to Make Next Month's Payment for Renter-Occupied Housing Units, by Select Characteristics: Oregon;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 4.;;;;;;;;;
Total Population 18 Years and Older in Renter-Occupied Housing Units;;;;;;;;;
Select characteristics;Total;Occupied without rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Did not report to tenure
;;;No confidence;Slight confidence;Moderate confidence;High confidence;Payment is/will be deferred;Did not report;
;;;;;;;;;
Total;1,077,843;18,040;73,457;161,596;275,764;527,987;20,999;-;414,052
Age ;;;;;;;;;
    18 - 24;73,023;-;771;20,014;24,085;28,153;-;-;55,000
    25 - 39;574,877;5,518;43,962;87,895;158,966;267,016;11,520;-;141,348
    40 - 54;220,886;3,790;22,856;29,416;38,856;124,996;972;-;92,754
    55 - 64;119,246;1,675;2,968;8,612;43,240;56,273;6,477;-;49,969
    65 and above;89,811;7,056;2,899;15,659;10,618;51,550;2,030;-;74,982
Sex ;;;;;;;;;
    Male;513,639;9,093;42,057;77,706;99,400;285,384;-;-;247,343
    Female;564,204;8,947;31,400;83,890;176,364;242,604;20,999;-;166,710
Hispanic origin and Race ;;;;;;;;;
    Hispanic or Latino (may be of any race);205,490;2,031;20,348;46,753;18,267;118,090;-;-;25,213
    White alone, not Hispanic;733,326;13,142;36,141;74,338;243,519;363,731;2,454;-;308,525
    Black alone, not Hispanic;29,149;-;1,378;15,602;1,317;9,880;972;-;16,043
    Asian alone, not Hispanic;37,682;-;379;12,228;491;24,585;-;-;34,196
    Two or more races + Other races, not Hispanic;72,196;2,867;15,210;12,675;12,169;11,701;17,574;-;30,076
Education ;;;;;;;;;
    Less than high school;62,371;1,757;15,921;9,552;8,166;26,975;-;-;8,346
    High school or GED;343,597;-;29,469;54,618;65,398;185,954;8,157;-;162,445
    Some college/associate’s degree;399,621;11,746;23,278;72,210;125,935;153,961;12,492;-;142,885
    Bachelor’s degree or higher;272,254;4,536;4,789;25,216;76,265;161,097;350;-;100,377
Marital status ;;;;;;;;;
    Married;394,457;5,846;29,974;60,803;67,091;222,944;7,799;-;195,400
    Widowed;23,220;3,386;903;3,915;3,074;10,263;1,680;-;2,759
    Divorced/separated;187,227;1,991;13,888;34,549;45,633;91,166;-;-;63,075
    Never married;472,253;6,817;28,692;62,239;159,771;203,214;11,520;-;143,128
    Did not report;686;-;-;90;195;401;-;-;9,691
Presence of children under 18 years old ;;;;;;;;;
    Children in household;389,305;4,396;41,427;105,701;69,670;167,140;972;-;165,639
    No children;688,538;13,644;32,030;55,894;206,094;360,848;20,028;-;248,414
Respondent or household member experienced loss of employment income ;;;;;;;;;
    Yes;640,767;9,272;60,498;134,112;191,151;226,765;18,969;-;158,505
    No;437,075;8,768;12,959;27,483;84,613;301,222;2,030;-;247,798
    Did not report;-;-;-;-;-;-;-;-;7,749
Respondent currently employed ;;;;;;;;;
    Yes;577,934;6,639;30,837;84,683;142,655;312,148;972;-;240,962
    No;499,908;11,400;42,620;76,913;133,109;215,839;20,028;-;166,719
    Did not report;-;-;-;-;-;-;-;-;6,372
Household income ;;;;;;;;;
    Less than $25,000;282,062;6,163;19,512;49,062;114,368;90,854;2,104;-;-
    $25,000 - $34,999;239,834;4,378;14,027;38,813;46,869;134,776;972;-;-
    $35,000 - $49,999;140,509;1,401;23,826;10,991;53,320;44,494;6,477;-;-
    $50,000 - $74,999;173,906;2,342;6,398;24,174;39,782;90,114;11,096;-;-
    $75,000 - $99,999;117,287;1,367;976;33,850;15,405;65,339;350;-;-
    $100,000 - $149,999;67,057;358;4,976;380;2,880;58,464;-;-;-
    $150,000 - $199,999;12,527;-;-;1,029;-;11,499;-;-;350
    $200,000 and above;19,782;-;-;-;-;19,782;-;-;-
    Did not report;24,879;2,031;3,742;3,298;3,141;12,668;-;-;413,702
